model,site,layer,rank,eigenvalue,fraction_total_energy,cumulative_fraction_total_energy,relative_ritz_residual
qwen3_8b,down,2,6,0.059961941258359075,0.007511483945378566,0.153887838688121,0.03160728019312654
qwen3_8b,down,2,7,0.05649990257814007,0.007077791382746274,0.1609656300708673,0.0338316237420735
qwen3_8b,down,2,8,0.05103426113244912,0.006393105778696056,0.16735873584956337,0.04162902055437071
qwen3_8b,down,2,9,0.048820080814743747,0.006115733506224832,0.17347446935578817,0.03750390128224136
qwen3_8b,down,2,10,0.04332346196568213,0.0054271673362155225,0.17890163669200368,0.04958829399645145
qwen3_8b,down,2,11,0.03875204882602137,0.004854502481048454,0.18375613917305217,0.07135532405733615
qwen3_8b,down,2,12,0.037682276697347646,0.004720491206544797,0.18847663037959697,0.0675779432474093
qwen3_8b,down,2,13,0.03467843754044501,0.004344197692224525,0.1928208280718215,0.06568641204568638
qwen3_8b,down,2,14,0.033584479302149244,0.004207156602969802,0.1970279846747913,0.0956153289260905
qwen3_8b,down,2,15,0.03214078913122495,0.004026304293764637,0.20105428896855593,0.07714950814024832
qwen3_8b,down,2,16,0.030947871531569346,0.0038768664802128045,0.20493115544876875,0.08366475857653735
qwen3_8b,down,2,17,0.030148516003115515,0.003776730525761972,0.2087078859745307,0.1006146556694889
qwen3_8b,down,2,18,0.02965800546512511,0.0037152838488560555,0.21242316982338677,0.10750999457153425
qwen3_8b,down,2,19,0.027601873487227827,0.003457710427825397,0.21588088025121216,0.10693265527374625
qwen3_8b,down,2,20,0.02649832287897633,0.0033194676941374133,0.2192003479453496,0.12642164782300852
qwen3_8b,down,2,21,0.026060297110296175,0.0032645958294169825,0.22246494377476655,0.11000546907367416
qwen3_8b,down,2,22,0.02559996118005135,0.0032069291515718443,0.2256718729263384,0.11587285808095472
qwen3_8b,down,2,23,0.025082128290248133,0.0031420597801586295,0.22881393270649705,0.11541577704845761
qwen3_8b,down,2,24,0.024616430196134565,0.00308372137943449,0.23189765408593152,0.11589786601721402
qwen3_8b,down,2,25,0.024437348525835626,0.0030612876645958378,0.23495894175052734,0.12184736549357571
qwen3_8b,down,2,26,0.023890328163206787,0.0029927619533621497,0.2379517037038895,0.12733354761515236
qwen3_8b,down,2,27,0.023267392929953484,0.0029147263210027564,0.24086643002489225,0.11743649295961694
qwen3_8b,down,2,28,0.022867566087486035,0.002864639668617949,0.24373106969351024,0.1422927935114263
qwen3_8b,down,2,29,0.02280200464364799,0.0028564267301691517,0.24658749642367941,0.12025018396745683
qwen3_8b,down,2,30,0.022084014002687568,0.0027664834251439094,0.2493539798488233,0.15492510123641776
qwen3_8b,down,2,31,0.02192529088994648,0.002746600044317759,0.25210057989314105,0.13206477550159074
qwen3_8b,down,2,32,0.02121996148287143,0.002658242822949296,0.2547588227160903,0.14162101825660411
qwen3_8b,down,2,33,0.02057222104772567,0.0025770998216177367,0.25733592253770804,0.13728829649743154
qwen3_8b,down,2,34,0.020420807558210668,0.002558132123578989,0.259894054661287,0.1634823401635897
qwen3_8b,down,2,35,0.020153000561188128,0.002524583710762811,0.2624186383720498,0.16142051325412105
qwen3_8b,down,2,36,0.01993666812430649,0.0024974835603607504,0.2649161219324106,0.15805703893266398
qwen3_8b,down,2,37,0.019293360120259683,0.0024168958134846022,0.26733301774589524,0.16476650348123276
qwen3_8b,down,2,38,0.018958741452706908,0.00237497784524677,0.269707995591142,0.18872910048562874
qwen3_8b,down,2,39,0.0184567271306871,0.0023120900794228742,0.27202008567056485,0.16416376902818644
qwen3_8b,down,2,40,0.017877944234011157,0.0022395854482350876,0.27425967111879995,0.18171895378077105
qwen3_8b,down,2,41,0.017548102920463795,0.0021982659432417733,0.27645793706204175,0.16530063727939628
qwen3_8b,down,2,42,0.017163888180656457,0.0021501350323827407,0.2786080720944245,0.17979692459497992
qwen3_8b,down,2,43,0.016981578245132408,0.0021272969099832098,0.28073536900440765,0.17896405852431385
qwen3_8b,down,2,44,0.016933747974388805,0.0021213051708357787,0.28285667417524346,0.1839397069171592
qwen3_8b,down,2,45,0.016775694698761067,0.0021015057010808406,0.28495817987632427,0.17770665150192122
qwen3_8b,down,2,46,0.016435872317884452,0.0020589358592000262,0.28701711573552435,0.18254364711721144
qwen3_8b,down,2,47,0.01629143741256961,0.002040842374405228,0.2890579581099295,0.20050784238784713
qwen3_8b,down,2,48,0.01618302758258652,0.002027261781776805,0.2910852198917063,0.2046766948787547
qwen3_8b,down,2,49,0.015633988402970783,0.0019584831716030976,0.29304370306330946,0.18347367628446587
qwen3_8b,down,2,50,0.015380428408664869,0.0019267194930688634,0.29497042255637834,0.20442873023247993
qwen3_8b,down,2,51,0.015179553860602104,0.0019015557656920702,0.29687197832207046,0.19118030158908356
qwen3_8b,down,2,52,0.015154343708571898,0.0018983976682679137,0.2987703759903383,0.20125598048165327
qwen3_8b,down,2,53,0.015067105035486009,0.001887469204670024,0.3006578451950083,0.1758467253457921
qwen3_8b,down,2,54,0.014638807095957575,0.001833815953472823,0.30249166114848114,0.2167151939613045
qwen3_8b,down,2,55,0.01432603550184397,0.0017946347869119874,0.30428629593539314,0.1941914191370892
qwen3_8b,down,2,56,0.014151121529088054,0.0017727231631285382,0.3060590190985217,0.21155054866681008
qwen3_8b,down,2,57,0.014051496264930291,0.0017602430206152934,0.30781926211913696,0.21931347160981185
qwen3_8b,down,2,58,0.01392393489669475,0.0017442632983207251,0.30956352541745774,0.20032162754280317
qwen3_8b,down,2,59,0.013690127102355476,0.0017149739948621083,0.31127849941231983,0.2184251887936122
qwen3_8b,down,2,60,0.013605517370960019,0.001704374861050523,0.31298287427337035,0.21604765985743313
qwen3_8b,down,2,61,0.013504609396385333,0.0016917340323002906,0.31467460830567057,0.22876614161904732
qwen3_8b,down,2,62,0.013343308585203202,0.0016715277409737532,0.31634613604664436,0.21080208179849183
