model,model_id,site,method,seed,sequence,nll,tokens_scored,weight_fold_max_relative_error
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,50,2.796875,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,51,2.484375,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,52,2.421875,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,53,2.375,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,54,2.125,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,55,2.46875,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,56,2.1875,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,57,1.953125,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,58,2.5,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,59,2.34375,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,60,2.6875,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,61,2.890625,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,62,2.90625,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,hadamard,20260902,63,3.1875,2047,0.003980131819844246
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,0,2.375,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,1,2.8125,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,2,3.078125,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,3,2.859375,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,4,2.5625,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,5,2.109375,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,6,1.8125,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,7,2.546875,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,8,2.71875,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,9,2.796875,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,10,2.625,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,11,2.6875,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,12,2.53125,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,13,2.796875,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,14,2.765625,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,15,2.609375,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,16,2.96875,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,17,2.796875,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,18,2.5,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,19,2.328125,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,20,2.515625,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,21,2.90625,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,22,2.578125,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,23,2.75,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,24,2.71875,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,25,2.8125,2047,0.003830200992524624
