model,site,layer,rank,eigenvalue,fraction_total_energy,cumulative_fraction_total_energy,relative_ritz_residual
qwen3_0.6b_base,down,4,5,1.220653046354517,0.011294789187745314,0.11534210876212402,0.05366256898149899
qwen3_0.6b_base,down,4,6,1.1792153404265195,0.010911363156672611,0.12625347191879663,0.08147029063315238
qwen3_0.6b_base,down,4,7,1.0805548002225356,0.009998450182686204,0.13625192210148282,0.07043816241835651
qwen3_0.6b_base,down,4,8,1.0663450643697432,0.009866966489305715,0.14611888859078853,0.07488970194468914
qwen3_0.6b_base,down,4,9,1.0161496079410508,0.009402504371885926,0.15552139296267445,0.11177410118164897
qwen3_0.6b_base,down,4,10,0.9720868472835392,0.008994788523272765,0.16451618148594724,0.09466964400315066
qwen3_0.6b_base,down,4,11,0.8470305326470525,0.007837633576882507,0.17235381506282973,0.10641345644134947
qwen3_0.6b_base,down,4,12,0.7903578721483312,0.007313237430939649,0.17966705249376938,0.14624382736592434
qwen3_0.6b_base,down,4,13,0.7389237800066197,0.006837314129442414,0.18650436662321176,0.10332542217762915
qwen3_0.6b_base,down,4,14,0.6670770977975136,0.0061725116847065305,0.19267687830791833,0.1581036254411589
qwen3_0.6b_base,down,4,15,0.6405940077179945,0.0059274617744297636,0.1986043400823481,0.15927055754601696
qwen3_0.6b_base,down,4,16,0.6181557075653105,0.0057198385921399175,0.20432417867448802,0.1391404076682772
qwen3_0.6b_base,down,4,17,0.5513830303711172,0.00510198627557695,0.2094261649500649,0.1890750415697159
qwen3_0.6b_base,down,4,18,0.5366849064835872,0.004965983493082112,0.21439214844314705,0.1751489981955823
qwen3_0.6b_base,down,4,19,0.5182464245183889,0.004795370912086288,0.21918751935523334,0.17329455918239142
qwen3_0.6b_base,down,4,20,0.5051174130088681,0.004673887237682341,0.22386140659291567,0.23214816642185926
qwen3_0.6b_base,down,4,21,0.4894913607884014,0.004529298268528519,0.22839070486144422,0.21019325428721372
qwen3_0.6b_base,down,4,22,0.4479323825330508,0.004144750096012061,0.23253545495745623,0.1713448726839858
qwen3_0.6b_base,down,4,23,0.4276283653585383,0.003956875585449562,0.2364923305429058,0.2800070169387458
qwen3_0.6b_base,down,4,24,0.4009485580446813,0.0037100054366553236,0.24020233597956114,0.2398753455652403
qwen3_0.6b_base,down,5,1,4.670758027256396,0.04710514237446054,0.04710514237446054,0.004558091609519927
qwen3_0.6b_base,down,5,2,1.7601049279431,0.017750864579351947,0.06485600695381248,0.02474997659653014
qwen3_0.6b_base,down,5,3,1.2702587531869995,0.012810708470039466,0.07766671542385195,0.04069722601115042
qwen3_0.6b_base,down,5,4,1.1004252132110814,0.011097917305556154,0.08876463272940811,0.051238086495506735
qwen3_0.6b_base,down,5,5,0.878041084400382,0.008855147290856498,0.09761978002026461,0.0963939550743168
qwen3_0.6b_base,down,5,6,0.7752294314105255,0.007818279715276785,0.10543805973554138,0.09135606883918976
qwen3_0.6b_base,down,5,7,0.6748593437454271,0.00680603561228292,0.1122440953478243,0.1403992341776676
qwen3_0.6b_base,down,5,8,0.6657900779302156,0.006714571003120045,0.11895866635094435,0.14790868277942767
qwen3_0.6b_base,down,5,9,0.6305406660425528,0.006359076551064327,0.12531774290200867,0.15338001242931193
qwen3_0.6b_base,down,5,10,0.6187240228104478,0.006239904318508432,0.13155764722051713,0.13107765417203365
qwen3_0.6b_base,down,5,11,0.5787175456709471,0.005836434305598399,0.1373940815261155,0.16896984392673203
qwen3_0.6b_base,down,5,12,0.5496919512972335,0.005543707782944377,0.1429377893090599,0.15429082469953526
qwen3_0.6b_base,down,5,13,0.5364482643097721,0.005410143646787745,0.14834793295584764,0.19241599036139032
qwen3_0.6b_base,down,5,14,0.5029856973553172,0.005072669735399872,0.15342060269124752,0.16012504976170983
qwen3_0.6b_base,down,5,15,0.4701500649863038,0.004741518532817373,0.15816212122406487,0.1531008234110887
qwen3_0.6b_base,down,5,16,0.46542398987418554,0.004693855511155877,0.16285597673522076,0.2089731682465703
qwen3_0.6b_base,down,5,17,0.45791064838024786,0.004618082581212905,0.16747405931643364,0.2098005905870163
qwen3_0.6b_base,down,5,18,0.3975978676592053,0.004009821115668059,0.17148388043210172,0.18691378888292004
qwen3_0.6b_base,down,5,19,0.39071126278198626,0.003940368897992675,0.1754242493300944,0.19520466892033891
qwen3_0.6b_base,down,5,20,0.36920299945939294,0.003723455540433609,0.179147704870528,0.22447239057579996
qwen3_0.6b_base,down,5,21,0.3648679337636447,0.003679735894584001,0.182827440765112,0.21548249641010372
qwen3_0.6b_base,down,5,22,0.34800787031240715,0.003509700177752082,0.18633714094286408,0.21448302904431196
qwen3_0.6b_base,down,5,23,0.34082457045169584,0.003437255756379218,0.18977439669924331,0.23550737588200116
qwen3_0.6b_base,down,5,24,0.3226809689878629,0.0032542754081890664,0.19302867210743238,0.22535923575159916
qwen3_0.6b_base,down,6,1,5.046861077630735,0.04213257530926594,0.04213257530926594,0.006340915880030309
qwen3_0.6b_base,down,6,2,1.7109740955535557,0.014283679266035033,0.05641625457530097,0.04069575407949424
qwen3_0.6b_base,down,6,3,1.606717030585586,0.013413312799885316,0.0698295673751863,0.03302147204602611
qwen3_0.6b_base,down,6,4,1.4436037251972837,0.012051598356490691,0.08188116573167697,0.06261977057486706
qwen3_0.6b_base,down,6,5,1.2515394164792106,0.010448193026561298,0.09232935875823826,0.07628557770715394
qwen3_0.6b_base,down,6,6,1.1546408070573515,0.00963925695797702,0.1019686157162153,0.07680941409687243
qwen3_0.6b_base,down,6,7,1.0712724772673354,0.008943275360850407,0.1109118910770657,0.09902462799009319
qwen3_0.6b_base,down,6,8,0.9865768400488538,0.008236213038629888,0.11914810411569558,0.10155317965712352
qwen3_0.6b_base,down,6,9,0.8648993667097608,0.0072204162433459505,0.12636852035904153,0.11856873145171926
qwen3_0.6b_base,down,6,10,0.7680873319796094,0.0064122029239442125,0.13278072328298576,0.14752284222187997
qwen3_0.6b_base,down,6,11,0.7376759054229123,0.006158320025256665,0.13893904330824242,0.11402124805261067
qwen3_0.6b_base,down,6,12,0.6433731609377954,0.005371054946473302,0.14431009825471572,0.12337815053121479
qwen3_0.6b_base,down,6,13,0.6216592954552453,0.005189781664204099,0.14949987991891983,0.14746956848860368
qwen3_0.6b_base,down,6,14,0.6061919857358246,0.005060656336290145,0.15456053625521,0.16325411914709176
qwen3_0.6b_base,down,6,15,0.582518262674899,0.004863021627433963,0.15942355788264392,0.18023098978867144
qwen3_0.6b_base,down,6,16,0.5537332411103802,0.004622716402029328,0.16404627428467328,0.17340604222929362
qwen3_0.6b_base,down,6,17,0.5194047137277003,0.004336132475315427,0.1683824067599887,0.18392473039926344
qwen3_0.6b_base,down,6,18,0.5127546006250603,0.004280615514019625,0.17266302227400832,0.23307094412657547
