rotation,site,layer,n,round_trip_relative_error,tolerance
nar_kmax,r2,23,128,1.237917217622453e-07,1e-06
nar_kmax,r4,23,3072,1.554372914824853e-07,1e-06
nar_kmax,r2,24,128,1.262949353986187e-07,1e-06
nar_kmax,r4,24,3072,1.6383241074890975e-07,1e-06
nar_kmax,r2,25,128,1.2522222903044167e-07,1e-06
nar_kmax,r4,25,3072,1.6815090475574834e-07,1e-06
nar_kmax,r2,26,128,1.2203996391235705e-07,1e-06
nar_kmax,r4,26,3072,1.7480351743870415e-07,1e-06
nar_kmax,r2,27,128,1.1700405622150356e-07,1e-06
nar_kmax,r4,27,3072,2.805971917041461e-07,1e-06
