layer,expert,module,routed_tokens,pooled_hessian,relative_weight_error,hessian_diag_max_over_median
38,31,gate_up,1185,False,0.14409413933753967,9.484188636049895
38,32,gate_up,9219,False,0.11763318628072739,13.957116643681218
38,33,gate_up,14503,False,0.11850398033857346,13.47317021174427
38,34,gate_up,47388,False,0.11585031449794769,14.148480665320408
38,35,gate_up,5,True,0.11339399963617325,12.816645517473644
38,36,gate_up,4129,False,0.1286202222108841,12.709358272948405
38,37,gate_up,3406,False,0.1320093423128128,11.984718532668026
38,38,gate_up,72815,False,0.11517174541950226,14.160237781031709
38,39,gate_up,52440,False,0.1156749501824379,13.756961100970331
38,40,gate_up,11874,False,0.11941461265087128,14.811835470853177
38,41,gate_up,6,True,0.11335115879774094,12.816645517473644
38,42,gate_up,318,True,0.1133965253829956,12.816645517473644
38,43,gate_up,72,True,0.11340636759996414,12.816645517473644
38,44,gate_up,45802,False,0.11576095223426819,14.445239690986046
38,45,gate_up,4,True,0.11349821090698242,12.816645517473644
38,46,gate_up,3259,False,0.13126014173030853,14.784759351146274
38,47,gate_up,20872,False,0.1170775294303894,13.670210080217002
38,48,gate_up,26883,False,0.11438807100057602,16.16262395814049
38,49,gate_up,13264,False,0.11911959946155548,13.797061061531343
38,50,gate_up,4740,False,0.12774139642715454,12.505618395098535
38,51,gate_up,15030,False,0.11827652901411057,14.896931006378782
38,52,gate_up,3671,False,0.12944208085536957,14.096330836283391
38,53,gate_up,57015,False,0.11515486240386963,13.544612926021244
38,54,gate_up,0,True,0.11341570317745209,12.816645517473644
38,55,gate_up,117697,False,0.11392716318368912,12.817614762124013
38,56,gate_up,3,True,0.11345402896404266,12.816645517473644
38,57,gate_up,70342,False,0.11484984308481216,13.418308997302908
38,58,gate_up,15087,False,0.1180213987827301,13.55726608649674
38,59,gate_up,1148,False,0.14883647859096527,8.106741347903535
38,60,gate_up,38715,False,0.11594614386558533,14.992993709562386
38,61,gate_up,3646,False,0.12678363919258118,12.669448190665845
38,62,gate_up,23580,False,0.11725940555334091,13.954745958726601
38,63,gate_up,3442,False,0.1270487904548645,16.2129281264783
38,64,gate_up,21918,False,0.11756113171577454,11.836999338062585
38,65,gate_up,4,True,0.11335679143667221,12.816645517473644
38,66,gate_up,27409,False,0.11788424849510193,14.503814640795678
38,67,gate_up,17621,False,0.11743152141571045,15.106726170609052
38,68,gate_up,34842,False,0.1154121458530426,13.13464103950756
38,69,gate_up,57433,False,0.11483871191740036,13.530693762345857
38,70,gate_up,123,True,0.11366834491491318,12.816645517473644
38,71,gate_up,28046,False,0.11670485138893127,15.144184310738307
38,72,gate_up,57,True,0.11348964273929596,12.816645517473644
38,73,gate_up,19638,False,0.11912785470485687,13.88695630781743
38,74,gate_up,2717,False,0.13533300161361694,13.980002949218951
38,75,gate_up,1738,False,0.13898460566997528,14.081724961006834
38,76,gate_up,14652,False,0.1192813515663147,12.890758775252674
38,77,gate_up,260,True,0.11340995877981186,12.816645517473644
38,78,gate_up,396,True,0.1134384348988533,12.816645517473644
38,79,gate_up,26257,False,0.11530989408493042,16.629149757815053
38,80,gate_up,28351,False,0.11559014022350311,16.662893289387508
38,81,gate_up,8196,False,0.11834084242582321,12.590750846767133
38,82,gate_up,16931,False,0.11812011152505875,11.480271075463131
38,83,gate_up,393,True,0.1134214922785759,12.816645517473644
38,84,gate_up,29324,False,0.11497632414102554,14.08600154147613
38,85,gate_up,3885,False,0.1272878497838974,13.365221730472946
38,86,gate_up,26174,False,0.11534999310970306,12.96285304163525
38,87,gate_up,11396,False,0.12073776125907898,12.278232599003909
38,88,gate_up,2004,False,0.13726726174354553,13.169622709669548
38,89,gate_up,854,False,0.13682207465171814,10.825607475760204
38,90,gate_up,13460,False,0.1170266717672348,14.49262960296875
38,91,gate_up,35,True,0.11352531611919403,12.816645517473644
38,92,gate_up,30161,False,0.11720864474773407,12.531971080638789
38,93,gate_up,1573,False,0.13188499212265015,10.275676670120287
38,94,gate_up,222,True,0.11333926022052765,12.816645517473644
38,95,gate_up,12969,False,0.11913769692182541,14.848056177839664
38,96,gate_up,10718,False,0.11890216916799545,13.127873106383797
38,97,gate_up,309,True,0.11329103261232376,12.816645517473644
38,98,gate_up,19674,False,0.11647546291351318,15.062211485391582
38,99,gate_up,18262,False,0.11832310259342194,12.854936182785432
38,100,gate_up,13648,False,0.11649894714355469,12.756078569992368
38,101,gate_up,38176,False,0.11527065187692642,13.96035110272182
38,102,gate_up,18362,False,0.11754784733057022,14.992026612179949
38,103,gate_up,1,True,0.11328073590993881,12.816645517473644
38,104,gate_up,140,True,0.1136007234454155,12.816645517473644
38,105,gate_up,24267,False,0.11452021449804306,14.182295546249483
38,106,gate_up,28,True,0.11331039667129517,12.816645517473644
38,107,gate_up,527,False,0.1259818822145462,10.54336070060208
38,108,gate_up,15022,False,0.11873369663953781,13.932721413932668
38,109,gate_up,13520,False,0.11898986995220184,13.435823589336644
38,110,gate_up,22184,False,0.11688003689050674,12.13283785113206
38,111,gate_up,32890,False,0.11555784940719604,14.672885078304803
38,112,gate_up,214,True,0.11330316960811615,12.816645517473644
38,113,gate_up,20,True,0.11341271549463272,12.816645517473644
38,114,gate_up,7706,False,0.12174419313669205,12.739208335708753
38,115,gate_up,81838,False,0.11434640735387802,14.444717486798078
38,116,gate_up,183,True,0.11339560896158218,12.816645517473644
38,117,gate_up,1879,False,0.1179019957780838,15.60905244676457
38,118,gate_up,2557,False,0.1352885663509369,13.499642263834607
38,119,gate_up,16258,False,0.11766745895147324,13.690896626119514
38,120,gate_up,5,True,0.11335401237010956,12.816645517473644
38,121,gate_up,2542,False,0.13496367633342743,13.466793248134032
38,122,gate_up,10,True,0.11328411847352982,12.816645517473644
38,123,gate_up,11,True,0.11331668496131897,12.816645517473644
38,124,gate_up,7,True,0.11331252753734589,12.816645517473644
38,125,gate_up,12180,False,0.11720504611730576,15.74832960209917
38,126,gate_up,6918,False,0.1218281015753746,14.2372688760324
38,127,gate_up,24,True,0.11318480968475342,12.816645517473644
38,0,down,975,False,0.1439688354730606,2.065997961933514
38,1,down,8987,False,0.11581582576036453,2.6087946540155182
38,2,down,396,True,0.0965595617890358,1.079220788566758
38,3,down,143961,False,0.10534287989139557,1.4090026061574619
38,4,down,12729,False,0.11946119368076324,2.2117916810236533
38,5,down,5,True,0.09680938720703125,1.0787591171336106
38,6,down,1428,False,0.1276336908340454,1.562424668415942
38,7,down,15017,False,0.10641609877347946,1.2780899933717607
38,8,down,16799,False,0.10710824280977249,1.350371668920332
38,9,down,21,True,0.09667409211397171,1.0808003397318438
38,10,down,27508,False,0.10637309402227402,1.314233002169741
38,11,down,6998,False,0.11912521719932556,1.5591313221943712
38,12,down,4927,False,0.11498961597681046,2.0295409846745205
38,13,down,3,True,0.0966363400220871,1.0788069564158995
38,14,down,12725,False,0.11581873148679733,1.538774692760564
38,15,down,46007,False,0.10869011282920837,1.3339769522448977
38,16,down,33463,False,0.11097937822341919,1.6342771629789588
38,17,down,19271,False,0.12123364210128784,2.4570722889068755
38,18,down,35585,False,0.11402632296085358,2.191353833606738
