model,rotation,layer,group,module,columns,rows,hessian_sequences,dead_columns,damp,groupsize,blocksize
qwen3_8b_base,nar_k8,19,2,mlp.up_proj,4096,12288,128,0,40.95998001098633,-1,128
qwen3_8b_base,nar_k8,19,2,mlp.gate_proj,4096,12288,128,0,40.95998001098633,-1,128
qwen3_8b_base,nar_k8,19,3,mlp.down_proj,12288,4096,128,0,1.002602458000183,-1,128
qwen3_8b_base,nar_k8,20,0,self_attn.k_proj,4096,1024,128,0,40.95998001098633,-1,128
qwen3_8b_base,nar_k8,20,0,self_attn.v_proj,4096,1024,128,0,40.95998001098633,-1,128
qwen3_8b_base,nar_k8,20,0,self_attn.q_proj,4096,4096,128,0,40.95998001098633,-1,128
qwen3_8b_base,nar_k8,20,1,self_attn.o_proj,4096,4096,128,0,2.7794342041015625,-1,128
qwen3_8b_base,nar_k8,20,2,mlp.up_proj,4096,12288,128,0,40.959983825683594,-1,128
qwen3_8b_base,nar_k8,20,2,mlp.gate_proj,4096,12288,128,0,40.959983825683594,-1,128
qwen3_8b_base,nar_k8,20,3,mlp.down_proj,12288,4096,128,0,1.1860909461975098,-1,128
qwen3_8b_base,nar_k8,21,0,self_attn.k_proj,4096,1024,128,0,40.959983825683594,-1,128
qwen3_8b_base,nar_k8,21,0,self_attn.v_proj,4096,1024,128,0,40.959983825683594,-1,128
qwen3_8b_base,nar_k8,21,0,self_attn.q_proj,4096,4096,128,0,40.959983825683594,-1,128
qwen3_8b_base,nar_k8,21,1,self_attn.o_proj,4096,4096,128,0,3.4967427253723145,-1,128
qwen3_8b_base,nar_k8,21,2,mlp.up_proj,4096,12288,128,0,40.95998764038086,-1,128
qwen3_8b_base,nar_k8,21,2,mlp.gate_proj,4096,12288,128,0,40.95998764038086,-1,128
qwen3_8b_base,nar_k8,21,3,mlp.down_proj,12288,4096,128,0,1.6209532022476196,-1,128
qwen3_8b_base,nar_k8,22,0,self_attn.k_proj,4096,1024,128,0,40.959983825683594,-1,128
qwen3_8b_base,nar_k8,22,0,self_attn.v_proj,4096,1024,128,0,40.959983825683594,-1,128
qwen3_8b_base,nar_k8,22,0,self_attn.q_proj,4096,4096,128,0,40.959983825683594,-1,128
qwen3_8b_base,nar_k8,22,1,self_attn.o_proj,4096,4096,128,0,5.786388874053955,-1,128
qwen3_8b_base,nar_k8,22,2,mlp.up_proj,4096,12288,128,0,40.95998764038086,-1,128
qwen3_8b_base,nar_k8,22,2,mlp.gate_proj,4096,12288,128,0,40.95998764038086,-1,128
