model,model_id,site,method,seed,sequence,nll,tokens_scored,rotation_only_nll,weight_fold_max_relative_error
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,59,1.9408085346221924,2047,1.9408085346221924,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,60,2.2019741535186768,2047,2.2019741535186768,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,61,2.392759323120117,2047,2.392759323120117,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,62,2.4312007427215576,2047,2.4312007427215576,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,63,2.6506474018096924,2047,2.6506474018096924,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,64,2.010155439376831,2047,2.010155439376831,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,65,1.9335591793060303,2047,1.9335591793060303,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,66,2.2685017585754395,2047,2.2685017585754395,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,67,2.006455898284912,2047,2.006455898284912,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,68,2.071794271469116,2047,2.071794271469116,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,69,2.004167318344116,2047,2.004167318344116,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,70,1.873478889465332,2047,1.873478889465332,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,71,2.001404285430908,2047,2.001404285430908,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,72,2.4872384071350098,2047,2.4872384071350098,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,73,2.5325710773468018,2047,2.5325710773468018,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,74,2.1654441356658936,2047,2.1654441356658936,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,75,2.022428035736084,2047,2.022428035736084,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,76,2.185152053833008,2047,2.185152053833008,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,77,2.152491807937622,2047,2.152491807937622,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,78,2.192042112350464,2047,2.192042112350464,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,79,2.3057985305786133,2047,2.3057985305786133,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,80,2.287799596786499,2047,2.287799596786499,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,81,2.342766761779785,2047,2.342766761779785,0.0
