model,rotation,layer,group,module,columns,rows,hessian_sequences,dead_columns,damp,groupsize,blocksize
qwen3_8b_base,nar_kmax,13,3,mlp.down_proj,12288,4096,128,0,0.5964144468307495,-1,128
qwen3_8b_base,nar_kmax,14,0,self_attn.k_proj,4096,1024,128,0,40.959964752197266,-1,128
qwen3_8b_base,nar_kmax,14,0,self_attn.v_proj,4096,1024,128,0,40.959964752197266,-1,128
qwen3_8b_base,nar_kmax,14,0,self_attn.q_proj,4096,4096,128,0,40.959964752197266,-1,128
qwen3_8b_base,nar_kmax,14,1,self_attn.o_proj,4096,4096,128,0,1.3006160259246826,-1,128
qwen3_8b_base,nar_kmax,14,2,mlp.up_proj,4096,12288,128,0,40.95996856689453,-1,128
qwen3_8b_base,nar_kmax,14,2,mlp.gate_proj,4096,12288,128,0,40.95996856689453,-1,128
qwen3_8b_base,nar_kmax,14,3,mlp.down_proj,12288,4096,128,0,0.570003867149353,-1,128
qwen3_8b_base,nar_kmax,15,0,self_attn.k_proj,4096,1024,128,0,40.959964752197266,-1,128
qwen3_8b_base,nar_kmax,15,0,self_attn.v_proj,4096,1024,128,0,40.959964752197266,-1,128
qwen3_8b_base,nar_kmax,15,0,self_attn.q_proj,4096,4096,128,0,40.959964752197266,-1,128
qwen3_8b_base,nar_kmax,15,1,self_attn.o_proj,4096,4096,128,0,1.3203985691070557,-1,128
qwen3_8b_base,nar_kmax,15,2,mlp.up_proj,4096,12288,128,0,40.95996856689453,-1,128
qwen3_8b_base,nar_kmax,15,2,mlp.gate_proj,4096,12288,128,0,40.95996856689453,-1,128
qwen3_8b_base,nar_kmax,15,3,mlp.down_proj,12288,4096,128,0,0.5580409169197083,-1,128
qwen3_8b_base,nar_kmax,16,0,self_attn.k_proj,4096,1024,128,0,40.959964752197266,-1,128
qwen3_8b_base,nar_kmax,16,0,self_attn.v_proj,4096,1024,128,0,40.959964752197266,-1,128
qwen3_8b_base,nar_kmax,16,0,self_attn.q_proj,4096,4096,128,0,40.959964752197266,-1,128
qwen3_8b_base,nar_kmax,16,1,self_attn.o_proj,4096,4096,128,0,1.251225233078003,-1,128
qwen3_8b_base,nar_kmax,16,2,mlp.up_proj,4096,12288,128,0,40.95996856689453,-1,128
qwen3_8b_base,nar_kmax,16,2,mlp.gate_proj,4096,12288,128,0,40.95996856689453,-1,128
qwen3_8b_base,nar_kmax,16,3,mlp.down_proj,12288,4096,128,0,30.831762313842773,-1,128
qwen3_8b_base,nar_kmax,17,0,self_attn.k_proj,4096,1024,128,0,40.959964752197266,-1,128
qwen3_8b_base,nar_kmax,17,0,self_attn.v_proj,4096,1024,128,0,40.959964752197266,-1,128
qwen3_8b_base,nar_kmax,17,0,self_attn.q_proj,4096,4096,128,0,40.959964752197266,-1,128
qwen3_8b_base,nar_kmax,17,1,self_attn.o_proj,4096,4096,128,0,1.9171909093856812,-1,128
qwen3_8b_base,nar_kmax,17,2,mlp.up_proj,4096,12288,128,0,40.95996856689453,-1,128
qwen3_8b_base,nar_kmax,17,2,mlp.gate_proj,4096,12288,128,0,40.95996856689453,-1,128
qwen3_8b_base,nar_kmax,17,3,mlp.down_proj,12288,4096,128,0,0.6392119526863098,-1,128
qwen3_8b_base,nar_kmax,18,0,self_attn.k_proj,4096,1024,128,0,40.9599723815918,-1,128
qwen3_8b_base,nar_kmax,18,0,self_attn.v_proj,4096,1024,128,0,40.9599723815918,-1,128
qwen3_8b_base,nar_kmax,18,0,self_attn.q_proj,4096,4096,128,0,40.9599723815918,-1,128
qwen3_8b_base,nar_kmax,18,1,self_attn.o_proj,4096,4096,128,0,2.1040618419647217,-1,128
qwen3_8b_base,nar_kmax,18,2,mlp.up_proj,4096,12288,128,0,40.95997619628906,-1,128
qwen3_8b_base,nar_kmax,18,2,mlp.gate_proj,4096,12288,128,0,40.95997619628906,-1,128
qwen3_8b_base,nar_kmax,18,3,mlp.down_proj,12288,4096,128,0,0.7584059238433838,-1,128
qwen3_8b_base,nar_kmax,19,0,self_attn.k_proj,4096,1024,128,0,40.95997619628906,-1,128
qwen3_8b_base,nar_kmax,19,0,self_attn.v_proj,4096,1024,128,0,40.95997619628906,-1,128
qwen3_8b_base,nar_kmax,19,0,self_attn.q_proj,4096,4096,128,0,40.95997619628906,-1,128
qwen3_8b_base,nar_kmax,19,1,self_attn.o_proj,4096,4096,128,0,2.4961225986480713,-1,128
qwen3_8b_base,nar_kmax,19,2,mlp.up_proj,4096,12288,128,0,40.95998001098633,-1,128
qwen3_8b_base,nar_kmax,19,2,mlp.gate_proj,4096,12288,128,0,40.95998001098633,-1,128
qwen3_8b_base,nar_kmax,19,3,mlp.down_proj,12288,4096,128,0,0.9990749359130859,-1,128
qwen3_8b_base,nar_kmax,20,0,self_attn.k_proj,4096,1024,128,0,40.95998001098633,-1,128
qwen3_8b_base,nar_kmax,20,0,self_attn.v_proj,4096,1024,128,0,40.95998001098633,-1,128
qwen3_8b_base,nar_kmax,20,0,self_attn.q_proj,4096,4096,128,0,40.95998001098633,-1,128
qwen3_8b_base,nar_kmax,20,1,self_attn.o_proj,4096,4096,128,0,2.7366783618927,-1,128
qwen3_8b_base,nar_kmax,20,2,mlp.up_proj,4096,12288,128,0,40.959983825683594,-1,128
qwen3_8b_base,nar_kmax,20,2,mlp.gate_proj,4096,12288,128,0,40.959983825683594,-1,128
qwen3_8b_base,nar_kmax,20,3,mlp.down_proj,12288,4096,128,0,1.1809487342834473,-1,128
qwen3_8b_base,nar_kmax,21,0,self_attn.k_proj,4096,1024,128,0,40.95998001098633,-1,128
qwen3_8b_base,nar_kmax,21,0,self_attn.v_proj,4096,1024,128,0,40.95998001098633,-1,128
