experiment,model,row,seed,eval_set,chunk,nll,tokens,token_sha256
32,qwen3_4b_base,hadamard,0,wt2,55,1.8627164363861084,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,0,wt2,56,1.6374893188476562,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,0,wt2,57,1.569522738456726,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,0,wt2,58,1.9000236988067627,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,0,wt2,59,1.8675700426101685,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,0,wt2,60,2.1337428092956543,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,0,wt2,61,2.29760479927063,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,0,wt2,62,2.3886122703552246,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,0,wt2,63,2.6482198238372803,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,0,1.8148627281188965,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,1,2.288668632507324,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,2,2.4936234951019287,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,3,2.217733383178711,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,4,1.9872372150421143,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,5,1.530600905418396,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,6,1.3375868797302246,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,7,1.911481261253357,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,8,2.1378836631774902,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,9,2.217586040496826,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,10,2.0846917629241943,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,11,2.1378791332244873,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,12,2.1211347579956055,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,13,2.267927885055542,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,14,2.1820123195648193,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,15,2.317082643508911,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,16,2.4305927753448486,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,17,2.256755828857422,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,18,2.045637369155884,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,19,1.8837690353393555,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,20,2.063873767852783,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
