model,row,seed,chunk,nll,tokens,quantized_input_positions,token_sha256,unmasked_bf16_bit_identical
qwen3_4b_base,Q1_asym,1,53,1.8010032176971436,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,1,54,1.66301691532135,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,1,55,1.8317927122116089,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,1,56,1.6178503036499023,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,1,57,1.5444101095199585,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,1,58,1.8831396102905273,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,1,59,1.8373527526855469,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,1,60,2.1159489154815674,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,1,61,2.27919602394104,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,1,62,2.3600220680236816,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,1,63,2.614027500152588,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,2,0,1.8043252229690552,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,2,1,2.261406660079956,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,2,2,2.447530746459961,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,2,3,2.1879632472991943,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,2,4,1.9602549076080322,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,2,5,1.5250076055526733,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,2,6,1.304964542388916,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,2,7,1.8900680541992188,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,2,8,2.10563325881958,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,2,9,2.182159423828125,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,2,10,2.0644938945770264,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,2,11,2.123406171798706,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,2,12,2.0885744094848633,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,2,13,2.251715660095215,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,2,14,2.1728873252868652,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,2,15,2.311021327972412,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,2,16,2.413262128829956,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,2,17,2.2397379875183105,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
qwen3_4b_base,Q1_asym,2,18,2.0180411338806152,2047,2048,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e,True
