model,row,seed,site,layer,group,group_class,observations,mean_range,scope
qwen3_4b_base,Q1_asym,0,down,1,52,anchor,131072,0.0630778800232008,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,53,anchor,131072,0.05923369220569086,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,54,anchor,131072,0.05565020416523048,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,55,anchor,131072,0.05675025335349382,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,56,anchor,131072,0.06321292539618639,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,57,anchor,131072,0.060788855777424544,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,58,anchor,131072,0.05319928010642272,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,59,anchor,131072,0.05003908625931075,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,60,anchor,131072,0.05351145813985525,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,61,anchor,131072,0.06213908030495929,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,62,anchor,131072,0.05894578887131985,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,63,anchor,131072,0.06839327746443047,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,64,anchor,131072,0.05579080708244888,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,65,anchor,131072,0.07325238320407479,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,66,anchor,131072,0.06114973518771549,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,67,anchor,131072,0.0697960092332437,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,68,anchor,131072,0.07293856022847223,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,69,anchor,131072,0.05880482490223571,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,70,anchor,131072,0.06149922723807677,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,71,anchor,131072,0.06956316612413005,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,72,anchor,131072,0.054744461219630836,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,73,anchor,131072,0.06824093144378907,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,74,anchor,131072,0.0702860409429924,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,1,75,anchor,131072,0.06419995677089219,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,0,anchor,131072,0.06097531775697007,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,1,anchor,131072,0.06483256439596019,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,2,anchor,131072,0.05930915866719033,actual_quantized_forward
