model,seed,site,layer,k,f_wt2,f_c4,f_delta,all_jaccard,all_changed_fraction,all_slots,anchor_jaccard,anchor_changed_fraction,anchor_slots,filler_jaccard,filler_changed_fraction,filler_slots,residual_jaccard,residual_changed_fraction,residual_slots
qwen3_4b_base,0,down,33,76,0.3646517578684252,0.34797320263742937,-0.016678555230995817,0.004284313219429102,0.991467927631579,9728,1.0,0.0,76,,,0,0.0003627506866352283,0.9992747617074181,9652
qwen3_4b_base,0,down,34,76,0.5497243037379971,0.5493593294621938,-0.000364974275803287,0.0041806451612903224,0.9916735197368421,9728,1.0,0.0,76,,,0,0.0002590807813876367,0.9994819726481559,9652
qwen3_4b_base,0,down,35,76,0.9598204289701332,0.9661325725980147,0.006312143627881461,0.004284313219429102,0.991467927631579,9728,1.0,0.0,76,,,0,0.0003627506866352283,0.9992747617074181,9652
qwen3_4b_base,1,qkv,0,20,0.5630344709352562,0.5192963075487466,-0.0437381633865096,0.005893909626719057,0.98828125,2560,1.0,0.0,20,,,0,0.0019723865877712033,0.9960629921259843,2540
qwen3_4b_base,1,qkv,1,20,0.48898681792732246,0.45385764962008424,-0.03512916830723822,0.009861932938856016,0.98046875,2560,1.0,0.0,20,,,0,0.005940594059405941,0.9881889763779528,2540
qwen3_4b_base,1,qkv,2,20,0.35071979417298904,0.30269820543074,-0.048021588742249044,0.009065825778478517,0.98203125,2560,1.0,0.0,20,,,0,0.0051444400474871385,0.989763779527559,2540
qwen3_4b_base,1,qkv,3,20,0.42720432437837524,0.3948673500573891,-0.032336974320986145,0.007675654398740406,0.984765625,2560,1.0,0.0,20,,,0,0.003754198774945663,0.99251968503937,2540
qwen3_4b_base,1,qkv,4,20,0.34467266948095965,0.3064381161037811,-0.03823455337717857,0.008668242710795903,0.9828125,2560,1.0,0.0,20,,,0,0.004746835443037975,0.9905511811023622,2540
qwen3_4b_base,1,qkv,5,20,0.4496726063930473,0.4153069592406898,-0.034365647152357515,0.007279165846940783,0.985546875,2560,1.0,0.0,20,,,0,0.003357693067351373,0.9933070866141732,2540
qwen3_4b_base,1,qkv,6,20,0.43431524035027386,0.4078286359359914,-0.026486604414282466,0.007675654398740406,0.984765625,2560,1.0,0.0,20,,,0,0.003754198774945663,0.99251968503937,2540
qwen3_4b_base,1,qkv,7,20,0.5612719218513437,0.5438382316511434,-0.017433690200200247,0.009264734870885078,0.981640625,2560,1.0,0.0,20,,,0,0.005343360379972293,0.9893700787401575,2540
qwen3_4b_base,1,qkv,8,20,0.47582273451837004,0.4612767317399877,-0.014546002778382361,0.008270972823946435,0.98359375,2560,1.0,0.0,20,,,0,0.004349545274812179,0.9913385826771653,2540
qwen3_4b_base,1,qkv,9,20,0.4763080970049358,0.4595675730230552,-0.01674052398188064,0.010260457774269928,0.9796875,2560,1.0,0.0,20,,,0,0.006339144215530904,0.9874015748031496,2540
qwen3_4b_base,1,qkv,10,20,0.5169874997745395,0.5019753978379081,-0.015012101936631383,0.00688298918387414,0.986328125,2560,1.0,0.0,20,,,0,0.0029615004935834156,0.9940944881889764,2540
