model,site,layer,dc_energy,total_energy,dc_share,rotation_seed,samples
qwen3_4b_base,qkv,32,1980859248.0121508,3473173213.456336,0.570331257979758,0,131072
qwen3_4b_base,qkv,33,2791904772.7180743,5565411463.30761,0.5016528950509622,0,131072
qwen3_4b_base,qkv,34,3852660955.016303,6517881436.691305,0.5910909844613624,0,131072
qwen3_4b_base,qkv,35,2630439025.5506506,4279475778.310463,0.6146638424459427,0,131072
qwen3_4b_base,down,0,443899.8267915185,1890872.9353889225,0.23475920485382343,0,131072
qwen3_4b_base,down,1,1120800.732746236,2338805.808898798,0.479219235937315,0,131072
qwen3_4b_base,down,2,328678.18762076873,1441340.4669547623,0.22803646685588033,0,131072
qwen3_4b_base,down,3,939517.4684125809,4448426.37943547,0.21120220686484886,0,131072
qwen3_4b_base,down,4,2328411.1347727566,9447261.31855143,0.24646413984553325,0,131072
qwen3_4b_base,down,5,2441846.643732006,13129260.990361676,0.18598507909352938,0,131072
qwen3_4b_base,down,6,504377876.4195117,517544297.1632008,0.9745598187133782,0,131072
qwen3_4b_base,down,7,2344350.2491916143,18287202.38083054,0.12819622161829775,0,131072
qwen3_4b_base,down,8,3042972.922712952,23298958.336631715,0.13060553518088605,0,131072
qwen3_4b_base,down,9,6088006.653237759,30626848.968989078,0.19878005273745633,0,131072
qwen3_4b_base,down,10,6568286.67671721,28620067.904015634,0.22949933937073658,0,131072
qwen3_4b_base,down,11,5064661.326262794,25157638.51088763,0.2013170403124653,0,131072
qwen3_4b_base,down,12,5351775.985991185,24403671.56914785,0.21930208209969212,0,131072
qwen3_4b_base,down,13,4372459.791609373,23809491.27770006,0.18364356216651356,0,131072
qwen3_4b_base,down,14,3858300.0540449303,20471639.572032116,0.18847049551009346,0,131072
qwen3_4b_base,down,15,4011598.812360597,19120640.989831023,0.20980461975590123,0,131072
qwen3_4b_base,down,16,1264412479.7714236,1279010430.0212991,0.9885865275941241,0,131072
qwen3_4b_base,down,17,4169584.104673301,19700173.392860994,0.21165215257365638,0,131072
qwen3_4b_base,down,18,5159043.874087885,23482810.094435297,0.21969448517196072,0,131072
qwen3_4b_base,down,19,6390468.318200672,29861480.437002573,0.21400373406410164,0,131072
qwen3_4b_base,down,20,6765641.979835456,33678602.27604263,0.20088844318364762,0,131072
qwen3_4b_base,down,21,8972958.213868704,44578932.39696819,0.20128248325836878,0,131072
qwen3_4b_base,down,22,18150627.314978406,72036105.39558029,0.2519656943598733,0,131072
qwen3_4b_base,down,23,26153569.10215932,101905039.73033187,0.25664647373053084,0,131072
qwen3_4b_base,down,24,33384297.284695577,128771894.61234897,0.25925142582699945,0,131072
qwen3_4b_base,down,25,32671018.758142386,145257701.08160767,0.22491763613818574,0,131072
qwen3_4b_base,down,26,43420469.84871595,172709333.7133725,0.25140777811566534,0,131072
qwen3_4b_base,down,27,56262628.50632887,227593746.37461475,0.24720639034484593,0,131072
qwen3_4b_base,down,28,81759451.13976838,328114078.354599,0.2491799545748519,0,131072
qwen3_4b_base,down,29,134637478.78266338,437313947.7198672,0.3078737357558714,0,131072
qwen3_4b_base,down,30,173068349.60966364,605738400.3580142,0.2857146740364714,0,131072
qwen3_4b_base,down,31,239048971.0573172,793912366.484855,0.3011024656483637,0,131072
qwen3_4b_base,down,32,245541559.14986625,983863815.0462178,0.24956864496366477,0,131072
qwen3_4b_base,down,33,482060991.52831745,1431045378.1996405,0.336859332954756,0,131072
qwen3_4b_base,down,34,1411250516.7275283,2698194038.540626,0.5230352215479774,0,131072
qwen3_4b_base,down,35,31275144880.936462,32675593587.06741,0.9571408334970469,0,131072
