model,source_row,seed,chunk,fp64_mean_of_token_losses,frozen_fp32_chunk_nll,difference,interpretation
qwen3_4b_base,Q2_pq,0,14,2.1862407471499092,2.1862406730651855,7.408472368908292e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q2_pq,0,15,2.303371454408213,2.3033714294433594,2.4964853739817272e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q2_pq,0,16,2.430693740039615,2.4306936264038086,1.1363580654233374e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q2_pq,0,17,2.243941734405067,2.2439417839050293,-4.949996235126264e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q2_pq,0,18,2.0279521099796067,2.027951955795288,1.541843186458891e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q2_pq,0,19,1.880170977929374,1.8801709413528442,3.6576529804932534e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q2_pq,0,20,2.036111326937572,2.036111354827881,-2.7890308729183744e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q2_pq,0,21,2.3218128255253583,2.321812868118286,-4.2592927851359264e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q2_pq,0,22,2.058208688204816,2.058208703994751,-1.578993513717819e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q2_pq,0,23,2.185032730439476,2.185032844543457,-1.1410398093048002e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q2_pq,0,24,2.164216586247317,2.1642165184020996,6.784521744407357e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q2_pq,0,25,2.2624335965416864,2.2624332904815674,3.060601190263412e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q2_pq,0,26,2.3438053584446155,2.3438053131103516,4.533426389841111e-08,reduction-order diagnostic; frozen scalar replay is separately bit-identical
qwen3_4b_base,Q2_pq,0,27,2.5235931036779666,2.523592948913574,1.5476439241268736e-07,reduction-order diagnostic; frozen scalar replay is separately bit-identical
