model,row,site,layer,seed,group,m,k,s_meas,s_hadamard,f_calibration,f_test_capture,s_pred,relative_error,observations,groups_measured,f_definition
qwen3_4b_base,E22_kmax,qkv,6,1,128,1,20,0.03928119862286259,0.053822349829772874,0.43612394028080964,0.43238137637780033,0.04041610739062926,0.02889190777152413,131072,2621440,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_kmax,qkv,6,2,128,1,20,0.03927992605649457,0.053824407603642044,0.43612394028080964,0.43238137638471164,0.04041765260762452,0.0289645797574467,131072,2621440,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_k8,down,6,0,128,1,8,0.02969955929507483,0.03919357609020603,0.9725558246211315,0.9717973529510108,0.006492918985510569,-0.7813799551366639,131072,9961472,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_k8,down,6,1,128,1,8,0.029701238267392543,0.039181983474568256,0.9725558246211315,0.9717973705232494,0.006490998519922204,-0.7814569728882874,131072,9961472,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_k8,down,6,2,128,1,8,0.029698712820661412,0.03917976965603537,0.9725558246211315,0.971797367114859,0.006490631772464671,-0.7814507378936256,131072,9961472,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_kmax,down,6,0,128,1,76,0.028386976756724868,0.03919357609020603,0.9755282833956329,0.9745418113599207,0.006131222945821001,-0.7840128239662396,131072,9961472,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_kmax,down,6,1,128,1,76,0.028385220449113853,0.039181983474568256,0.9755282833956329,0.9745418340960327,0.006129409462130796,-0.7840633482794689,131072,9961472,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_kmax,down,6,2,128,1,76,0.02838718757605678,0.03917976965603537,0.9755282833956329,0.9745417842366918,0.0061290631447915595,-0.7840905116658642,131072,9961472,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_k8,qkv,7,0,128,1,8,0.05678194836218027,0.0818495864002248,0.5030141926910368,0.5024100726510237,0.05770168325698596,0.01619766354157508,131072,2621440,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_k8,qkv,7,1,128,1,8,0.05678100538734334,0.08228679293692238,0.5030141926910368,0.5024100725169893,0.05800990171242263,0.02164273627590988,131072,2621440,saved factor eigenvalue sum / calibration trace
