model,row,seed,site,layer,rank,residual_group_energy_max_median,captured_fraction
qwen3_4b_base,P2_k8,0,down,12,8,2.2357530762232125,0.10554763424749465
qwen3_4b_base,P2_k8,0,down,13,8,3.795024656253365,0.07646000850395647
qwen3_4b_base,P2_k8,0,down,14,8,3.0272543845068483,0.08317661122296616
qwen3_4b_base,P2_k8,0,down,15,8,3.9273778043427163,0.09908000044258178
qwen3_4b_base,P2_k8,0,down,16,8,3.575528608646273,0.9866813950573308
qwen3_4b_base,P2_k8,0,down,17,8,4.122103056984521,0.0970015117307793
qwen3_4b_base,P2_k8,0,down,18,8,5.915880121481181,0.09749360028379997
qwen3_4b_base,P2_k8,0,down,19,8,5.5478368055148986,0.09192165179997967
qwen3_4b_base,P2_k8,0,down,20,8,5.369307037407042,0.08127654955551765
qwen3_4b_base,P2_k8,0,down,21,8,6.649153519758635,0.07515450069990101
qwen3_4b_base,P2_k8,0,down,22,8,9.829585767507725,0.11293998211533494
qwen3_4b_base,P2_k8,0,down,23,8,6.885049498647558,0.11537956434418764
qwen3_4b_base,P2_k8,0,down,24,8,6.998967179560452,0.11430639734130532
qwen3_4b_base,P2_k8,0,down,25,8,6.023587603320519,0.10733855062403318
qwen3_4b_base,P2_k8,0,down,26,8,7.026306033654381,0.11387916598836084
qwen3_4b_base,P2_k8,0,down,27,8,11.810789710882286,0.10596751241742013
qwen3_4b_base,P2_k8,0,down,28,8,13.227202792674715,0.11351569748344344
qwen3_4b_base,P2_k8,0,down,29,8,6.6464146312907415,0.1437069315580895
qwen3_4b_base,P2_k8,0,down,30,8,5.787717643497452,0.1501154639786493
qwen3_4b_base,P2_k8,0,down,31,8,5.6182478587400215,0.2026771341994276
qwen3_4b_base,P2_k8,0,down,32,8,6.0607266122146255,0.12195406427877817
qwen3_4b_base,P2_k8,0,down,33,8,6.449796261493857,0.20979152328080367
qwen3_4b_base,P2_k8,0,down,34,8,8.618313868692262,0.41108382808214516
qwen3_4b_base,P2_k8,0,down,35,8,25.24426307401292,0.9221544341003804
qwen3_4b_base,P2_k8,1,qkv,0,8,3.4650046084009904,0.4680118808035058
qwen3_4b_base,P2_k8,1,qkv,1,8,6.90245102659476,0.4158786010576637
qwen3_4b_base,P2_k8,1,qkv,2,8,3.2235955407035,0.2752293688989568
qwen3_4b_base,P2_k8,1,qkv,3,8,6.359873378346465,0.35479744666074425
qwen3_4b_base,P2_k8,1,qkv,4,8,3.1149203906135052,0.27676972361728663
qwen3_4b_base,P2_k8,1,qkv,5,8,4.128579397842758,0.3835816746669607
qwen3_4b_base,P2_k8,1,qkv,6,8,5.1367666052768115,0.36164833276416036
qwen3_4b_base,P2_k8,1,qkv,7,8,6.733967910668356,0.5031016978618433
qwen3_4b_base,P2_k8,1,qkv,8,8,3.9549332810429165,0.42330288374449354
qwen3_4b_base,P2_k8,1,qkv,9,8,5.105027630526161,0.42210857098568355
qwen3_4b_base,P2_k8,1,qkv,10,8,3.584454313175284,0.46988497303377713
qwen3_4b_base,P2_k8,1,qkv,11,8,4.556844474013658,0.45843779629794496
qwen3_4b_base,P2_k8,1,qkv,12,8,5.976179500766188,0.49361874153978264
qwen3_4b_base,P2_k8,1,qkv,13,8,6.102602818465554,0.4487740018710323
qwen3_4b_base,P2_k8,1,qkv,14,8,4.954422810971781,0.5341087013340866
qwen3_4b_base,P2_k8,1,qkv,15,8,6.394026134783705,0.5361170542999386
qwen3_4b_base,P2_k8,1,qkv,16,8,4.453086789710097,0.48041311134108144
qwen3_4b_base,P2_k8,1,qkv,17,8,5.803946845486438,0.47978108292242627
qwen3_4b_base,P2_k8,1,qkv,18,8,6.264951353827589,0.5315426218978285
qwen3_4b_base,P2_k8,1,qkv,19,8,8.830489475903395,0.5405353886784419
qwen3_4b_base,P2_k8,1,qkv,20,8,10.791145715953537,0.5272797893549319
qwen3_4b_base,P2_k8,1,qkv,21,8,12.297670953943964,0.5781964202036027
qwen3_4b_base,P2_k8,1,qkv,22,8,11.965879030171166,0.5589162536797146
qwen3_4b_base,P2_k8,1,qkv,23,8,13.25159949287273,0.5275664158211376
qwen3_4b_base,P2_k8,1,qkv,24,8,17.72328822296757,0.5140231356082833
qwen3_4b_base,P2_k8,1,qkv,25,8,13.265503151398642,0.5759540842657244
qwen3_4b_base,P2_k8,1,qkv,26,8,11.05266637064466,0.5176305109123008
qwen3_4b_base,P2_k8,1,qkv,27,8,13.579158174655765,0.5517112305253633
qwen3_4b_base,P2_k8,1,qkv,28,8,18.77776554903172,0.5758585791924327
qwen3_4b_base,P2_k8,1,qkv,29,8,18.415117178077086,0.4630885167256993
qwen3_4b_base,P2_k8,1,qkv,30,8,10.83968071003003,0.5299310758427281
qwen3_4b_base,P2_k8,1,qkv,31,8,16.229981524417365,0.494012313767693
qwen3_4b_base,P2_k8,1,qkv,32,8,14.45563561657607,0.5178906585015841
qwen3_4b_base,P2_k8,1,qkv,33,8,23.84885087427395,0.43487988941219385
qwen3_4b_base,P2_k8,1,qkv,34,8,12.798886866639227,0.5409208664574305
qwen3_4b_base,P2_k8,1,qkv,35,8,6.8481851285673745,0.575353635615074
