model,solver,site,layer,k,captured_fraction,ritz_residual_median,ritz_residual_max,principal_angle_max_deg
qwen3_4b_base,S1,qkv,20,20,0.010686205963516238,4.4074037512230575,9.230516932863631,89.6762918642135
qwen3_4b_base,S2,qkv,20,20,0.6078978728118677,0.2318944410237476,0.45441893076004525,86.04057218906344
qwen3_4b_base,S3,qkv,20,20,0.6213876907126022,0.03878509062998198,0.16762514662243458,18.63824506458805
qwen3_4b_base,S4,qkv,20,20,0.6223114248985072,4.047285773759038e-15,1.2073161590467223e-14,5.72728773124927e-06
qwen3_4b_base,S1,qkv,21,20,0.017412569563618894,4.4883437178122705,6.152625247104849,89.90553433429062
qwen3_4b_base,S2,qkv,21,20,0.6528974938043888,0.2431978709569636,0.43559611466585746,47.42120745014849
qwen3_4b_base,S3,qkv,21,20,0.6659949031972916,0.050550692172468076,0.12238489024848394,15.662901510854615
qwen3_4b_base,S4,qkv,21,20,0.6668138856766314,6.822808255886417e-15,4.618875587297084e-14,5.598568198963992e-06
qwen3_4b_base,S1,qkv,22,20,0.011556609321046234,4.355917649339625,8.599131840064805,89.50115768613098
qwen3_4b_base,S2,qkv,22,20,0.6294367431132577,0.26314791162233764,0.45395259981934355,44.67321171407554
qwen3_4b_base,S3,qkv,22,20,0.6427319088833272,0.05676942972448221,0.1202768270854384,16.678750521177843
qwen3_4b_base,S4,qkv,22,20,0.6435672444776468,5.678433660078128e-15,3.166259913001905e-14,6.273929367455621e-06
qwen3_4b_base,S1,qkv,23,20,0.014747183236675579,4.397100979843717,6.36042437285761,89.2628055976302
qwen3_4b_base,S2,qkv,23,20,0.604150186592983,0.2292368009528431,0.48296119928725967,62.917720988911086
qwen3_4b_base,S3,qkv,23,20,0.6184228281566378,0.04767587472166808,0.14246707007466045,24.89536081385004
qwen3_4b_base,S4,qkv,23,20,0.6196488094482044,4.894826808053999e-15,9.634436513836811e-15,4.26886823125797e-06
qwen3_4b_base,S1,qkv,24,20,0.00994369462812638,4.048555057548459,10.095023569489458,89.97708760173333
qwen3_4b_base,S2,qkv,24,20,0.5898091427568541,0.289527641326668,0.48990804596871573,82.84939642057286
qwen3_4b_base,S3,qkv,24,20,0.6083230150068535,0.06308268984556537,0.2118765455979737,33.77637402855891
qwen3_4b_base,S4,qkv,24,20,0.6102720198235078,5.120210180519373e-15,3.4039429497585535e-14,4.9783130603797145e-06
qwen3_4b_base,S1,qkv,25,20,0.01148397583422673,3.920321257815371,8.586264425817149,89.70230551329405
qwen3_4b_base,S2,qkv,25,20,0.6374570485077528,0.28389323742433353,0.547354367400678,85.80835058909051
qwen3_4b_base,S3,qkv,25,20,0.6513891544278959,0.05271300760899988,0.22677961777274167,45.17579735660343
qwen3_4b_base,S4,qkv,25,20,0.6529878754603176,8.013479340505056e-15,6.636255364511767e-14,4.90455619685548e-06
qwen3_4b_base,S1,qkv,26,20,0.01371914891930339,3.646405903553486,6.862317928146281,89.33128800056812
qwen3_4b_base,S2,qkv,26,20,0.5806991099069673,0.28798262228578375,0.4921675575865066,58.008944688221455
