rotation,site,layer,n,round_trip_relative_error,tolerance
nar_kmax,r4,15,9728,1.8270876012138615e-07,1e-06
nar_kmax,r2,16,128,1.1588877413259979e-07,1e-06
nar_kmax,r4,16,9728,1.995914260533027e-07,1e-06
nar_kmax,r2,17,128,1.3690632272300718e-07,1e-06
nar_kmax,r4,17,9728,1.9791200145391485e-07,1e-06
nar_kmax,r2,18,128,1.3211982263783284e-07,1e-06
nar_kmax,r4,18,9728,2.1927279192368587e-07,1e-06
nar_kmax,r2,19,128,1.177478239355878e-07,1e-06
nar_kmax,r4,19,9728,2.0366422859297018e-07,1e-06
nar_kmax,r2,20,128,1.1258106979994409e-07,1e-06
nar_kmax,r4,20,9728,2.3519540093275282e-07,1e-06
nar_kmax,r2,21,128,1.2296024465285882e-07,1e-06
nar_kmax,r4,21,9728,1.9660474492866342e-07,1e-06
nar_kmax,r2,22,128,1.189748459751172e-07,1e-06
nar_kmax,r4,22,9728,2.1872020283808524e-07,1e-06
nar_kmax,r2,23,128,1.2519041092673433e-07,1e-06
nar_kmax,r4,23,9728,1.8797476286636083e-07,1e-06
nar_kmax,r2,24,128,1.3724924485813972e-07,1e-06
nar_kmax,r4,24,9728,2.3039039831473929e-07,1e-06
nar_kmax,r2,25,128,1.1503823316161288e-07,1e-06
nar_kmax,r4,25,9728,2.0304773329371528e-07,1e-06
nar_kmax,r2,26,128,1.1469570893041237e-07,1e-06
nar_kmax,r4,26,9728,2.3412398775235488e-07,1e-06
nar_kmax,r2,27,128,1.1902591978696364e-07,1e-06
nar_kmax,r4,27,9728,2.0502500319707906e-07,1e-06
nar_kmax,r2,28,128,1.1725225590453192e-07,1e-06
nar_kmax,r4,28,9728,2.2192108417584677e-07,1e-06
nar_kmax,r2,29,128,1.2035162910706276e-07,1e-06
nar_kmax,r4,29,9728,2.1406798111911485e-07,1e-06
nar_kmax,r2,30,128,1.1628418405962293e-07,1e-06
nar_kmax,r4,30,9728,2.0572926473505504e-07,1e-06
nar_kmax,r2,31,128,1.3570172541221837e-07,1e-06
nar_kmax,r4,31,9728,2.555180742547236e-07,1e-06
nar_kmax,r2,32,128,1.1902348973080734e-07,1e-06
nar_kmax,r4,32,9728,2.3333205945164082e-07,1e-06
nar_kmax,r2,33,128,1.207797026836488e-07,1e-06
nar_kmax,r4,33,9728,2.4274817178593366e-07,1e-06
nar_kmax,r2,34,128,1.2507267399541888e-07,1e-06
nar_kmax,r4,34,9728,3.451307293289574e-07,1e-06
nar_kmax,r2,35,128,1.2903365131933242e-07,1e-06
nar_kmax,r4,35,9728,5.12982580858079e-07,1e-06
