model,row,site,layer,seed,round_trip,tolerance
qwen3_4b_base,E22_k8,qkv,8,1,1.4488500710285734e-07,1e-06
qwen3_4b_base,E22_k8,qkv,8,2,1.440129864249684e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,8,0,1.5980209866484074e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,8,1,1.5882517345744418e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,8,2,1.6104718270071317e-07,1e-06
qwen3_4b_base,E22_k8,down,8,0,1.275920737953129e-07,1e-06
qwen3_4b_base,E22_k8,down,8,1,1.2711761598893645e-07,1e-06
qwen3_4b_base,E22_k8,down,8,2,1.2583133468524466e-07,1e-06
qwen3_4b_base,E22_kmax,down,8,0,1.9893614933153003e-07,1e-06
qwen3_4b_base,E22_kmax,down,8,1,1.9897984770977928e-07,1e-06
qwen3_4b_base,E22_kmax,down,8,2,1.9953736796196608e-07,1e-06
qwen3_4b_base,E22_k8,qkv,9,0,1.471337185421362e-07,1e-06
qwen3_4b_base,E22_k8,qkv,9,1,1.4863169894852035e-07,1e-06
qwen3_4b_base,E22_k8,qkv,9,2,1.4459776309649897e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,9,0,1.6887111087271478e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,9,1,1.6372455036162137e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,9,2,1.6307176053942385e-07,1e-06
qwen3_4b_base,E22_k8,down,9,0,1.3131359821727528e-07,1e-06
qwen3_4b_base,E22_k8,down,9,1,1.310872903559357e-07,1e-06
qwen3_4b_base,E22_k8,down,9,2,1.3202898685449327e-07,1e-06
qwen3_4b_base,E22_kmax,down,9,0,2.163853167758134e-07,1e-06
qwen3_4b_base,E22_kmax,down,9,1,2.1888725143526244e-07,1e-06
qwen3_4b_base,E22_kmax,down,9,2,2.1835870711583993e-07,1e-06
qwen3_4b_base,E22_k8,qkv,10,0,1.316361135650368e-07,1e-06
qwen3_4b_base,E22_k8,qkv,10,1,1.3328877912499593e-07,1e-06
qwen3_4b_base,E22_k8,qkv,10,2,1.326025085290894e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,10,0,1.5777827400142996e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,10,1,1.5957894561324792e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,10,2,1.5963503585680883e-07,1e-06
qwen3_4b_base,E22_k8,down,10,0,1.3025361056406837e-07,1e-06
qwen3_4b_base,E22_k8,down,10,1,1.2964557072336902e-07,1e-06
qwen3_4b_base,E22_k8,down,10,2,1.2946864558216475e-07,1e-06
qwen3_4b_base,E22_kmax,down,10,0,2.2377648178917298e-07,1e-06
qwen3_4b_base,E22_kmax,down,10,1,2.2524702103510208e-07,1e-06
qwen3_4b_base,E22_kmax,down,10,2,2.253989492828623e-07,1e-06
qwen3_4b_base,E22_k8,qkv,11,0,1.3241654528428626e-07,1e-06
qwen3_4b_base,E22_k8,qkv,11,1,1.346993627748816e-07,1e-06
qwen3_4b_base,E22_k8,qkv,11,2,1.3339059989903035e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,11,0,1.5266137154412718e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,11,1,1.525085622233746e-07,1e-06
