model,row,site,layer,group,m,k,s_meas,s_meas_ci90_low,s_meas_ci90_high,s_hadamard,s_hadamard_ci90_low,s_hadamard_ci90_high,s_pred,s_pred_ci90_low,s_pred_ci90_high,relative_error,relative_error_ci90_low,relative_error_ci90_high,f_calibration,f_calibration_ci90_low,f_calibration_ci90_high,f_test_capture,f_test_capture_ci90_low,f_test_capture_ci90_high,seeds,observations_per_seed
llama31_8b,E11_g128_k16,down,18,128,1,16,0.01846523774701218,0.018464326729114893,0.018466148764909467,0.022151355314571214,0.0221471943783791,0.022155516250763327,0.020675877241780608,0.020671993461095533,0.020679761022465683,0.11971898182199141,0.11956299197938614,0.11987497166459668,0.12878111021142347,0.12878111021142347,0.12878111021142347,0.12023973653014751,0.12023973649771154,0.12023973656258348,3,131072
llama31_8b,E11_g128_k16,down,19,128,1,16,0.018950793255544312,0.018950459499101208,0.018951127011987416,0.022524218452542908,0.02252012734085872,0.022528309564227095,0.02118168213100997,0.021177834866456063,0.02118552939556388,0.11772007876816255,0.11751890029929868,0.11792125723702643,0.1156555973945576,0.1156555973945576,0.1156555973945576,0.10247315983991279,0.1024731598242652,0.10247315985556037,3,131072
llama31_8b,E11_g128_k16,down,2,128,1,16,0.0035424101343067035,0.003542210106057314,0.003542610162556093,0.004462688861631232,0.004461345241807663,0.004464032481454801,0.0041606301408894765,0.004159377464462962,0.004161882817315991,0.1745195984257654,0.1742274323784315,0.1748117644730993,0.13078941980248474,0.13078941980248474,0.13078941980248474,0.12817154983078582,0.12817154976997414,0.1281715498915975,3,131072
llama31_8b,E11_g128_k16,down,20,128,1,16,0.01945019475683175,0.019447632269095776,0.019452757244567725,0.02319932507120201,0.023195515460391163,0.023203134682012856,0.02169072003903298,0.02168715815948251,0.021694281918583448,0.11519295862032293,0.11486350835392127,0.11552240888672459,0.12582730452168198,0.12582730452168198,0.12582730452168198,0.11628421271056899,0.11628421268722275,0.11628421273391523,3,131072
llama31_8b,E11_g128_k16,down,21,128,1,16,0.021295830131349894,0.021293547615719857,0.021298112646979932,0.025894634702975275,0.0258887404483337,0.02590052895761685,0.023996960748452312,0.023991498450995803,0.02400242304590882,0.12683847862838096,0.1265446301266837,0.12713232713007822,0.1411982816840928,0.1411982816840928,0.1411982816840928,0.11718114932122987,0.11718114930517663,0.11718114933728312,3,131072
llama31_8b,E11_g128_k16,down,22,128,1,16,0.021748762992072578,0.02174523912069817,0.021752286863446987,0.026349500003060966,0.0263470221778835,0.02635197782823843,0.024565911664848325,0.024563601562780982,0.024568221766915668,0.12953145440658984,0.1292499377861882,0.12981297102699146,0.13079740458359215,0.13079740458359215,0.13079740458359215,0.11762804475138823,0.11762804473009678,0.11762804477267969,3,131072
llama31_8b,E11_g128_k16,down,23,128,1,16,0.02235492354243661,0.02235354862566275,0.022356298459210465,0.026784438656320363,0.02678164113607717,0.026787236176563558,0.025125461882293785,0.025122837635090503,0.025128086129497067,0.12393414787006068,0.12374772038030063,0.12412057535982074,0.12003983913341569,0.12003983913341566,0.12003983913341572,0.10365414152458145,0.1036541414836155,0.1036541415655474,3,131072
llama31_8b,E11_g128_k16,down,24,128,1,16,0.02294873794065617,0.022948412803884502,0.02294906307742784,0.02752598633361634,0.027521720851014567,0.027530251816218116,0.02569345164620203,0.02568947013688759,0.025697433155516466,0.11960194558540672,0.11942811201400517,0.11977577915680827,0.1287172367909428,0.1287172367909428,0.1287172367909428,0.11056771123798464,0.1105677111907006,0.1105677112852687,3,131072
llama31_8b,E11_g128_k16,down,25,128,1,16,0.023833500243490086,0.023832193337807145,0.023834807149173028,0.028844278438791875,0.028837229904952005,0.028851326972631746,0.026723169077752695,0.026716638868929724,0.026729699286575665,0.12124400049094652,0.12092186915336892,0.12156613182852413,0.14166551676072922,0.14166551676072922,0.14166551676072922,0.13159833782374114,0.1315983378151912,0.13159833783229108,3,131072
llama31_8b,E11_g128_k16,down,26,128,1,16,0.025451384352469946,0.025450321295566444,0.025452447409373448,0.03092718484188986,0.03092653296442059,0.030927836719359128,0.028389063808311844,0.028388465428887243,0.028389662187736444,0.11542317006679075,0.11538271861995238,0.11546362151362911,0.15740018019489083,0.15740018019489083,0.15740018019489083,0.14618308001443125,0.14618307994984617,0.14618308007901634,3,131072
