model,row,benchmark,headline_metric,value,tech_report_16bit,bf16_minus_report,flag_pipeline_difference,effective_bits,gptq_protocol,git_commit,elapsed_seconds,artifact
qwen3_0.6b_base,nar_kmax_asym_g128,gsm8k,"gsm8k_cot:exact_match,flexible-extract",28.658074298711146,59.59,,,"{""activation"": 4.25, ""context"": 2048, ""key"": 5.171875, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 4.43359375, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 4.15625}",g128_asym,59d01634f23af74e01e8bff5076e1a21b605c555,11219.690391540527,results/qwen3_0.6b_base/e22_nar_kmax_asym_g128_gsm8k.json
qwen3_0.6b_base,nar_kmax_asym_g128,mmlu,"mmlu:acc,none",44.687366472012535,52.81,,,"{""activation"": 4.25, ""context"": 2048, ""key"": 5.171875, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 4.43359375, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 4.15625}",g128_asym,aeb895f05c38066c5a491483ea37bb2d18cd6d0c,3096.9322242736816,results/qwen3_0.6b_base/e22_nar_kmax_asym_g128_mmlu.json
qwen3_0.6b_base,nar_kmax_asym_g128,mmlu_redux,"mmlu_redux_e22:exact_match,default",45.272045028142585,51.26,,,"{""activation"": 4.25, ""context"": 2048, ""key"": 5.171875, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 4.43359375, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 4.15625}",g128_asym,e59da463cac4e66f2341dcab4c66f1492d33d1ae,1624.3345987796783,results/qwen3_0.6b_base/e22_nar_kmax_asym_g128_mmlu_redux.json
qwen3_0.6b_base,nar_kmax_asym_g128,wikitext,ppl,15.37583461369585,,,,"{""activation"": 4.25, ""context"": 2048, ""key"": 5.171875, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 4.43359375, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 4.15625}",g128_asym,3ca98b1fbad4ebb6f661a653020acfc9ad09c86d,113.63760590553284,results/qwen3_0.6b_base/e22_nar_kmax_asym_g128_wikitext.json
qwen3_1.7b_base,bf16,arc_easy,"arc_easy:acc_norm,none",68.47643097643098,,,,"{""activation"": 16.0, ""context"": 2048, ""key"": 16.0, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 16.0, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 16.0}",,5cf6c5a7fd1809708e643ecb6ce5e673601ceee6,115.79003667831421,results/qwen3_1.7b_base/e22_bf16_arc_easy.json
qwen3_1.7b_base,bf16,c4,ppl,15.018069319472726,,,,"{""activation"": 16.0, ""context"": 2048, ""key"": 16.0, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 16.0, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 16.0}",,aeb895f05c38066c5a491483ea37bb2d18cd6d0c,158.73294496536255,results/qwen3_1.7b_base/e22_bf16_c4.json
qwen3_1.7b_base,bf16,gsm8k,"gsm8k_cot:exact_match,flexible-extract",72.78241091736164,75.44,-2.657589082638353,True,"{""activation"": 16.0, ""context"": 2048, ""key"": 16.0, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 16.0, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 16.0}",,5cf6c5a7fd1809708e643ecb6ce5e673601ceee6,2341.4514875411987,results/qwen3_1.7b_base/e22_bf16_gsm8k.json
qwen3_1.7b_base,bf16,mmlu,"mmlu:acc,none",62.68337843612021,62.63,0.05337843612020521,False,"{""activation"": 16.0, ""context"": 2048, ""key"": 16.0, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 16.0, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 16.0}",,aeb895f05c38066c5a491483ea37bb2d18cd6d0c,3001.7551572322845,results/qwen3_1.7b_base/e22_bf16_mmlu.json
qwen3_1.7b_base,bf16,mmlu_redux,"mmlu_redux_e22:exact_match,default",66.97936210131333,61.66,5.319362101313331,True,"{""activation"": 16.0, ""context"": 2048, ""key"": 16.0, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 16.0, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 16.0}",,e59da463cac4e66f2341dcab4c66f1492d33d1ae,1087.2762069702148,results/qwen3_1.7b_base/e22_bf16_mmlu_redux.json
qwen3_1.7b_base,bf16,wikitext,ppl,9.399369825804557,,,,"{""activation"": 16.0, ""context"": 2048, ""key"": 16.0, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 16.0, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 16.0}",,aeb895f05c38066c5a491483ea37bb2d18cd6d0c,93.77230191230774,results/qwen3_1.7b_base/e22_bf16_wikitext.json
