model,row,seed,site,layer,round_trip,anchor_residual
llama32_3b,Had_asym,1,qkv,8,1.4574185058791045e-07,0.0
llama32_3b,Had_asym,1,qkv,9,1.4705527462410828e-07,0.0
llama32_3b,Had_asym,1,qkv,10,1.466993211352019e-07,0.0
llama32_3b,Had_asym,1,qkv,11,1.45220838021487e-07,0.0
llama32_3b,Had_asym,1,qkv,12,1.4668621872715448e-07,0.0
llama32_3b,Had_asym,1,qkv,13,1.4677618764835643e-07,0.0
llama32_3b,Had_asym,1,qkv,14,1.4820301430518157e-07,0.0
llama32_3b,Had_asym,1,qkv,15,1.465507892817186e-07,0.0
llama32_3b,Had_asym,1,qkv,16,1.4667404002466355e-07,0.0
llama32_3b,Had_asym,1,qkv,17,1.4866151332171285e-07,0.0
llama32_3b,Had_asym,1,qkv,18,1.4597226538626273e-07,0.0
llama32_3b,Had_asym,1,qkv,19,1.466825949592021e-07,0.0
llama32_3b,Had_asym,1,qkv,20,1.467755197381848e-07,0.0
llama32_3b,Had_asym,1,qkv,21,1.4675389081730827e-07,0.0
llama32_3b,Had_asym,1,qkv,22,1.459531517866708e-07,0.0
llama32_3b,Had_asym,1,qkv,23,1.4643548240655946e-07,0.0
llama32_3b,Had_asym,1,qkv,24,1.4696952632675675e-07,0.0
llama32_3b,Had_asym,1,qkv,25,1.478355642348106e-07,0.0
llama32_3b,Had_asym,1,qkv,26,1.4680892945762025e-07,0.0
llama32_3b,Had_asym,1,qkv,27,1.4694940375648002e-07,0.0
llama32_3b,Had_asym,1,down,0,1.4772504641769046e-07,0.0
llama32_3b,Had_asym,1,down,1,1.4719350360792305e-07,0.0
llama32_3b,Had_asym,1,down,2,1.47350036172611e-07,0.0
llama32_3b,Had_asym,1,down,3,1.4752777133253403e-07,0.0
llama32_3b,Had_asym,1,down,4,1.4796563618801883e-07,0.0
llama32_3b,Had_asym,1,down,5,1.478690307976649e-07,0.0
llama32_3b,Had_asym,1,down,6,1.4721709362675028e-07,0.0
llama32_3b,Had_asym,1,down,7,1.4789328872666374e-07,0.0
llama32_3b,Had_asym,1,down,8,1.4851023877326952e-07,0.0
