model,layer,b,bits,method,axis,mean_group_range,relative_quantization_error_nmse,range_sum,group_count,error_sum,energy_sum,sequences,sequence_length
llama32_3b,18,64,4,nar_per_token,channels,7.760894387556505,0.006032780514900495,32551550.373305798,4194304,6005219.0226618275,995431378.2557491,128,2048
llama32_3b,18,64,4,kivi_per_channel,tokens,4.8969047583712495,0.0025965992626550785,20539107.215655565,4194304,2584736.3841791092,995431378.7858665,128,2048
llama32_3b,19,32,4,bf16,channels,9.442467193235643,0.0,79209155.83691406,8388608,0.0,1079624211.1688926,128,2048
llama32_3b,19,32,4,identity_per_token,channels,9.442467193235643,0.009657645939844816,79209155.83691406,8388608,10426628.379553419,1079624211.1688926,128,2048
llama32_3b,19,32,4,hadamard_per_token,channels,8.071298625886612,0.0058641642576662675,67706960.22350144,8388608,6331093.519403331,1079624178.5223944,128,2048
llama32_3b,19,32,4,nar_per_token,channels,6.3713295792321105,0.0037036920400498607,53446586.278983116,8388608,3998595.595913657,1079624210.8347178,128,2048
llama32_3b,19,32,4,kivi_per_channel,tokens,4.200103994436354,0.001774337510183045,35233025.968560755,8388608,1915617.734778747,1079624211.1688926,128,2048
llama32_3b,19,64,4,bf16,channels,12.758263889700174,0.0,53512037.265625,4194304,0.0,1079624211.1688926,128,2048
llama32_3b,19,64,4,identity_per_token,channels,12.758263889700174,0.016390168248607423,53512037.265625,4194304,17695222.46632822,1079624211.1688926,128,2048
llama32_3b,19,64,4,hadamard_per_token,channels,9.081306567221475,0.0076142953018047315,38089760.4601233,4194304,8220577.310314839,1079624178.532504,128,2048
llama32_3b,19,64,4,nar_per_token,channels,7.993562356267603,0.0058935274961375095,33527430.56514263,4194304,6362794.9719837075,1079624210.8234408,128,2048
llama32_3b,19,64,4,kivi_per_channel,tokens,4.947652127889,0.002495812724987065,20751957.110613346,4194304,2694539.8444394446,1079624211.1688926,128,2048
llama32_3b,20,32,4,bf16,channels,9.06180773023516,0.0,76015952.8203125,8388608,0.0,1012500931.9829037,128,2048
llama32_3b,20,32,4,identity_per_token,channels,9.06180773023516,0.009231455147982227,76015952.8203125,8388608,9346856.94089038,1012500931.9829037,128,2048
llama32_3b,20,32,4,hadamard_per_token,channels,7.884119273204419,0.005937933963855922,66136786.00815678,8388608,6012163.488127623,1012500900.9402149,128,2048
llama32_3b,20,32,4,nar_per_token,channels,6.213522235898992,0.0037254947096017578,52122802.33624017,8388608,3772066.8740721396,1012500934.2652805,128,2048
llama32_3b,20,32,4,kivi_per_channel,tokens,4.049172775529257,0.0017303593191028749,33966923.13818693,8388608,1751990.4232569633,1012500931.9829036,128,2048
llama32_3b,20,64,4,bf16,channels,12.320691329427063,0.0,51676724.92578125,4194304,0.0,1012500931.9829037,128,2048
llama32_3b,20,64,4,identity_per_token,channels,12.320691329427063,0.01591428770823894,51676724.92578125,4194304,16113231.136435995,1012500931.9829037,128,2048
llama32_3b,20,64,4,hadamard_per_token,channels,8.781228762781268,0.00753848366132432,36831142.92464852,4194304,7632721.498615241,1012500900.9138536,128,2048
llama32_3b,20,64,4,nar_per_token,channels,7.70629055400218,0.005876912122903856,32322525.29581356,4194304,5950378.999014701,1012500931.5392901,128,2048
llama32_3b,20,64,4,kivi_per_channel,tokens,4.783257343743799,0.002450664024946414,20062435.40989399,4194304,2481299.609235218,1012500931.9829036,128,2048
llama32_3b,21,32,4,bf16,channels,9.096154092112556,0.0,76304070.98632812,8388608,0.0,980730633.1613194,128,2048
llama32_3b,21,32,4,identity_per_token,channels,9.096154092112556,0.00927412164316485,76304070.98632812,8388608,9095415.191116158,980730633.1613194,128,2048
llama32_3b,21,32,4,hadamard_per_token,channels,7.690765585427897,0.005832058354493608,64514817.71604514,8388608,5719678.107866439,980730603.1942255,128,2048
llama32_3b,21,32,4,nar_per_token,channels,6.121264309391037,0.0037628208946118144,51348886.75587213,8388608,3690313.7158427434,980730632.4696724,128,2048
llama32_3b,21,32,4,kivi_per_channel,tokens,3.801116228823844,0.0016037755977948225,31886074.006041527,8388608,1572871.8574739897,980730633.1613194,128,2048
llama32_3b,21,64,4,bf16,channels,12.571802274324,0.0,52729960.56640625,4194304,0.0,980730633.1613194,128,2048
llama32_3b,21,64,4,identity_per_token,channels,12.571802274324,0.016556565847590504,52729960.56640625,4194304,16237531.30668451,980730633.1613194,128,2048
llama32_3b,21,64,4,hadamard_per_token,channels,8.570722946561887,0.007421447782674349,35948217.53765631,4194304,7278440.960110175,980730603.1448435,128,2048
llama32_3b,21,64,4,nar_per_token,channels,7.675571523997462,0.005980882504872247,32193680.34538865,4194304,5865634.674456601,980730631.2535381,128,2048
llama32_3b,21,64,4,kivi_per_channel,tokens,4.49102779091271,0.0022744979931195153,18836735.827536345,4194304,2230669.8569162525,980730633.1613194,128,2048
llama32_3b,22,32,4,bf16,channels,9.217236853553914,0.0,77319786.80761719,8388608,0.0,978035230.8467801,128,2048
llama32_3b,22,32,4,identity_per_token,channels,9.217236853553914,0.010078426658833416,77319786.80761719,8388608,9857056.343844483,978035230.8467801,128,2048
llama32_3b,22,32,4,hadamard_per_token,channels,7.587764354829147,0.005706882966005469,63650780.769034624,8388608,5581532.42715412,978035200.7219998,128,2048
llama32_3b,22,32,4,nar_per_token,channels,5.86116606560509,0.0035073677099403933,49167024.547263384,8388608,3430329.1887184763,978035231.0926572,128,2048
llama32_3b,22,32,4,kivi_per_channel,tokens,3.6506534917897966,0.0015621082800144446,30623901.086455822,8388608,1527796.9322515938,978035230.8467801,128,2048
llama32_3b,22,64,4,bf16,channels,12.90030672121793,0.0,54107808.08203125,4194304,0.0,978035230.8467801,128,2048
llama32_3b,22,64,4,identity_per_token,channels,12.90030672121793,0.01841505850101301,54107808.08203125,4194304,18010575.99209522,978035230.8467801,128,2048
llama32_3b,22,64,4,hadamard_per_token,channels,8.543995592037618,0.007439641310603828,35836114.88766575,4194304,7276231.083437017,978035200.8457855,128,2048
llama32_3b,22,64,4,nar_per_token,channels,7.233041091989207,0.005414122355031642,30337573.1842947,4194304,5295202.411609979,978035231.6361777,128,2048
llama32_3b,22,64,4,kivi_per_channel,tokens,4.291968596875222,0.0021710547774553644,18001821.05374813,4194304,2123368.060449562,978035230.8467801,128,2048
llama32_3b,23,32,4,bf16,channels,9.095090179122053,0.0,76295146.23730469,8388608,0.0,1022985144.1403769,128,2048
llama32_3b,23,32,4,identity_per_token,channels,9.095090179122053,0.00922308767744228,76295146.23730469,8388608,9435081.677127626,1022985144.1403769,128,2048
llama32_3b,23,32,4,hadamard_per_token,channels,7.939481472504241,0.005976208389619137,66601197.796100855,8388608,6113572.215880662,1022985113.1865032,128,2048
llama32_3b,23,32,4,nar_per_token,channels,6.291413277227477,0.0037749742655427266,52776199.74865663,8388608,3861742.590680057,1022985143.4827876,128,2048
llama32_3b,23,32,4,kivi_per_channel,tokens,4.078345746130935,0.0017117300865828896,34211643.75275993,8388608,1751074.449352417,1022985144.1403768,128,2048
llama32_3b,23,64,4,bf16,channels,12.47444874048233,0.0,52321630.25,4194304,0.0,1022985144.1403769,128,2048
llama32_3b,23,64,4,identity_per_token,channels,12.47444874048233,0.01612799800642804,52321630.25,4194304,16498702.3653015,1022985144.1403769,128,2048
llama32_3b,23,64,4,hadamard_per_token,channels,8.810848824070604,0.007535094691981944,36955378.46619463,4194304,7708289.695657122,1022985113.0947928,128,2048
llama32_3b,23,64,4,nar_per_token,channels,7.833444823839784,0.005976830407364903,32855848.9584105,4194304,6114208.713719179,1022985143.7954459,128,2048
llama32_3b,23,64,4,kivi_per_channel,tokens,4.791312361085829,0.0024035693310785443,20096220.601351738,4194304,2458815.7186047737,1022985144.1403768,128,2048
llama32_3b,24,32,4,bf16,channels,9.02401671843836,0.0,75698938.83642578,8388608,0.0,1010823555.8861713,128,2048
llama32_3b,24,32,4,identity_per_token,channels,9.02401671843836,0.009119648066927086,75698938.83642578,8388608,9218355.087441687,1010823555.8861713,128,2048
llama32_3b,24,32,4,hadamard_per_token,channels,7.852689647901514,0.005889384364977136,65873135.20190382,8388608,5953128.263007451,1010823524.8508122,128,2048
llama32_3b,24,32,4,nar_per_token,channels,6.233150518537954,0.0037925737794299026,52287456.30501163,8388608,3833622.906772537,1010823554.0638065,128,2048
llama32_3b,24,32,4,kivi_per_channel,tokens,4.074262445993071,0.0017895607004478676,34177390.54855704,8388608,1808930.1107008613,1010823555.8861715,128,2048
llama32_3b,24,64,4,bf16,channels,12.543082563206553,0.0,52609501.3671875,4194304,0.0,1010823555.8861713,128,2048
llama32_3b,24,64,4,identity_per_token,channels,12.543082563206553,0.01638575344130574,52609501.3671875,4194304,16563105.559414739,1010823555.8861713,128,2048
llama32_3b,24,64,4,hadamard_per_token,channels,8.819326194114751,0.007625540431594677,36990935.13328028,4194304,7708075.658015092,1010823524.8584415,128,2048
llama32_3b,24,64,4,nar_per_token,channels,7.7249594155123305,0.005919220397365569,32400828.17632103,4194304,5983287.40711139,1010823555.3746799,128,2048
llama32_3b,24,64,4,kivi_per_channel,tokens,4.7783635445952655,0.002497039222689818,20041909.3285501,4194304,2524066.0662665633,1010823555.8861715,128,2048
llama32_3b,25,32,4,bf16,channels,9.642846892005764,0.0,80890062.58105469,8388608,0.0,1050819444.1986992,128,2048
llama32_3b,25,32,4,identity_per_token,channels,9.642846892005764,0.010563554891007649,80890062.58105469,8388608,11100388.879331108,1050819444.1986992,128,2048
llama32_3b,25,32,4,hadamard_per_token,channels,7.721967039321015,0.0055539551024275605,64776554.48178458,8388608,5836203.830656133,1050819411.2165589,128,2048
llama32_3b,25,32,4,nar_per_token,channels,5.996775599987274,0.0033628479810579918,50304599.77225804,8388608,3533746.0405213945,1050819442.4565204,128,2048
llama32_3b,25,32,4,kivi_per_channel,tokens,3.8568538429921375,0.0015558645280659773,32353635.00215459,8388608,1634932.6986307618,1050819444.1986992,128,2048
llama32_3b,25,64,4,bf16,channels,13.556887081824243,0.0,56861705.71484375,4194304,0.0,1050819444.1986992,128,2048
llama32_3b,25,64,4,identity_per_token,channels,13.556887081824243,0.019259684103159078,56861705.71484375,4194304,20238450.544724144,1050819444.1986992,128,2048
llama32_3b,25,64,4,hadamard_per_token,channels,8.630395374733837,0.007107888551870541,36198501.84182763,4194304,7469107.262904363,1050819411.1933229,128,2048
llama32_3b,25,64,4,nar_per_token,channels,7.483285141901888,0.005312424802252965,31387172.803819656,4194304,5582399.275350067,1050819443.6903102,128,2048
llama32_3b,25,64,4,kivi_per_channel,tokens,4.511970720572265,0.002141164337364852,18924576.841179132,4194304,2249977.11892781,1050819444.1986992,128,2048
llama32_3b,26,32,4,bf16,channels,8.412526406231336,0.0,70569386.31152344,8388608,0.0,926862648.5737814,128,2048
llama32_3b,26,32,4,identity_per_token,channels,8.412526406231336,0.008457113507771029,70569386.31152344,8388608,7838582.625101758,926862648.5737814,128,2048
llama32_3b,26,32,4,hadamard_per_token,channels,7.6089400076591005,0.006056206488777586,63828415.01976919,8388608,5613271.417349334,926862620.6439576,128,2048
llama32_3b,26,32,4,nar_per_token,channels,6.135599441439268,0.0039616803493530885,51469138.55925298,8388608,3671933.547721328,926862650.1683625,128,2048
llama32_3b,26,32,4,kivi_per_channel,tokens,4.077998281955388,0.001912229544573451,34208729.01199722,8388608,1772374.1403643847,926862648.5737815,128,2048
llama32_3b,26,64,4,bf16,channels,11.32240928336978,0.0,47489626.546875,4194304,0.0,926862648.5737814,128,2048
llama32_3b,26,64,4,identity_per_token,channels,11.32240928336978,0.014419885345210997,47489626.546875,4194304,13365253.12319252,926862648.5737814,128,2048
llama32_3b,26,64,4,hadamard_per_token,channels,8.508414424713237,0.007743747043004447,35686876.65523243,4194304,7177389.677107918,926862620.5438664,128,2048
llama32_3b,26,64,4,nar_per_token,channels,7.461110651208401,0.005987741406073376,31294166.248806,4194304,5549813.855621575,926862648.0750138,128,2048
llama32_3b,26,64,4,kivi_per_channel,tokens,4.780791549279115,0.002669284735682905,20052093.11830759,4194304,2474060.3199126236,926862648.5737815,128,2048
llama32_3b,27,32,4,bf16,channels,9.045026345876977,0.0,75875180.36523438,8388608,0.0,1011609437.9594499,128,2048
llama32_3b,27,32,4,identity_per_token,channels,9.045026345876977,0.009481198657444954,75875180.36523438,8388608,9591270.04503978,1011609437.9594499,128,2048
llama32_3b,27,32,4,hadamard_per_token,channels,7.732594306217294,0.0057092352109931075,64865702.45788884,8388608,5775516.047255041,1011609407.181948,128,2048
llama32_3b,27,32,4,nar_per_token,channels,6.047620718618106,0.0035419831456736653,50731119.54116559,8388608,3583103.5718267,1011609435.8617322,128,2048
llama32_3b,27,32,4,kivi_per_channel,tokens,3.8024378917003503,0.0015864999288509045,31897160.917820692,8388608,1604918.301347571,1011609437.95945,128,2048
llama32_3b,27,64,4,bf16,channels,12.22424633614719,0.0,51272205.3046875,4194304,0.0,1011609437.9594499,128,2048
llama32_3b,27,64,4,identity_per_token,channels,12.22424633614719,0.01648015894998716,51272205.3046875,4194304,16671484.332878908,1011609437.9594499,128,2048
llama32_3b,27,64,4,hadamard_per_token,channels,8.649088843219602,0.0073251147194098604,36276907.93147135,4194304,7410154.959018791,1011609407.206087,128,2048
llama32_3b,27,64,4,nar_per_token,channels,7.558196754979406,0.005630327071142248,31701374.88219714,4194304,5695691.990600097,1011609435.5855223,128,2048
llama32_3b,27,64,4,kivi_per_channel,tokens,4.440481443689123,0.0021758012892484696,18624729.081191063,4194304,2201061.119328091,1011609437.95945,128,2048
