model,layer,b,bits,method,axis,mean_group_range,relative_quantization_error_nmse,range_sum,group_count,error_sum,energy_sum,sequences,sequence_length
llama32_3b,8,32,4,nar_per_token,channels,6.570594675238368,0.003925238525353688,55118143.05746198,8388608,4281393.760499174,1090734673.2803695,128,2048
llama32_3b,8,32,4,kivi_per_channel,tokens,4.171990834703735,0.0017337587068037034,34997195.691922426,8388608,1891070.734941542,1090734672.3165724,128,2048
llama32_3b,8,64,4,bf16,channels,13.033295941539109,0.0,54665605.30078125,4194304,0.0,1090734672.3165724,128,2048
llama32_3b,8,64,4,identity_per_token,channels,13.033295941539109,0.01630222068566825,54665605.30078125,4194304,17781397.33761481,1090734672.3165724,128,2048
llama32_3b,8,64,4,hadamard_per_token,channels,9.189131303548322,0.007649220607396872,38542010.18299794,4194304,8343269.877577653,1090734638.965652,128,2048
llama32_3b,8,64,4,nar_per_token,channels,8.129135538666446,0.0061046713911128755,34096065.70637083,4194304,6658576.756084784,1090734673.4139168,128,2048
llama32_3b,8,64,4,kivi_per_channel,tokens,4.9412602511700925,0.002477614531795846,20725147.636523724,4194304,2702420.07446512,1090734672.3165724,128,2048
llama32_3b,9,32,4,bf16,channels,8.971538451849483,0.0,75258719.22949219,8388608,0.0,1048333977.8571632,128,2048
llama32_3b,9,32,4,identity_per_token,channels,8.971538451849483,0.008670361082441805,75258719.22949219,8388608,9089434.123014156,1048333977.8571632,128,2048
llama32_3b,9,32,4,hadamard_per_token,channels,7.9555812184776755,0.005859686031990721,66736252.25397158,8388608,6142907.780443678,1048333946.035115,128,2048
llama32_3b,9,32,4,nar_per_token,channels,6.536513661775132,0.004010975587654461,54832250.795276165,8388608,4204841.994282885,1048333978.203491,128,2048
llama32_3b,9,32,4,kivi_per_channel,tokens,4.161432838777088,0.001765622355004496,34908628.80282819,8388608,1850961.9068153957,1048333977.8571632,128,2048
llama32_3b,9,64,4,bf16,channels,12.11059847008437,0.0,50795531.60546875,4194304,0.0,1048333977.8571632,128,2048
llama32_3b,9,64,4,identity_per_token,channels,12.11059847008437,0.015233050180319445,50795531.60546875,4194304,15969324.09043206,1048333977.8571632,128,2048
llama32_3b,9,64,4,hadamard_per_token,channels,8.947159766176469,0.007603462050071098,37527107.99591303,4194304,7970967.373784167,1048333945.9436945,128,2048
llama32_3b,9,64,4,nar_per_token,channels,8.033009854273814,0.006174589403855197,33692885.363820076,4194304,6473031.891789635,1048333981.1628771,128,2048
llama32_3b,9,64,4,kivi_per_channel,tokens,4.918582232604535,0.0025129793320348036,20630029.132542133,4194304,2634441.6194248823,1048333977.8571632,128,2048
llama32_3b,10,32,4,bf16,channels,8.993038071435876,0.0,75439071.11035156,8388608,0.0,973542201.3625302,128,2048
llama32_3b,10,32,4,identity_per_token,channels,8.993038071435876,0.009402318135952265,75439071.11035156,8388608,9153553.49598581,973542201.3625302,128,2048
llama32_3b,10,32,4,hadamard_per_token,channels,7.738616400188619,0.006005059031284231,64916219.44355345,8388608,5846178.211798248,973542171.915668,128,2048
llama32_3b,10,32,4,nar_per_token,channels,6.385938812843733,0.004147792294258755,53569137.41293144,8388608,4038050.8454439878,973542202.4466681,128,2048
llama32_3b,10,32,4,kivi_per_channel,tokens,4.24380610371432,0.001991585021149127,35599625.832066774,8388608,1938892.0656901624,973542201.3625302,128,2048
llama32_3b,10,64,4,bf16,channels,12.180296569131315,0.0,51087866.62109375,4194304,0.0,973542201.3625302,128,2048
