model,site,layer,rank,eigenvalue,fraction_total_energy,cumulative_fraction_total_energy,relative_ritz_residual
llama32_3b,q_input,2,3,10.319163534437656,0.019904342348087304,0.21075613471345855,0.04125012834525231
llama32_3b,q_input,2,4,9.246196776741352,0.017834727150883405,0.22859086186434197,0.044285179126401605
llama32_3b,q_input,2,5,7.9257962934226995,0.015287844046565335,0.24387870591090732,0.04943673169675684
llama32_3b,q_input,2,6,7.122479577197682,0.013738349179047918,0.25761705508995525,0.0671250832013997
llama32_3b,q_input,2,7,6.228489991561838,0.01201395798118226,0.2696310130711375,0.0718696750874442
llama32_3b,q_input,2,8,5.992288231830559,0.011558355095035321,0.28118936816617274,0.11179411065275836
llama32_3b,q_input,2,9,5.394185853922603,0.010404692353926936,0.29159406052009973,0.10121500461790679
llama32_3b,q_input,2,10,5.115840188941987,0.00986779928227526,0.301461859802375,0.08223869242670781
llama32_3b,q_input,2,11,4.587890046245872,0.008849451201263122,0.3103113110036381,0.1303143222170288
llama32_3b,q_input,2,12,4.4733191384268185,0.008628458621316974,0.31893976962495507,0.10851930142600671
llama32_3b,q_input,2,13,4.1754136895137,0.008053837236285258,0.32699360686124035,0.10786032607538057
llama32_3b,q_input,2,14,4.135621545632157,0.007977083296691282,0.3349706901579316,0.12710357889552984
llama32_3b,q_input,2,15,4.066514193961488,0.00784378408287108,0.3428144742408027,0.0976389084004865
llama32_3b,q_input,2,16,3.87725614073539,0.007478729582961938,0.35029320382376467,0.12771980848738443
llama32_3b,q_input,2,17,3.8086261891301776,0.007346351212610115,0.3576395550363748,0.11640168194608967
llama32_3b,q_input,2,18,3.6226989791024646,0.006987721481831456,0.36462727651820626,0.1772194334944497
llama32_3b,q_input,2,19,3.5625390098354237,0.006871680620578951,0.37149895713878517,0.11587032196056697
llama32_3b,q_input,2,20,3.46179605427658,0.006677360386200512,0.3781763175249857,0.1642837719966198
llama32_3b,q_input,2,21,3.2687700611535715,0.006305038013715765,0.3844813555387015,0.14525061615771515
llama32_3b,q_input,2,22,3.138749795325032,0.006054245604563234,0.39053560114326474,0.17251561973831753
llama32_3b,q_input,2,23,3.006733033174697,0.005799602210187618,0.39633520335345235,0.1551315222866056
llama32_3b,q_input,2,24,2.95369324910605,0.005697295272551853,0.4020324986260042,0.18332552251717815
llama32_3b,q_input,3,1,64.1018626392887,0.17165428227555843,0.17165428227555843,0.0002761548108558502
llama32_3b,q_input,3,2,10.811376622609608,0.028951094682034283,0.2006053769575927,0.008855564985837602
llama32_3b,q_input,3,3,6.999467261980408,0.018743426161069308,0.219348803118662,0.03870568556852021
llama32_3b,q_input,3,4,5.7691215538089216,0.015448762000132007,0.23479756511879402,0.030964320429393143
llama32_3b,q_input,3,5,5.024175652922134,0.013453918969276519,0.24825148408807055,0.026138063741208247
llama32_3b,q_input,3,6,3.8300247974193264,0.010256178691688338,0.2585076627797589,0.062073687203683905
llama32_3b,q_input,3,7,3.390549707566387,0.00907933642813052,0.26758699920788936,0.051181445359470695
llama32_3b,q_input,3,8,3.274258266145796,0.008767927007406343,0.2763549262152957,0.06405138291184916
llama32_3b,q_input,3,9,3.051745304078582,0.008172073763397082,0.28452699997869285,0.09043096995983446
llama32_3b,q_input,3,10,2.757272146724417,0.00738352291021071,0.2919105228889035,0.08846402390002792
llama32_3b,q_input,3,11,2.605633100196528,0.006977458396248504,0.2988879812851521,0.09290924784351412
llama32_3b,q_input,3,12,2.5400489904137977,0.006801834899053339,0.3056898161842054,0.09346459730711704
llama32_3b,q_input,3,13,2.3191671773191294,0.006210349604657999,0.3119001657888634,0.10268080248742747
llama32_3b,q_input,3,14,2.1809433426692073,0.005840208829440252,0.3177403746183036,0.1021980573467871
llama32_3b,q_input,3,15,2.1271359233502833,0.0056961213791852745,0.3234364959974889,0.1466785819232158
llama32_3b,q_input,3,16,1.9994511050338084,0.005354202362433239,0.3287906983599221,0.13959375138275323
llama32_3b,q_input,3,17,1.9063165089991694,0.00510480317839843,0.33389550153832054,0.15880778430035475
llama32_3b,q_input,3,18,1.7411184340637402,0.00466242980859615,0.3385579313469167,0.15784860341265644
llama32_3b,q_input,3,19,1.716668505441572,0.0045969569069280085,0.3431548882538447,0.17134118599409134
llama32_3b,q_input,3,20,1.6338641360549988,0.004375220376800712,0.34753010863064543,0.21079156492329176
llama32_3b,q_input,3,21,1.5444766178792224,0.004135855253150592,0.35166596388379606,0.18737629797241587
llama32_3b,q_input,3,22,1.5016884425279033,0.00402127553225946,0.3556872394160555,0.2089557487649691
llama32_3b,q_input,3,23,1.4900212953960141,0.003990032824408716,0.35967727224046425,0.25363418764928614
llama32_3b,q_input,3,24,1.3278049495760589,0.0035556440364919416,0.3632329162769562,0.24559665090786353
llama32_3b,q_input,4,1,71.82647571069084,0.20119240787124398,0.20119240787124398,0.00019367417186809323
llama32_3b,q_input,4,2,10.873401547833861,0.03045737407430657,0.23164978194555055,0.005916492392495327
llama32_3b,q_input,4,3,7.73918794941688,0.021678160359461147,0.2533279423050117,0.012559092396928538
llama32_3b,q_input,4,4,6.0111142525322,0.016837670768191364,0.270165613073203,0.029647577278040592
llama32_3b,q_input,4,5,5.104611267303085,0.014298474510319419,0.2844640875835225,0.043740407528657155
llama32_3b,q_input,4,6,4.277505666439403,0.011981677455263748,0.2964457650387862,0.05969396172091761
llama32_3b,q_input,4,7,3.4456343236711504,0.009651531129210354,0.3060972961679966,0.07709073647704258
llama32_3b,q_input,4,8,3.310345124893042,0.009272573935615407,0.315369870103612,0.060418295387510756
llama32_3b,q_input,4,9,3.143026224220119,0.008803898671018728,0.3241737687746307,0.08929513949502088
llama32_3b,q_input,4,10,3.019135832809383,0.008456870560375583,0.3326306393350063,0.09489109456084839
llama32_3b,q_input,4,11,2.5981810782986106,0.007277738494840245,0.33990837782984656,0.1073173355742696
llama32_3b,q_input,4,12,2.479551650099725,0.006945446814543167,0.3468538246443897,0.11934061713643583
llama32_3b,q_input,4,13,2.309047170199466,0.006467848456492847,0.3533216731008825,0.12104601823128323
llama32_3b,q_input,4,14,2.1788948974410056,0.006103280253931127,0.35942495335481367,0.10419084923363721
llama32_3b,q_input,4,15,2.0522403002193967,0.005748509354609594,0.3651734627094233,0.1525709333227574
llama32_3b,q_input,4,16,1.9777721857562058,0.005539917479395942,0.3707133801888193,0.12052303445694101
llama32_3b,q_input,4,17,1.8648423400866587,0.005223590841537496,0.37593697103035667,0.15307237145714028
llama32_3b,q_input,4,18,1.8048544929226915,0.0050555594952336105,0.38099253052559034,0.15815940138320211
llama32_3b,q_input,4,19,1.7454347590672408,0.004889119485318614,0.385881650010909,0.159518594125087
llama32_3b,q_input,4,20,1.7191372970237333,0.004815457932846698,0.3906971079437556,0.16099563416652868
llama32_3b,q_input,4,21,1.6631108116862074,0.004658522716715218,0.39535563066047086,0.19550199878871474
llama32_3b,q_input,4,22,1.6245921024259267,0.004550628353425236,0.3999062590138961,0.1611682878728881
