experiment,model,row,seed,site,layer,round_trip,anchor_residual
32,llama32_3b,S3,1,qkv,20,1.1551169620815926e-07,9.349903251631986e-08
32,llama32_3b,S3,1,qkv,21,1.1748888795182211e-07,9.182004134800081e-08
32,llama32_3b,S3,1,qkv,22,1.1658239174039409e-07,9.394653233130157e-08
32,llama32_3b,S3,1,qkv,23,1.1565654034484396e-07,9.434466363700267e-08
32,llama32_3b,S3,1,qkv,24,1.163971745654635e-07,9.266207001701332e-08
32,llama32_3b,S3,1,qkv,25,1.1679465927727506e-07,9.032905978756389e-08
32,llama32_3b,S3,1,qkv,26,1.1569941449351973e-07,9.285976432238385e-08
32,llama32_3b,S3,1,qkv,27,1.1686260137366844e-07,9.297570358057783e-08
32,llama32_3b,S3,1,down,0,1.1633979113412352e-07,1.085748024820532e-07
32,llama32_3b,S3,1,down,1,1.1681342471092648e-07,1.0138953143723484e-07
32,llama32_3b,S3,1,down,2,1.1616406681014269e-07,9.347137819304407e-08
32,llama32_3b,S3,1,down,3,1.1612750228096047e-07,9.20842069263017e-08
32,llama32_3b,S3,1,down,4,1.1683555101171805e-07,9.400582712260075e-08
32,llama32_3b,S3,1,down,5,1.1678834965778151e-07,9.265205846986646e-08
32,llama32_3b,S3,1,down,6,1.1717281722667394e-07,9.254635813249479e-08
32,llama32_3b,S3,1,down,7,1.1725029480658122e-07,9.214053164896541e-08
32,llama32_3b,S3,1,down,8,1.164360554639643e-07,9.194400973910888e-08
32,llama32_3b,S3,1,down,9,1.1692473833591066e-07,9.19322573622594e-08
32,llama32_3b,S3,1,down,10,1.1649226649979028e-07,9.208675777472308e-08
32,llama32_3b,S3,1,down,11,1.1660728205242776e-07,9.192196159801824e-08
32,llama32_3b,S3,1,down,12,1.1698897850465073e-07,9.25326304468399e-08
32,llama32_3b,S3,1,down,13,1.1708993952197488e-07,9.276806878233401e-08
32,llama32_3b,S3,1,down,14,1.169486125718322e-07,9.324742222815985e-08
32,llama32_3b,S3,1,down,15,1.1630095997361423e-07,9.484613627819272e-08
32,llama32_3b,S3,1,down,16,1.1647864539554575e-07,9.183015237113068e-08
32,llama32_3b,S3,1,down,17,1.1710908864870362e-07,9.604998041368162e-08
32,llama32_3b,S3,1,down,18,1.1617833450827675e-07,9.472704221025197e-08
32,llama32_3b,S3,1,down,19,1.1696534585325935e-07,9.276244838929415e-08
32,llama32_3b,S3,1,down,20,1.1707836478080935e-07,9.298506853383515e-08
32,llama32_3b,S3,1,down,21,1.1605901306666055e-07,9.267480294283814e-08
32,llama32_3b,S3,1,down,22,1.165575369554972e-07,9.337374251572328e-08
32,llama32_3b,S3,1,down,23,1.1622003626143851e-07,9.449274784856243e-08
32,llama32_3b,S3,1,down,24,1.1631321683580609e-07,9.393163225013268e-08
32,llama32_3b,S3,1,down,25,1.1611705019731744e-07,9.357111707686272e-08
32,llama32_3b,S3,1,down,26,1.1627742679820585e-07,9.301901116032241e-08
32,llama32_3b,S3,1,down,27,1.1538927680021516e-07,9.356077157463005e-08
32,llama32_3b,S3,2,qkv,0,1.1633939323019149e-07,9.563375158450071e-08
32,llama32_3b,S3,2,qkv,1,1.1608072014723803e-07,9.057485783614538e-08
32,llama32_3b,S3,2,qkv,2,1.1616701556249609e-07,9.291285607559985e-08
32,llama32_3b,S3,2,qkv,3,1.1624184281799899e-07,9.226772590409382e-08
32,llama32_3b,S3,2,qkv,4,1.169230046116354e-07,9.342110018906169e-08
32,llama32_3b,S3,2,qkv,5,1.163632887823951e-07,9.231953157495809e-08
32,llama32_3b,S3,2,qkv,6,1.165133269864782e-07,9.105888665317252e-08
32,llama32_3b,S3,2,qkv,7,1.1624806717236424e-07,9.40486870604218e-08
32,llama32_3b,S3,2,qkv,8,1.1724075221763997e-07,9.336057615882964e-08
32,llama32_3b,S3,2,qkv,9,1.1714731584788751e-07,9.627749619767201e-08
32,llama32_3b,S3,2,qkv,10,1.1565835222882015e-07,9.327310124263022e-08
32,llama32_3b,S3,2,qkv,11,1.1599285443253393e-07,9.437964365588414e-08
32,llama32_3b,S3,2,qkv,12,1.1636917918167455e-07,9.308512716188488e-08
32,llama32_3b,S3,2,qkv,13,1.1611525962962332e-07,9.680830714842159e-08
32,llama32_3b,S3,2,qkv,14,1.1606080363435467e-07,9.469362538538917e-08
32,llama32_3b,S3,2,qkv,15,1.159315061727284e-07,9.509744103297635e-08
32,llama32_3b,S3,2,qkv,16,1.1635677310550818e-07,9.651397192556033e-08
32,llama32_3b,S3,2,qkv,17,1.153659923147643e-07,9.381606957958866e-08
32,llama32_3b,S3,2,qkv,18,1.1515859199562328e-07,9.485108876106096e-08
