model,method,site,layer,mean_group_range,nmse,groups_observed
llama32_3b,smoothquant_hadamard,down,4,0.056236077670011486,0.009898518271238279,16777216
llama32_3b,smoothquant_hadamard,down,5,0.06177421148102302,0.009879650515666735,16777216
llama32_3b,smoothquant_hadamard,down,6,0.069062108688834,0.009907811130968508,16777216
llama32_3b,smoothquant_hadamard,down,7,0.07288295662900901,0.009923192149559898,16777216
llama32_3b,smoothquant_hadamard,down,8,0.07599775467862613,0.009913769274947064,16777216
llama32_3b,smoothquant_hadamard,down,9,0.0787403876123065,0.00991616478486292,16777216
llama32_3b,smoothquant_hadamard,down,10,0.08059750604065541,0.00988493417109633,16777216
llama32_3b,smoothquant_hadamard,down,11,0.08253338516329856,0.00990061384822345,16777216
llama32_3b,smoothquant_hadamard,down,12,0.0805571609810094,0.009899180713298854,16777216
llama32_3b,smoothquant_hadamard,down,13,0.07708810098670216,0.009879079957911666,16777216
llama32_3b,smoothquant_hadamard,down,14,0.0814731176234118,0.009929744262028454,16777216
llama32_3b,smoothquant_hadamard,down,15,0.08065270844230321,0.00990503559388817,16777216
llama32_3b,smoothquant_hadamard,down,16,0.07277472278840069,0.009842912604592016,16777216
llama32_3b,smoothquant_hadamard,down,17,0.07097885281512584,0.009844215680058215,16777216
llama32_3b,smoothquant_hadamard,down,18,0.06981058810621932,0.009853032826244104,16777216
llama32_3b,smoothquant_hadamard,down,19,0.07926644642138414,0.009798614086848132,16777216
llama32_3b,smoothquant_hadamard,down,20,0.07835218660967325,0.009788825335729612,16777216
llama32_3b,smoothquant_hadamard,down,21,0.0755393552540694,0.009859160422543362,16777216
llama32_3b,smoothquant_hadamard,down,22,0.07799529724817078,0.009698508312709042,16777216
llama32_3b,smoothquant_hadamard,down,23,0.08311836755748536,0.009776096795625409,16777216
llama32_3b,smoothquant_hadamard,down,24,0.08894559291959836,0.009870824789941402,16777216
llama32_3b,smoothquant_hadamard,down,25,0.10132818029804214,0.009882998474381833,16777216
llama32_3b,smoothquant_hadamard,down,26,0.11554998220042223,0.00989428345818365,16777216
llama32_3b,smoothquant_hadamard,down,27,0.19829367684751098,0.009661121110110487,16777216
