model,layer,rank,eigenvalue,fraction_total,cumulative_fraction
llama32_3b,0,118,0.11411543105196123,0.0003384403137042422,0.9976008026225354
llama32_3b,0,119,0.10647644939503526,0.000315784838239458,0.9979165874607749
llama32_3b,0,120,0.09660083314098517,0.0002864960152272438,0.9982030834760021
llama32_3b,0,121,0.09524681567378786,0.00028248030856833787,0.9984855637845704
llama32_3b,0,122,0.09131456176501955,0.0002708181412857878,0.9987563819258561
llama32_3b,0,123,0.08531113540244224,0.00025301334939462083,0.9990093952752508
llama32_3b,0,124,0.08094403395725602,0.00024006152360329485,0.999249456798854
llama32_3b,0,125,0.07197543634468918,0.00021346271079153648,0.9994629195096455
llama32_3b,0,126,0.06995474077078426,0.00020746978908385121,0.9996703892987293
llama32_3b,0,127,0.06073248168946666,0.00018011867427167717,0.9998505079730011
llama32_3b,0,128,0.05040577735285989,0.00014949202699887537,1.0
llama32_3b,1,1,67.25624491118019,0.13901973779955673,0.13901973779955673
llama32_3b,1,2,56.896223041317576,0.11760540629996157,0.2566251440995183
llama32_3b,1,3,36.539700996465356,0.07552814847916668,0.332153292578685
llama32_3b,1,4,25.41940877381431,0.052542325956827014,0.38469561853551204
llama32_3b,1,5,23.55574734525068,0.04869010786929898,0.433385726404811
llama32_3b,1,6,16.247352778346297,0.033583538988319755,0.46696926539313083
llama32_3b,1,7,14.399704586386022,0.02976442051788841,0.4967336859110192
llama32_3b,1,8,14.391275053542552,0.02974699653819374,0.5264806824492129
llama32_3b,1,9,11.006481371376854,0.022750573665913366,0.5492312561151264
llama32_3b,1,10,9.115919660259566,0.018842752262555232,0.5680740083776815
llama32_3b,1,11,7.74602892876697,0.016011166131666647,0.5840851745093483
llama32_3b,1,12,7.7387873821201545,0.015996197738509507,0.6000813722478577
llama32_3b,1,13,5.284503615390992,0.010923153797579063,0.6110045260454366
llama32_3b,1,14,5.276867701763237,0.01090737024154211,0.621911896286979
llama32_3b,1,15,4.666511806259047,0.009645754808366163,0.631557651095345
llama32_3b,1,16,4.663297956755812,0.009639111729855656,0.6411967628252006
llama32_3b,1,17,4.418930510106481,0.009134000295150952,0.6503307631203515
llama32_3b,1,18,4.415555793243181,0.009127024701225015,0.6594577878215765
llama32_3b,1,19,4.308230161342349,0.008905180897341384,0.6683629687189179
llama32_3b,1,20,4.307137302357876,0.008902921940278377,0.6772658906591963
llama32_3b,1,21,3.5452702314150764,0.007328130475478982,0.6845940211346754
llama32_3b,1,22,3.539381649051759,0.007315958681213029,0.6919099798158883
llama32_3b,1,23,3.4433112632586877,0.007117379651698479,0.6990273594675868
llama32_3b,1,24,3.4353636969201675,0.007100951904505861,0.7061283113720926
llama32_3b,1,25,3.3324337079390083,0.006888193965094151,0.7130165053371867
llama32_3b,1,26,3.321801463176528,0.006866216944505911,0.7198827222816927
llama32_3b,1,27,3.2178707054701636,0.006651390400075295,0.7265341126817679
llama32_3b,1,28,3.2163944759077845,0.006648339009874059,0.7331824516916422
llama32_3b,1,29,3.105215972949591,0.006418531259670241,0.7396009829513123
llama32_3b,1,30,3.0906405430786763,0.006388403612168566,0.7459893865634809
llama32_3b,1,31,3.0731290116652716,0.006352206995649532,0.7523415935591306
llama32_3b,1,32,3.072261318800281,0.0063504134605697656,0.7586920070197002
llama32_3b,1,33,3.0633797486770455,0.006332055112561917,0.7650240621322623
llama32_3b,1,34,3.0583101988531594,0.006321576271701723,0.7713456384039638
