model,layer,b,method,mean_group_range,relative_quantization_error_nmse,range_reduction_vs_hadamard,nmse_delta_vs_hadamard,sample_vectors
llama32_3b,9,32,bf16,1.376502275466919,0.0,-0.06442659297959558,-0.0060895275180101955,65536
llama32_3b,9,32,identity,1.376502275466919,0.0070247084921271855,-0.06442659297959558,0.0009351809741169901,65536
llama32_3b,9,32,hadamard,1.2931866645812988,0.0060895275180101955,0.0,0.0,65536
llama32_3b,9,32,nar,1.2540998458862305,0.005743244162709821,0.030225194680401135,-0.00034628335530037437,65536
llama32_3b,9,64,bf16,1.6337755918502808,0.0,-0.11735370562414803,-0.007975260845162662,65536
llama32_3b,9,64,identity,1.6337755918502808,0.00999441476177489,-0.11735370562414803,0.002019153916612228,65536
llama32_3b,9,64,hadamard,1.4621829986572266,0.007975260845162662,0.0,0.0,65536
llama32_3b,9,64,nar,1.4384112358093262,0.007736311281216195,0.016257720729710868,-0.00023894956394646637,65536
llama32_3b,9,128,bf16,1.905671238899231,0.0,-0.17851864870655051,-0.00985737868524418,65536
llama32_3b,9,128,identity,1.905671238899231,0.013559194960083955,-0.17851864870655051,0.0037018162748397743,65536
llama32_3b,9,128,hadamard,1.6170055866241455,0.00985737868524418,0.0,0.0,65536
llama32_3b,9,128,nar,1.6048908233642578,0.009705372579989517,0.007492097343448223,-0.00015200610525466403,65536
llama32_3b,10,32,bf16,1.402580976486206,0.0,-0.09549277939683988,-0.006084951446645903,65536
llama32_3b,10,32,identity,1.402580976486206,0.007643194175904771,-0.09549277939683988,0.0015582427292588673,65536
llama32_3b,10,32,hadamard,1.2803196907043457,0.006084951446645903,0.0,0.0,65536
llama32_3b,10,32,nar,1.2346715927124023,0.005658335890548844,0.03565367175352185,-0.000426615556097059,65536
llama32_3b,10,64,bf16,1.6919418573379517,0.0,-0.16806092105309722,-0.00797686218939228,65536
llama32_3b,10,64,identity,1.6919418573379517,0.01128578191401236,-0.16806092105309722,0.0033089197246200797,65536
llama32_3b,10,64,hadamard,1.4485048055648804,0.00797686218939228,0.0,0.0,65536
llama32_3b,10,64,nar,1.4203834533691406,0.0076509143168070354,0.019414055160675237,-0.0003259478725852454,65536
llama32_3b,10,128,bf16,2.011502742767334,0.0,-0.2594947423357889,-0.009795792975473507,65536
llama32_3b,10,128,identity,2.011502742767334,0.015938281771110965,-0.2594947423357889,0.0061424887956374585,65536
llama32_3b,10,128,hadamard,1.5970711708068848,0.009795792975473507,0.0,0.0,65536
llama32_3b,10,128,nar,1.5917918682098389,0.009703809505592432,0.0033056151119293248,-9.198346988107536e-05,65536
llama32_3b,11,32,bf16,1.3494105339050293,0.0,-0.06701005516090869,-0.006102199053466358,65536
llama32_3b,11,32,identity,1.3494105339050293,0.007143823433419112,-0.06701005516090869,0.0010416243799527538,65536
llama32_3b,11,32,hadamard,1.2646652460098267,0.006102199053466358,0.0,0.0,65536
llama32_3b,11,32,nar,1.232814908027649,0.005798248994950827,0.0251847973862407,-0.00030395005851553084,65536
llama32_3b,11,64,bf16,1.6057047843933105,0.0,-0.12509497166386346,-0.007953377167236896,65536
llama32_3b,11,64,identity,1.6057047843933105,0.010283165470521553,-0.12509497166386346,0.002329788303284657,65536
llama32_3b,11,64,hadamard,1.4271726608276367,0.007953377167236896,0.0,0.0,65536
llama32_3b,11,64,nar,1.4093291759490967,0.007758979902549904,0.012502681258056304,-0.00019439726468699174,65536
llama32_3b,11,128,bf16,1.8681666851043701,0.0,-0.18292292806999294,-0.009845347957709662,65536
llama32_3b,11,128,identity,1.8681666851043701,0.013965746158276445,-0.18292292806999294,0.004120398200566783,65536
llama32_3b,11,128,hadamard,1.579280138015747,0.009845347957709662,0.0,0.0,65536
llama32_3b,11,128,nar,1.5718281269073486,0.009737118373968777,0.004718612568484119,-0.00010822958374088511,65536
llama32_3b,12,32,bf16,1.3765180110931396,0.0,-0.06802976295192129,-0.0060571394269686015,65536
llama32_3b,12,32,identity,1.3765180110931396,0.007100345070332865,-0.06802976295192129,0.001043205643364263,65536
llama32_3b,12,32,hadamard,1.2888386249542236,0.0060571394269686015,0.0,0.0,65536
llama32_3b,12,32,nar,1.2634251117706299,0.005814289586224836,0.019718149884355284,-0.00024284984074376525,65536
llama32_3b,12,64,bf16,1.6220698356628418,0.0,-0.10971807082115778,-0.00797635213181432,65536
llama32_3b,12,64,identity,1.6220698356628418,0.010048279377818362,-0.10971807082115778,0.0020719272460040412,65536
llama32_3b,12,64,hadamard,1.4616954326629639,0.00797635213181432,0.0,0.0,65536
llama32_3b,12,64,nar,1.4451996088027954,0.00778530547653682,0.011285404258338438,-0.00019104665527750093,65536
llama32_3b,12,128,bf16,1.8789583444595337,0.0,-0.1628174365311373,-0.009849010128369074,65536
llama32_3b,12,128,identity,1.8789583444595337,0.013549325548483563,-0.1628174365311373,0.0037003154201144892,65536
llama32_3b,12,128,hadamard,1.615867018699646,0.009849010128369074,0.0,0.0,65536
llama32_3b,12,128,nar,1.6120455265045166,0.00977967318365127,0.0023649793893340955,-6.933694471780369e-05,65536
llama32_3b,13,32,bf16,1.4194849729537964,0.0,-0.07193315567859315,-0.006086605934679755,65536
llama32_3b,13,32,identity,1.4194849729537964,0.007286185876142284,-0.07193315567859315,0.0011995799414625296,65536
llama32_3b,13,32,hadamard,1.3242290019989014,0.006086605934679755,0.0,0.0,65536
llama32_3b,13,32,nar,1.2827051877975464,0.005691228158554135,0.03135697386077142,-0.0003953777761256201,65536
llama32_3b,13,64,bf16,1.6823010444641113,0.0,-0.12473475951103936,-0.007953489083781384,65536
llama32_3b,13,64,identity,1.6823010444641113,0.010494392005691522,-0.12473475951103936,0.002540902921910138,65536
llama32_3b,13,64,hadamard,1.4957313537597656,0.007953489083781384,0.0,0.0,65536
llama32_3b,13,64,nar,1.469963550567627,0.007652564421039029,0.017227561037192328,-0.0003009246627423551,65536
llama32_3b,13,128,bf16,1.9684934616088867,0.0,-0.18738590689132265,-0.009875089534068024,65536
llama32_3b,13,128,identity,1.9684934616088867,0.014469761577058735,-0.18738590689132265,0.004594672042990711,65536
llama32_3b,13,128,hadamard,1.657837986946106,0.009875089534068024,0.0,0.0,65536
llama32_3b,13,128,nar,1.6428065299987793,0.00967379320225877,0.009066903440315072,-0.0002012963318092538,65536
llama32_3b,14,32,bf16,1.321648120880127,0.0,-0.04604457950411614,-0.006098265427200313,65536
llama32_3b,14,32,identity,1.321648120880127,0.006830538555777866,-0.04604457950411614,0.0007322731285775534,65536
llama32_3b,14,32,hadamard,1.263472080230713,0.006098265427200313,0.0,0.0,65536
llama32_3b,14,32,nar,1.2358694076538086,0.005831802922405169,0.021846681860879732,-0.0002664625047951435,65536
llama32_3b,14,64,bf16,1.5495107173919678,0.0,-0.08295032658294436,-0.008009689716578786,65536
