model,site,layer,method,b,requested_k,realized_k,dc_slots,anchor_error,permutation_energy_rows
llama32_3b,qkv,25,nar_b256_kmax,256,kmax,12,12,3.5762786865234375e-07,8192
llama32_3b,qkv,25,nar_b128_k8,128,8,8,24,1.1920928955078125e-07,8192
llama32_3b,qkv,25,nar_b128_k16,128,16,16,24,1.1920928955078125e-07,8192
llama32_3b,qkv,25,nar_b128_k32,128,32,24,24,1.1920928955078125e-07,8192
llama32_3b,qkv,26,nar_b64_kmax,64,kmax,48,48,2.384185791015625e-07,8192
llama32_3b,qkv,26,nar_b256_kmax,256,kmax,12,12,2.384185791015625e-07,8192
llama32_3b,qkv,26,nar_b128_k8,128,8,8,24,1.1920928955078125e-07,8192
llama32_3b,qkv,26,nar_b128_k16,128,16,16,24,1.7881393432617188e-07,8192
llama32_3b,qkv,26,nar_b128_k32,128,32,24,24,1.7881393432617188e-07,8192
llama32_3b,qkv,27,nar_b64_kmax,64,kmax,48,48,2.384185791015625e-07,8192
llama32_3b,qkv,27,nar_b256_kmax,256,kmax,12,12,2.384185791015625e-07,8192
llama32_3b,qkv,27,nar_b128_k8,128,8,8,24,1.7881393432617188e-07,8192
llama32_3b,qkv,27,nar_b128_k16,128,16,16,24,1.7881393432617188e-07,8192
llama32_3b,qkv,27,nar_b128_k32,128,32,24,24,1.7881393432617188e-07,8192
llama32_3b,down,0,nar_b64_kmax,64,kmax,128,128,3.5762786865234375e-07,8192
llama32_3b,down,0,nar_b256_kmax,256,kmax,32,32,4.76837158203125e-07,8192
llama32_3b,down,0,nar_b128_k8,128,8,8,64,4.172325134277344e-07,8192
llama32_3b,down,0,nar_b128_k16,128,16,16,64,4.172325134277344e-07,8192
llama32_3b,down,0,nar_b128_k32,128,32,32,64,4.172325134277344e-07,8192
llama32_3b,down,1,nar_b64_kmax,64,kmax,128,128,2.384185791015625e-07,8192
llama32_3b,down,1,nar_b256_kmax,256,kmax,32,32,2.384185791015625e-07,8192
