model,method,seed,sequence,nll,tokens_scored,alpha,smoothing_sites,weight_fold_max_relative_error
llama32_3b,smoothquant_a080_both,20260902,19,2.1307220458984375,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,20,2.260136365890503,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,21,2.17807936668396,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,22,2.2349302768707275,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,23,2.265594005584717,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,24,2.2952306270599365,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,25,2.361018419265747,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,26,2.450531244277954,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,27,2.251159191131592,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,28,2.0179660320281982,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,29,1.844771385192871,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,30,1.7315101623535156,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,31,1.7601346969604492,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,32,2.0264272689819336,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,33,1.9990496635437012,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,34,2.178499698638916,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,35,1.5032926797866821,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,36,1.4631173610687256,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,37,1.5139846801757812,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,38,1.496006727218628,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,39,1.6912199258804321,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,40,2.29080867767334,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,41,2.7145352363586426,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,42,2.7092626094818115,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,43,2.3461687564849854,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,44,2.3294284343719482,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,45,2.2994956970214844,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,46,2.3842458724975586,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,47,2.185260772705078,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,48,2.0641911029815674,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,49,2.059356689453125,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,50,1.7943646907806396,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,51,1.862540602684021,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,52,1.711692452430725,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,53,1.9222248792648315,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,54,1.6461459398269653,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,55,1.622692584991455,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,56,1.8753758668899536,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,57,1.825300693511963,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,58,2.2062180042266846,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,59,2.3833343982696533,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,60,2.378338098526001,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,61,2.4945285320281982,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,62,1.5459835529327393,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a080_both,20260902,63,1.9343963861465454,2047,0.8,qkv+down,0.4128030240535736
llama32_3b,smoothquant_a050_qkv_only,20260902,0,1.8460938930511475,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,1,2.4396042823791504,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,2,2.506162166595459,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,3,2.035172939300537,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,4,1.9435075521469116,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,5,1.5616426467895508,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,6,1.6790019273757935,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,7,1.9287447929382324,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,8,2.266263484954834,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,9,1.9794949293136597,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,10,1.9096124172210693,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,11,2.2560248374938965,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,12,2.125638484954834,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,13,2.289949417114258,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,14,2.2129292488098145,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,15,2.4086289405822754,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,16,2.1400868892669678,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,17,2.155134439468384,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,18,1.9609246253967285,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,19,2.128007650375366,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,20,2.244605779647827,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,21,2.1679272651672363,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,22,2.219567060470581,2047,0.5,qkv,0.004569633863866329
