model,layer,b,k,dc_slots,mean_group_range,relative_quantization_error_nmse,range_reduction_vs_hadamard,nmse_delta_vs_hadamard,absorbed_energy_fraction,sqrt_one_minus_absorbed_energy_fraction,orthogonality_max_abs_error
llama32_3b,9,32,4,4,1.2540998458862305,0.005743244162709821,0.030225194680401135,-0.00034628335530037437,0.08109715425749803,0.9585942028525428,1.1102230246251565e-15
llama32_3b,9,64,0,2,1.4636491537094116,0.007987524261563671,-0.001002716522850751,1.2263416401009364e-05,0.0,1.0,1.1102230246251565e-15
llama32_3b,9,64,1,2,1.4500460624694824,0.007850341428252661,0.008300558958003143,-0.0001249194169100007,0.024252523351361403,0.9877993099049213,1.1102230246251565e-15
llama32_3b,9,64,2,2,1.4384112358093262,0.007736311281216195,0.016257720729710868,-0.00023894956394646637,0.04469137351534521,0.9773989085755389,1.1102230246251565e-15
llama32_3b,9,128,0,1,1.6232883930206299,0.0099101282922365,-0.0038854574458218874,5.274960699231876e-05,0.0,1.0,9.992007221626409e-16
llama32_3b,9,128,1,1,1.6048908233642578,0.009705372579989517,0.007492097343448223,-0.00015200610525466403,0.024252523351361403,0.9877993099049213,8.881784197001252e-16
llama32_3b,10,32,0,4,1.2802034616470337,0.006089365946135999,9.078127764173517e-05,4.414499490095446e-06,0.0,1.0,1.1102230246251565e-15
llama32_3b,10,32,1,4,1.2679085731506348,0.005961433843947806,0.009693764490088547,-0.00012351760269809723,0.02787475345034927,0.9859641203155675,9.992007221626409e-16
llama32_3b,10,32,2,4,1.255858302116394,0.005844639165789287,0.019105688028975523,-0.00024031228085661608,0.05069197247793827,0.9743243954259083,1.1102230246251565e-15
llama32_3b,10,32,3,4,1.2458772659301758,0.005758641319953396,0.026901425498831483,-0.000326310126692507,0.0716445962746772,0.9635120153507806,1.4432899320127035e-15
llama32_3b,10,32,4,4,1.2346715927124023,0.005658335890548844,0.03565367175352185,-0.000426615556097059,0.09064332565477311,0.9536019475364063,1.1102230246251565e-15
llama32_3b,10,64,0,2,1.4489505290985107,0.00797280354786951,-0.00030771284425014394,-4.058641522770162e-06,0.0,1.0,7.771561172376096e-16
llama32_3b,10,64,1,2,1.432645320892334,0.007786631684231382,0.01094886576255547,-0.0001902305051608988,0.02787475345034927,0.9859641203155675,1.1102230246251565e-15
llama32_3b,10,64,2,2,1.4203834533691406,0.0076509143168070354,0.019414055160675237,-0.0003259478725852454,0.05069197247793827,0.9743243954259083,1.1102230246251565e-15
llama32_3b,10,128,0,1,1.6079809665679932,0.009914354151188784,-0.006831126853035902,0.00011856117571527706,0.0,1.0,1.2212453270876722e-15
llama32_3b,10,128,1,1,1.5917918682098389,0.009703809505592432,0.0033056151119293248,-9.198346988107536e-05,0.02787475345034927,0.9859641203155675,1.1102230246251565e-15
llama32_3b,11,32,0,4,1.2659268379211426,0.006121826369718912,-0.0009975698433213015,1.9627316252554018e-05,0.0,1.0,1.3322676295501878e-15
llama32_3b,11,32,1,4,1.2550824880599976,0.0060162852128227825,0.007577307892395932,-8.591384064357555e-05,0.022099704295845835,0.9888884141823859,1.1102230246251565e-15
llama32_3b,11,32,2,4,1.2479650974273682,0.005947937361152355,0.013205192943468246,-0.00015426169231400316,0.04171144871432935,0.9789221374990305,1.3322676295501878e-15
llama32_3b,11,32,3,4,1.2405822277069092,0.00587663944109603,0.019042998436860935,-0.00022555961237032823,0.058978691818021324,0.9700625279753768,1.1102230246251565e-15
llama32_3b,11,32,4,4,1.232814908027649,0.005798248994950827,0.0251847973862407,-0.00030395005851553084,0.07480078418519129,0.9618727648783952,1.2212453270876722e-15
llama32_3b,11,64,0,2,1.4320452213287354,0.00800640698684499,-0.0034141352583596783,5.302981960809451e-05,0.0,1.0,1.1102230246251565e-15
