model,row,seed,chunk,source_row,old_nll,replay_nll,float32_bit_identical,per_token_mean_difference,source_sha256
llama32_3b,Q1_asym,0,58,Q1_pq,2.1841416358947754,2.1841416358947754,True,0.0,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,0,59,Q1_pq,2.355360269546509,2.355360269546509,True,-2.384185791015625e-07,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,0,60,Q1_pq,2.3642666339874268,2.3642666339874268,True,-2.384185791015625e-07,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,0,61,Q1_pq,2.4666872024536133,2.4666872024536133,True,0.0,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,0,62,Q1_pq,1.5154176950454712,1.5154176950454712,True,0.0,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,0,63,Q1_pq,1.9039556980133057,1.9039556980133057,True,-1.1920928955078125e-07,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,0,Q1_pq,1.8295741081237793,1.8295741081237793,True,1.1920928955078125e-07,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,1,Q1_pq,2.4254281520843506,2.4254281520843506,True,0.0,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,2,Q1_pq,2.503716230392456,2.503716230392456,True,-2.384185791015625e-07,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,3,Q1_pq,2.018537759780884,2.018537759780884,True,2.384185791015625e-07,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,4,Q1_pq,1.9285489320755005,1.9285489320755005,True,1.1920928955078125e-07,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,5,Q1_pq,1.5514503717422485,1.5514503717422485,True,1.1920928955078125e-07,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,6,Q1_pq,1.6727898120880127,1.6727898120880127,True,1.1920928955078125e-07,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,7,Q1_pq,1.9159460067749023,1.9159460067749023,True,1.1920928955078125e-07,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,8,Q1_pq,2.253347396850586,2.253347396850586,True,0.0,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,9,Q1_pq,1.9768038988113403,1.9768038988113403,True,0.0,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,10,Q1_pq,1.8990437984466553,1.8990437984466553,True,-2.384185791015625e-07,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,11,Q1_pq,2.2512738704681396,2.2512738704681396,True,0.0,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,12,Q1_pq,2.125199556350708,2.125199556350708,True,0.0,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,13,Q1_pq,2.276665449142456,2.276665449142456,True,0.0,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,14,Q1_pq,2.200011730194092,2.200011730194092,True,0.0,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,15,Q1_pq,2.404629945755005,2.404629945755005,True,0.0,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,16,Q1_pq,2.127000331878662,2.127000331878662,True,2.384185791015625e-07,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,17,Q1_pq,2.1484506130218506,2.1484506130218506,True,0.0,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,18,Q1_pq,1.9616268873214722,1.9616268873214722,True,-1.1920928955078125e-07,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,19,Q1_pq,2.1073756217956543,2.1073756217956543,True,0.0,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,20,Q1_pq,2.2362303733825684,2.2362303733825684,True,0.0,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,21,Q1_pq,2.1579573154449463,2.1579573154449463,True,0.0,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,22,Q1_pq,2.2067959308624268,2.2067959308624268,True,0.0,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,23,Q1_pq,2.2458155155181885,2.2458155155181885,True,2.384185791015625e-07,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,24,Q1_pq,2.2754530906677246,2.2754530906677246,True,0.0,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,25,Q1_pq,2.3420464992523193,2.3420464992523193,True,2.384185791015625e-07,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,26,Q1_pq,2.434105634689331,2.434105634689331,True,2.384185791015625e-07,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,27,Q1_pq,2.2310636043548584,2.2310636043548584,True,0.0,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,28,Q1_pq,1.9970039129257202,1.9970039129257202,True,1.1920928955078125e-07,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,29,Q1_pq,1.8123689889907837,1.8123689889907837,True,2.384185791015625e-07,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,30,Q1_pq,1.6929035186767578,1.6929035186767578,True,0.0,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,31,Q1_pq,1.7146356105804443,1.7146356105804443,True,1.1920928955078125e-07,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,32,Q1_pq,2.0227982997894287,2.0227982997894287,True,2.384185791015625e-07,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,33,Q1_pq,1.98537278175354,1.98537278175354,True,0.0,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,34,Q1_pq,2.1628637313842773,2.1628637313842773,True,0.0,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,35,Q1_pq,1.4741581678390503,1.4741581678390503,True,-1.1920928955078125e-07,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,36,Q1_pq,1.4529352188110352,1.4529352188110352,True,0.0,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,37,Q1_pq,1.5010615587234497,1.5010615587234497,True,-1.1920928955078125e-07,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
