model,model_id,site,method,seed,sequence,nll,tokens_scored,reused_deterministic_run,weight_fold_max_relative_error
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,46,2.373849868774414,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,47,2.168752908706665,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,48,2.0563113689422607,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,49,2.037294864654541,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,50,1.7737281322479248,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,51,1.852644681930542,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,52,1.683374047279358,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,53,1.9031020402908325,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,54,1.6327061653137207,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,55,1.618031620979309,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,56,1.8511545658111572,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,57,1.8201340436935425,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,58,2.1873295307159424,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,59,2.362114667892456,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,60,2.363764762878418,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,61,2.4887444972991943,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,62,1.5252152681350708,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,qkv_only,identity,20260902,63,1.9109567403793335,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,0,1.8849650621414185,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,1,2.492713689804077,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,2,2.5720572471618652,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,3,2.0689990520477295,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,4,1.9910955429077148,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,5,1.6162424087524414,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,6,1.721075177192688,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,7,1.9830470085144043,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,8,2.3280200958251953,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,9,2.0244736671447754,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,10,1.9627519845962524,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,11,2.3230161666870117,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,12,2.1701743602752686,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,13,2.318408489227295,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,14,2.2543230056762695,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,15,2.4516916275024414,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,16,2.173799753189087,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,17,2.2111172676086426,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,18,2.022097587585449,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,19,2.1666505336761475,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,20,2.289104700088501,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,21,2.205195426940918,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,22,2.2617604732513428,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,23,2.290083408355713,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,24,2.3444106578826904,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,25,2.393436908721924,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,26,2.4876091480255127,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,27,2.2875468730926514,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,28,2.058523654937744,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,29,1.8796530961990356,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,30,1.7621581554412842,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,31,1.7997695207595825,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,32,2.087265729904175,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,33,2.0475621223449707,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,34,2.1990818977355957,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,35,1.5327200889587402,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,36,1.4821473360061646,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,37,1.5259920358657837,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,38,1.5300946235656738,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,39,1.7148010730743408,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,40,2.3431060314178467,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,41,2.7390618324279785,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,42,2.752553701400757,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,43,2.4008753299713135,2047,False,0.0
