model,site,layer,n,b,method,mean_group_range,relative_quantization_error_nmse,range_reduction_vs_hadamard,nmse_delta_vs_hadamard,evaluation_tokens
llama32_3b,q_input,21,3072,128,identity,3.9164280891418457,0.026483907672065776,-0.5344305741832298,0.01658574416627991,8192
llama32_3b,q_input,21,3072,128,hadamard_full,2.552365779876709,0.009898163505785866,0.0,0.0,8192
llama32_3b,q_input,21,3072,128,nar_kmax,1.994207739830017,0.006127141156650722,0.2186826216082765,-0.003771022349135144,8192
llama32_3b,q_input,22,3072,128,bf16,3.7233428955078125,0.0,-0.48458216742582355,-0.009923482728196367,8192
llama32_3b,q_input,22,3072,128,identity,3.7233428955078125,0.02443188301580163,-0.48458216742582355,0.014508400287605262,8192
llama32_3b,q_input,22,3072,128,hadamard_full,2.508007287979126,0.009923482728196367,0.0,0.0,8192
llama32_3b,q_input,22,3072,128,nar_kmax,1.9753282070159912,0.006245748426747844,0.21239136086895144,-0.0036777343014485226,8192
llama32_3b,q_input,23,3072,128,bf16,3.8069064617156982,0.0,-0.522055246809225,-0.009913864929198438,8192
llama32_3b,q_input,23,3072,128,identity,3.8069064617156982,0.026120439080650603,-0.522055246809225,0.016206574151452165,8192
llama32_3b,q_input,23,3072,128,hadamard_full,2.501161813735962,0.009913864929198438,0.0,0.0,8192
llama32_3b,q_input,23,3072,128,nar_kmax,1.9424920082092285,0.006067125720383333,0.22336411920996568,-0.003846739208815105,8192
llama32_3b,q_input,24,3072,128,bf16,4.020869255065918,0.0,-0.5092612662018687,-0.00991597670101603,8192
llama32_3b,q_input,24,3072,128,identity,4.020869255065918,0.025180024824001362,-0.5092612662018687,0.015264048122985333,8192
llama32_3b,q_input,24,3072,128,hadamard_full,2.664130687713623,0.00991597670101603,0.0,0.0,8192
llama32_3b,q_input,24,3072,128,nar_kmax,2.090304374694824,0.006198052518741512,0.21538970128798782,-0.0037179241822745176,8192
llama32_3b,q_input,25,3072,128,bf16,3.5266623497009277,0.0,-0.3697986496385176,-0.009939413612410358,8192
llama32_3b,q_input,25,3072,128,identity,3.5266623497009277,0.02028149597678039,-0.3697986496385176,0.010342082364370031,8192
llama32_3b,q_input,25,3072,128,hadamard_full,2.574584484100342,0.009939413612410358,0.0,0.0,8192
llama32_3b,q_input,25,3072,128,nar_kmax,2.063816785812378,0.006488337440826223,0.1983884007078702,-0.003451076171584135,8192
llama32_3b,q_input,26,3072,128,bf16,3.6685214042663574,0.0,-0.4464803291609134,-0.009954088131217408,8192
llama32_3b,q_input,26,3072,128,identity,3.6685214042663574,0.02288281974019524,-0.4464803291609134,0.012928731608977832,8192
llama32_3b,q_input,26,3072,128,hadamard_full,2.5361709594726562,0.009954088131217408,0.0,0.0,8192
llama32_3b,q_input,26,3072,128,nar_kmax,1.9963109493255615,0.0062552218686047515,0.212864203073813,-0.0036988662626126568,8192
llama32_3b,q_input,27,3072,128,bf16,2.979177474975586,0.0,-0.3196059803328105,-0.009913787829201836,8192
llama32_3b,q_input,27,3072,128,identity,2.979177474975586,0.018294638390762834,-0.3196059803328105,0.008380850561560998,8192
llama32_3b,q_input,27,3072,128,hadamard_full,2.257626533508301,0.009913787829201836,0.0,0.0,8192
llama32_3b,q_input,27,3072,128,nar_kmax,1.7943223714828491,0.006352878976159633,0.20521736219386447,-0.0035609088530422026,8192
llama32_3b,down_input,0,8192,128,bf16,0.11681035161018372,0.0,-0.5686278825801785,-0.004573240991783409,8192
llama32_3b,down_input,0,8192,128,identity,0.11681035161018372,0.01528032620825645,-0.5686278825801785,0.010707085216473042,8192
llama32_3b,down_input,0,8192,128,hadamard_full,0.07446657866239548,0.004573240991783409,0.0,0.0,8192
llama32_3b,down_input,0,8192,128,nar_kmax,0.0475555919110775,0.0018753077806959947,0.36138341836977167,-0.0026979332110874145,8192
llama32_3b,down_input,1,8192,128,bf16,0.25997859239578247,0.0,0.02519058011963757,-0.0007495683439097061,8192
llama32_3b,down_input,1,8192,128,identity,0.25997859239578247,6.956958530344007e-05,0.02519058011963757,-0.000679998758606266,8192
