model,site,layer,n,b,method,mean_group_range,relative_quantization_error_nmse,range_reduction_vs_hadamard,nmse_delta_vs_hadamard,evaluation_tokens
llama32_3b,down_input,16,8192,128,nar_kmax,0.2850359082221985,0.0061311264661643595,0.22465241077828563,-0.0035966944955517968,8192
llama32_3b,down_input,17,8192,128,bf16,0.5770325660705566,0.0,-0.5453262580238324,-0.009706467183766249,8192
llama32_3b,down_input,17,8192,128,identity,0.5770325660705566,0.03302276063119079,-0.5453262580238324,0.023316293447424544,8192
llama32_3b,down_input,17,8192,128,hadamard_full,0.37340500950813293,0.009706467183766249,0.0,0.0,8192
llama32_3b,down_input,17,8192,128,nar_kmax,0.29084187746047974,0.006156339115979725,0.22110879593289157,-0.0035501280677865234,8192
llama32_3b,down_input,18,8192,128,bf16,0.5870504379272461,0.0,-0.5376511001642241,-0.009667964761558874,8192
llama32_3b,down_input,18,8192,128,identity,0.5870504379272461,0.03297986859162577,-0.5376511001642241,0.0233119038300669,8192
llama32_3b,down_input,18,8192,128,hadamard_full,0.3817839026451111,0.009667964761558874,0.0,0.0,8192
llama32_3b,down_input,18,8192,128,nar_kmax,0.29853951930999756,0.006199685004805808,0.21804057939156674,-0.003468279756753067,8192
llama32_3b,down_input,19,8192,128,bf16,0.6851146817207336,0.0,-0.5615884560304875,-0.009676664837821496,8192
llama32_3b,down_input,19,8192,128,identity,0.6851146817207336,0.03551532070696181,-0.5615884560304875,0.025838655869140317,8192
llama32_3b,down_input,19,8192,128,hadamard_full,0.43872934579849243,0.009676664837821496,0.0,0.0,8192
llama32_3b,down_input,19,8192,128,nar_kmax,0.3277551233768463,0.005649593493311809,0.2529446080696329,-0.0040270713445096865,8192
llama32_3b,down_input,20,8192,128,bf16,0.6740390062332153,0.0,-0.5825815655559882,-0.009681620350346021,8192
llama32_3b,down_input,20,8192,128,identity,0.6740390062332153,0.035452086453545424,-0.5825815655559882,0.025770466103199403,8192
llama32_3b,down_input,20,8192,128,hadamard_full,0.4259110689163208,0.009681620350346021,0.0,0.0,8192
llama32_3b,down_input,20,8192,128,nar_kmax,0.3244175314903259,0.005894991189381242,0.23829748704167963,-0.0037866291609647794,8192
llama32_3b,down_input,21,8192,128,bf16,0.6994154453277588,0.0,-0.5945738327096632,-0.00970841019744485,8192
llama32_3b,down_input,21,8192,128,identity,0.6994154453277588,0.03626216723934617,-0.5945738327096632,0.026553757041901323,8192
llama32_3b,down_input,21,8192,128,hadamard_full,0.4386221766471863,0.00970841019744485,0.0,0.0,8192
llama32_3b,down_input,21,8192,128,nar_kmax,0.3317009210586548,0.005859969360572965,0.24376618712221554,-0.003848440836871884,8192
llama32_3b,down_input,22,8192,128,bf16,0.7291524410247803,0.0,-0.5912975949362149,-0.009640178396974265,8192
llama32_3b,down_input,22,8192,128,identity,0.7291524410247803,0.035817356807904877,-0.5912975949362149,0.02617717841093061,8192
llama32_3b,down_input,22,8192,128,hadamard_full,0.4582124948501587,0.009640178396974265,0.0,0.0,8192
llama32_3b,down_input,22,8192,128,nar_kmax,0.34862038493156433,0.005923066522916318,0.2391731154219886,-0.003717111874057947,8192
llama32_3b,down_input,23,8192,128,bf16,0.8233795166015625,0.0,-0.6041459239249715,-0.009621681833959745,8192
llama32_3b,down_input,23,8192,128,identity,0.8233795166015625,0.03585937974047622,-0.6041459239249715,0.026237697906516474,8192
llama32_3b,down_input,23,8192,128,hadamard_full,0.5132821798324585,0.009621681833959745,0.0,0.0,8192
llama32_3b,down_input,23,8192,128,nar_kmax,0.38093727827072144,0.005634670153203268,0.25784043701835907,-0.003987011680756477,8192
llama32_3b,down_input,24,8192,128,bf16,0.9610767364501953,0.0,-0.6150491460293943,-0.009700223327072786,8192
llama32_3b,down_input,24,8192,128,identity,0.9610767364501953,0.035354593712762804,-0.6150491460293943,0.025654370385690017,8192
llama32_3b,down_input,24,8192,128,hadamard_full,0.5950758457183838,0.009700223327072786,0.0,0.0,8192
llama32_3b,down_input,24,8192,128,nar_kmax,0.42177313566207886,0.0051862412234195375,0.29122793557028265,-0.004513982103653249,8192
llama32_3b,down_input,25,8192,128,bf16,1.2232682704925537,0.0,-0.6488482425974291,-0.009768348355399244,8192
llama32_3b,down_input,25,8192,128,identity,1.2232682704925537,0.03537320849194654,-0.6488482425974291,0.025604860136547298,8192
llama32_3b,down_input,25,8192,128,hadamard_full,0.7418925762176514,0.009768348355399244,0.0,0.0,8192
llama32_3b,down_input,25,8192,128,nar_kmax,0.4867672920227051,0.004502949387718859,0.3438844010215562,-0.005265398967680386,8192
llama32_3b,down_input,26,8192,128,bf16,1.5617623329162598,0.0,-0.6536218811045568,-0.009511715829235661,8192
llama32_3b,down_input,26,8192,128,identity,1.5617623329162598,0.03414696978996677,-0.6536218811045568,0.02463525396073111,8192
llama32_3b,down_input,26,8192,128,hadamard_full,0.9444494843482971,0.009511715829235661,0.0,0.0,8192
llama32_3b,down_input,26,8192,128,nar_kmax,0.5842117667198181,0.0038761253437224683,0.3814261361760979,-0.005635590485513193,8192
llama32_3b,down_input,27,8192,128,bf16,3.3423120975494385,0.0,-0.7454929924958487,-0.009131503191223973,8192
llama32_3b,down_input,27,8192,128,identity,3.3423120975494385,0.03986909913436695,-0.7454929924958487,0.03073759594314298,8192
llama32_3b,down_input,27,8192,128,hadamard_full,1.91482412815094,0.009131503191223973,0.0,0.0,8192
llama32_3b,down_input,27,8192,128,nar_kmax,0.8850160241127014,0.001535903180560341,0.5378081928770545,-0.007595600010663632,8192
