model,layer,b,k,nar_mean_group_range,dc_absorption_fraction_vs_k0,identity_residual_range_after_projection,projection_range_attribution_fraction
llama32_3b,13,32,3,6.836301803588867,0.1264193253825642,7.446767807006836,0.189923453310254
llama32_3b,13,32,4,6.681215286254883,0.1462371433094391,6.97808313369751,0.24090805112242022
llama32_3b,13,64,0,8.950849533081055,0.0,12.716320991516113,0.0
llama32_3b,13,64,1,8.532264709472656,0.04676481512300805,11.45675277709961,0.09905130699805738
llama32_3b,13,64,2,8.13144302368164,0.09154511048040806,10.461075782775879,0.17735044674044131
llama32_3b,13,128,0,10.119217872619629,0.0,15.71709156036377,0.0
llama32_3b,13,128,1,9.667593955993652,0.04463031850000693,13.652059555053711,0.13138766783784414
llama32_3b,14,32,0,7.3596367835998535,0.0,9.025300979614258,0.0
llama32_3b,14,32,1,6.9906487464904785,0.050136718422249385,7.969758987426758,0.1169536611102153
llama32_3b,14,32,2,6.758939266204834,0.08162053849363984,7.378681182861328,0.1824448625560747
llama32_3b,14,32,3,6.549308776855469,0.11010434761537582,6.974880695343018,0.22718580675620587
llama32_3b,14,32,4,6.377938270568848,0.13338953292078404,6.628331184387207,0.265583363994305
llama32_3b,14,64,0,8.517457962036133,0.0,11.906789779663086,0.0
llama32_3b,14,64,1,8.010467529296875,0.059523678895629054,10.029541969299316,0.1576619596971576
llama32_3b,14,64,2,7.739764213562012,0.09130585110492406,9.045437812805176,0.24031263000419537
llama32_3b,14,128,0,9.643549919128418,0.0,15.537017822265625,0.0
llama32_3b,14,128,1,8.968679428100586,0.06998154172346802,12.127328872680664,0.21945581762148975
llama32_3b,15,32,0,7.338831901550293,0.0,8.603561401367188,0.0
llama32_3b,15,32,1,7.056241035461426,0.03850624593665529,8.052923202514648,0.06400119359467085
llama32_3b,15,32,2,6.809401988983154,0.0721408964899849,7.57268762588501,0.11981942446744927
llama32_3b,15,32,3,6.584748268127441,0.10275254203104925,7.237114906311035,0.15882335596965821
llama32_3b,15,32,4,6.396636009216309,0.12838499436605844,6.803112030029297,0.2092679167782521
llama32_3b,15,64,0,8.36797046661377,0.0,11.545443534851074,0.0
llama32_3b,15,64,1,8.080377578735352,0.03436829623453451,10.49593734741211,0.09090219741415093
