model,site,layer,duquant_range,hadamard_range,prismquant_range,duquant_over_hadamard,null_space_capture,inside_paired_bracket,construction_seed,permutation_sha256,sampled_bf16_sha256,hadamard_replay_range,hadamard_replay_nmse,frozen_hadamard_source_csv_line
llama32_3b,down_input,22,0.4262249171733856,0.4582124948501587,0.3486203849315643,0.9301905163296924,0.033691919273139054,True,20382902,0b255e5e688d19386c23f71e37cb16b1b4378700432043caa5b34138dc5a89aa,a759d15b181eed9c10499941d05dbb310fbe12169ac3ab83e289ee182c2dfb31,0.45821255445480347,0.009640177320641175,204
llama32_3b,down_input,23,0.47776085138320923,0.5132821798324585,0.3809372782707214,0.9307957107319723,0.05646379532178443,True,20383902,747e57ca51e1001bbc3d850ffe07fa8e18fc7072edb2e2b0a38c670c5328d4ae,e0cba10324679a48f9dc945f9cb31c94a835d84a3c4bb1b26e702c4b16bcb058,0.5132821798324585,0.00962167974257318,208
llama32_3b,down_input,24,0.5601572394371033,0.5950758457183838,0.4217731356620788,0.9413207467039327,0.029188973243244765,True,20384902,40aba19ef352641bcb9d6f2b65d0ac1ce0b7e61fedd4c461c73c69daad447098,dd8356af3f39531299bf007d10f115ea1cad8e21418168355522dea96008bdc8,0.5950758457183838,0.009700221619053304,212
llama32_3b,down_input,25,0.6956270337104797,0.7418925762176514,0.4867672920227051,0.9376384883873018,0.03594219953740094,True,20385902,7a2edc3e388cfacd1dd9f1f5cafb2cbb12be36ced58a0ffc2a524cf8484b3741,e4f65077c2ba4658fedda72cdfa7e8477da550fd04605039e8b2fa81afc88d6d,0.7418926358222961,0.009768348355399244,216
llama32_3b,down_input,26,0.8797279596328735,0.9444494843482972,0.5842117667198181,0.9314716924642256,0.08650964704807697,True,20386902,0ee415850bf7e54df4ade17cb6d0f6e4280eab1590314b9a65d426a7b7783aae,7b8d707e719aaf728f5e0b80c9b46a08c64fd8359b7f1920258dfd1ba440846c,0.9444495439529419,0.009511715829235661,220
llama32_3b,down_input,27,1.5854662656784058,1.91482412815094,0.8850160241127014,0.8279957633547368,0.4496422437933682,True,20387902,8640c4096a5166d42cd317f0aba6141b904c44eb87689aacde0ce13f1a3eeea0,8f54f0779303d1c08c251f7726ebba5425dc62b31d26984db812b76233fc2a05,1.914824366569519,0.009131502522798663,224
llama32_3b,q_input,7,1.725612759590149,1.8655542135238647,1.4749109745025637,0.9249866592354993,0.14383193493872712,True,20267902,88ba92573e98c4d5b589115269da6239f89f7e33decc67dd2e5e6c2268c0285e,c86dc989cab1f49586adfcd1b8ef5c793fd61fcb2b5d5833a2b99e53828b1e10,1.8655539751052856,0.009933090008834498,32
llama32_3b,q_input,8,1.8664706945419312,2.090171337127685,1.6168174743652344,0.8929749735764899,0.20165197251055003,True,20268902,c84ff00301e7a5c5134033fc4ab7fc8a26807c2673f4478438711bde06d8f323,871c61a7c71283b49f8b1bfb854726823cb2829ebea6605a93d0d502c1e2ee09,2.0901710987091064,0.009942510817638757,36
llama32_3b,q_input,9,1.8390432596206665,2.088529586791992,1.619598388671875,0.8805445090416268,0.2267872485013937,True,20269902,70a366c9840c1ec6d3ab689b6c253c13a006204b489aecab6e901a13cbb98cb8,94723a4fbf54746c6f695b314c00e0cfcb7e23a37b477d3501480a6269d16c4c,2.088529586791992,0.009929460070398568,40
llama32_3b,q_input,10,1.8952773809432983,2.160496234893799,1.660935640335083,0.8772416958349675,0.22938858715024824,True,20270902,3f0db93ddabd1c33b22ff00ec5c2f37831601be56281417faf42e95ae8a0bc72,88d3e50217b9c30e71a57887eafecd8adb50a74af0b8579441230b949b41bbf8,2.1604959964752197,0.009917326310356226,44
