model,layer,b,position,method,mean_group_range,relative_quantization_error_nmse,range_reduction_vs_hadamard,nmse_delta_vs_hadamard,sample_vectors
llama32_3b,3,32,0,bf16,9.041309356689453,0.0,-0.2278129517851109,-0.005586993207739926,65536
llama32_3b,3,32,0,identity,9.041309356689453,0.010325269599454564,-0.2278129517851109,0.004738276391714638,65536
llama32_3b,3,32,0,hadamard,7.363751411437988,0.005586993207739926,0.0,0.0,65536
llama32_3b,3,32,0,nar,5.740417957305908,0.0034953106998072926,0.22044924705233587,-0.0020916825079326335,65536
llama32_3b,3,32,512,bf16,9.026016235351562,0.0,-0.21237062110388594,-0.0057066145307550975,65536
llama32_3b,3,32,512,identity,9.026016235351562,0.010276859353879357,-0.21237062110388594,0.00457024482312426,65536
llama32_3b,3,32,512,hadamard,7.444931507110596,0.0057066145307550975,0.0,0.0,65536
llama32_3b,3,32,512,nar,5.647717475891113,0.0033866469824615293,0.24140101618167709,-0.002319967548293568,65536
llama32_3b,3,32,1024,bf16,9.04680347442627,0.0,-0.21199458335350926,-0.005746569225557978,65536
llama32_3b,3,32,1024,identity,9.04680347442627,0.010311574438062457,-0.21199458335350926,0.004565005212504479,65536
llama32_3b,3,32,1024,hadamard,7.46439266204834,0.005746569225557978,0.0,0.0,65536
llama32_3b,3,32,1024,nar,5.640612602233887,0.0033808096915157403,0.24433066994012892,-0.0023657595340422373,65536
llama32_3b,3,32,2048,bf16,8.976720809936523,0.0,-0.21219107412907331,-0.005635189121643894,65536
llama32_3b,3,32,2048,identity,8.976720809936523,0.010253961932645408,-0.21219107412907331,0.0046187728110015135,65536
llama32_3b,3,32,2048,hadamard,7.405367851257324,0.005635189121643894,0.0,0.0,65536
llama32_3b,3,32,2048,nar,5.671825885772705,0.0034206745557905775,0.23409262042131895,-0.002214514565853317,65536
llama32_3b,3,64,0,bf16,12.253742218017578,0.0,-0.4935641454774891,-0.0071206387428667745,65536
llama32_3b,3,64,0,identity,12.253742218017578,0.01828594200614972,-0.4935641454774891,0.011165303263282945,65536
llama32_3b,3,64,0,hadamard,8.204362869262695,0.0071206387428667745,0.0,0.0,65536
llama32_3b,3,64,0,nar,6.93036413192749,0.0052524194979839366,0.1552830801899546,-0.001868219244882838,65536
llama32_3b,3,64,512,bf16,12.416626930236816,0.0,-0.4986284782272142,-0.007261515548963565,65536
llama32_3b,3,64,512,identity,12.416626930236816,0.018585465591121154,-0.4986284782272142,0.01132395004215759,65536
llama32_3b,3,64,512,hadamard,8.285326957702637,0.007261515548963565,0.0,0.0,65536
llama32_3b,3,64,512,nar,6.887651443481445,0.00518762111922641,0.16869286165246763,-0.0020738944297371553,65536
llama32_3b,3,64,1024,bf16,12.26845932006836,0.0,-0.49063251361213045,-0.007176812857257925,65536
llama32_3b,3,64,1024,identity,12.26845932006836,0.01830722061030237,-0.49063251361213045,0.011130407753044445,65536
llama32_3b,3,64,1024,hadamard,8.230371475219727,0.007176812857257925,0.0,0.0,65536
llama32_3b,3,64,1024,nar,6.948486804962158,0.005285988595748039,0.15575052403370965,-0.001890824261509886,65536
llama32_3b,3,64,2048,bf16,12.206111907958984,0.0,-0.4754445630268627,-0.007266907006506407,65536
llama32_3b,3,64,2048,identity,12.206111907958984,0.018137665800962773,-0.4754445630268627,0.010870758794456366,65536
llama32_3b,3,64,2048,hadamard,8.272836685180664,0.007266907006506407,0.0,0.0,65536
llama32_3b,3,64,2048,nar,6.981875419616699,0.005337086087445088,0.15604819902664047,-0.0019298209190613189,65536
llama32_3b,4,32,0,bf16,9.044833183288574,0.0,-0.21251712817822152,-0.0057769466573202866,65536
llama32_3b,4,32,0,identity,9.044833183288574,0.009793457703049761,-0.21251712817822152,0.004016511045729474,65536
llama32_3b,4,32,0,hadamard,7.459550857543945,0.0057769466573202866,0.0,0.0,65536
llama32_3b,4,32,0,nar,5.914989471435547,0.0036995666973364655,0.20705822851872677,-0.002077379959983821,65536
llama32_3b,4,32,512,bf16,8.944332122802734,0.0,-0.1762699492685007,-0.005992830545879168,65536
llama32_3b,4,32,512,identity,8.944332122802734,0.009688452639190659,-0.1762699492685007,0.0036956220933114913,65536
llama32_3b,4,32,512,hadamard,7.603979110717773,0.005992830545879168,0.0,0.0,65536
llama32_3b,4,32,512,nar,5.884671688079834,0.003650696952127298,0.22610627904205885,-0.0023421335937518694,65536
llama32_3b,4,32,1024,bf16,8.956457138061523,0.0,-0.18106359692007537,-0.005949435604042111,65536
llama32_3b,4,32,1024,identity,8.956457138061523,0.009688037731330562,-0.18106359692007537,0.003738602127288451,65536
llama32_3b,4,32,1024,hadamard,7.583382606506348,0.005949435604042111,0.0,0.0,65536
llama32_3b,4,32,1024,nar,5.801461219787598,0.0035395016600351156,0.23497711762425216,-0.0024099339440069954,65536
llama32_3b,4,32,2048,bf16,9.013994216918945,0.0,-0.22034946520466983,-0.005614801963523061,65536
llama32_3b,4,32,2048,identity,9.013994216918945,0.009765161115936121,-0.22034946520466983,0.004150359152413061,65536
llama32_3b,4,32,2048,hadamard,7.386404037475586,0.005614801963523061,0.0,0.0,65536
llama32_3b,4,32,2048,nar,5.887178897857666,0.0036380515139471563,0.20297090871437118,-0.0019767504495759045,65536
llama32_3b,4,64,0,bf16,12.443685531616211,0.0,-0.4987986660293859,-0.007315349634368975,65536
llama32_3b,4,64,0,identity,12.443685531616211,0.017641635227054798,-0.4987986660293859,0.010326285592685822,65536
llama32_3b,4,64,0,hadamard,8.30243968963623,0.007315349634368975,0.0,0.0,65536
llama32_3b,4,64,0,nar,7.27304220199585,0.005689113424079669,0.12398734903492972,-0.0016262362102893065,65536
llama32_3b,4,64,512,bf16,12.31280517578125,0.0,-0.47456481139695267,-0.0074417234355461225,65536
llama32_3b,4,64,512,identity,12.31280517578125,0.017149659480493414,-0.47456481139695267,0.009707936044947291,65536
llama32_3b,4,64,512,hadamard,8.350128173828125,0.0074417234355461225,0.0,0.0,65536
llama32_3b,4,64,512,nar,7.1906609535217285,0.0055659625767054376,0.13885621827225647,-0.001875760858840685,65536
llama32_3b,4,64,1024,bf16,12.436553955078125,0.0,-0.5103549533441346,-0.007176165908630608,65536
llama32_3b,4,64,1024,identity,12.436553955078125,0.017774721700496574,-0.5103549533441346,0.010598555791865966,65536
llama32_3b,4,64,1024,hadamard,8.234192848205566,0.007176165908630608,0.0,0.0,65536
llama32_3b,4,64,1024,nar,7.048803329467773,0.005379788718837232,0.14395940690120204,-0.0017963771897933764,65536
llama32_3b,4,64,2048,bf16,12.533681869506836,0.0,-0.4920044338326314,-0.007478219581866146,65536
llama32_3b,4,64,2048,identity,12.533681869506836,0.017977956314498524,-0.4920044338326314,0.010499736732632377,65536
llama32_3b,4,64,2048,hadamard,8.400566101074219,0.007478219581866146,0.0,0.0,65536
llama32_3b,4,64,2048,nar,7.194812774658203,0.005587632141449894,0.14353238959239073,-0.001890587440416252,65536
llama32_3b,5,32,0,bf16,8.878171920776367,0.0,-0.16624023042590005,-0.00614745134126306,65536
llama32_3b,5,32,0,identity,8.878171920776367,0.009834450228837133,-0.16624023042590005,0.0036869988875740728,65536
llama32_3b,5,32,0,hadamard,7.612644195556641,0.00614745134126306,0.0,0.0,65536
llama32_3b,5,32,0,nar,6.072401523590088,0.003954541944341857,0.20232689620060842,-0.002192909396921203,65536
llama32_3b,5,32,512,bf16,8.828559875488281,0.0,-0.19612847524828209,-0.005771212974997402,65536
llama32_3b,5,32,512,identity,8.828559875488281,0.0097478101298898,-0.19612847524828209,0.003976597154892398,65536
llama32_3b,5,32,512,hadamard,7.380946159362793,0.005771212974997402,0.0,0.0,65536
llama32_3b,5,32,512,nar,5.951552391052246,0.003798142161960912,0.19365996410871372,-0.0019730708130364896,65536
llama32_3b,5,32,1024,bf16,8.805850982666016,0.0,-0.17093803463431725,-0.006003396965971394,65536
llama32_3b,5,32,1024,identity,8.805850982666016,0.009721871451381214,-0.17093803463431725,0.0037184744854098194,65536
llama32_3b,5,32,1024,hadamard,7.520339012145996,0.006003396965971394,0.0,0.0,65536
llama32_3b,5,32,1024,nar,5.964949607849121,0.003802067634912497,0.20682437344709953,-0.0022013293310588974,65536
llama32_3b,5,32,2048,bf16,8.807426452636719,0.0,-0.17069754906969203,-0.006021396454355017,65536
llama32_3b,5,32,2048,identity,8.807426452636719,0.009722587729218923,-0.17069754906969203,0.0037011912748639055,65536
llama32_3b,5,32,2048,hadamard,7.523229598999023,0.006021396454355017,0.0,0.0,65536
llama32_3b,5,32,2048,nar,6.035492897033691,0.0038902341781699512,0.19775239907117517,-0.002131162276185066,65536
llama32_3b,5,64,0,bf16,11.950386047363281,0.0,-0.40022500345282414,-0.007913015382116103,65536
llama32_3b,5,64,0,identity,11.950386047363281,0.01677867776822284,-0.40022500345282414,0.008865662386106735,65536
llama32_3b,5,64,0,hadamard,8.534618377685547,0.007913015382116103,0.0,0.0,65536
llama32_3b,5,64,0,nar,7.272665023803711,0.005792230714517492,0.1478628918173208,-0.0021207846675986115,65536
llama32_3b,5,64,512,bf16,11.993657112121582,0.0,-0.41521814061345325,-0.007807906122121839,65536
