model,row,seed,site,layer,group,group_class,observations,mean_range,scope
llama32_3b,Q1_asym,0,down,1,15,anchor,131072,0.06385395169102992,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,16,anchor,131072,0.06246130981143949,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,17,anchor,131072,0.06268591674894708,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,18,anchor,131072,0.0639443231876129,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,19,anchor,131072,0.062419628587214504,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,20,anchor,131072,0.06434096168206338,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,21,anchor,131072,0.06249065197867765,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,22,anchor,131072,0.06355560279157402,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,23,anchor,131072,0.06501527716496014,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,24,anchor,131072,0.06099837270827635,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,25,anchor,131072,0.06223436931202997,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,26,anchor,131072,0.06395444791741056,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,27,anchor,131072,0.06345418783026702,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,28,anchor,131072,0.062828192385318,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,29,anchor,131072,0.06130192809614954,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,30,anchor,131072,0.06378859503261936,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,31,anchor,131072,0.0619653935802873,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,32,anchor,131072,0.06367923301193201,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,33,anchor,131072,0.0630277361333782,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,34,anchor,131072,0.06486018959552808,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,35,anchor,131072,0.06265193983333717,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,36,anchor,131072,0.06384548373524268,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,37,anchor,131072,0.06311406525965424,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,38,anchor,131072,0.06479594440558145,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,39,anchor,131072,0.0638338349856582,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,40,anchor,131072,0.06297541741035673,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,41,anchor,131072,0.06332268362803006,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,42,anchor,131072,0.06305632385209492,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,43,anchor,131072,0.06304157191857485,actual_quantized_forward
