model,method,site,layer,k,anchor_error,selected_numerical_rank,null_completion_directions,permutation_identical_to_A,factor_sha256
llama32_3b,B_top1_no_bos,down,23,64,4.76837158203125e-07,128,0,True,931969d73cc9858a444207ac31dbe6ad1c3067afbc078560a3b8d67486221617
llama32_3b,C_top1pct,down,23,64,8.940696716308594e-07,-1,0,True,91dc69000b11ea8cfee9232bb45edcd28f0cafe420a6aab3615f300601a18f77
llama32_3b,C_top1pct_no_bos,down,23,64,8.344650268554688e-07,-1,0,True,ef1797a4f24dec0ffb0211bd9956f8eb084ea0de2449a4eb90e4f64f4f58d47d
llama32_3b,B_top1,down,24,64,3.5762786865234375e-07,128,0,True,e4ea0f7f5133070c9812a8bdf60e2d8dbd1448e87474d6e9b0d72fdc0d6b5923
llama32_3b,B_top1_no_bos,down,24,64,3.5762786865234375e-07,128,0,True,2f9a4690b397207cd9bb7afc7fc43006a289ae807e0ac87deb1fb511c0f5629f
llama32_3b,C_top1pct,down,24,64,7.152557373046875e-07,-1,0,True,72dfebc04925afbec2cad15b554b590b4410dd954d4f9b0b0989e13fa0f1319b
llama32_3b,C_top1pct_no_bos,down,24,64,3.5762786865234375e-07,-1,0,True,6ae2c5cd09cd77a647665348c1124da8892f124b96b6bbc096048089b318c4f0
llama32_3b,B_top1,down,25,64,2.384185791015625e-07,128,0,True,a208ee2384ee98afd7391154049ff84395b436b23f6a5ecd962bc09d190590e6
llama32_3b,B_top1_no_bos,down,25,64,2.384185791015625e-07,128,0,True,a462db16098b2b1054cf8d105db29d30b17eeea0b654e86b1b7c54dd5b24aedc
llama32_3b,C_top1pct,down,25,64,5.364418029785156e-07,-1,0,True,a911c0d0fc4019672b6ad4a70763463f06c69fd777c26f03040818afe42faa74
llama32_3b,C_top1pct_no_bos,down,25,64,4.172325134277344e-07,-1,0,True,2df7228d6fbd79d05f018b4f5ccb7b5ccb1bce559abcb03548caeaa35e132d6c
llama32_3b,B_top1,down,26,64,2.384185791015625e-07,1,63,True,9cb3ecda16e804218c0ef9d6f2cc85f8acecfd100609426cd32e9b6004d380a8
llama32_3b,B_top1_no_bos,down,26,64,3.5762786865234375e-07,128,0,True,d1d5b0a8ea93508295083b9a0e2f379f68d206c74b988a2de9cc13b42dba5544
llama32_3b,C_top1pct,down,26,64,5.364418029785156e-07,-1,0,True,421b421c2802d3d9c6bb7d6f09ceecef6b2f425d8860a803fca075ae4b290d12
llama32_3b,C_top1pct_no_bos,down,26,64,3.5762786865234375e-07,-1,0,True,6d7aa70350ec61d4022b496c37c645c1401cbe599283926cd647eea1aa77450c
llama32_3b,B_top1,down,27,64,3.5762786865234375e-07,4,60,True,5b9f16f58b4e5ca760dfd9c8440386d0fb86312697fa9f8c4315b1bed0dfa472
llama32_3b,B_top1_no_bos,down,27,64,3.5762786865234375e-07,128,0,True,0db1b87c29345fc00db05bde9b26a63962f5f9ed5246d8d2ae3d6b0c24dbc882
llama32_3b,C_top1pct,down,27,64,8.940696716308594e-07,-1,0,True,ae9c6a01f992a7c7ece00ffe8cfb95a4dc97665efae54c194cfb0744fb419de9
llama32_3b,C_top1pct_no_bos,down,27,64,4.172325134277344e-07,-1,0,True,4fd0bb20d8ff63dc5f5142615bc01e20221d9d833b59fd5047ba3452fd3da1d1
llama32_3b,B_top1,qkv,0,24,2.384185791015625e-07,1,23,True,6670ebca0d519e6e0d10a6a3e770f2aaecbbc92674c77ebc949038463e0b0444
llama32_3b,B_top1_no_bos,qkv,0,24,2.980232238769531e-07,4,20,True,3e1cdf330866e4ef59298b175efbc3afae80806bbec5ffcd8c8ee35e93f40b6e
llama32_3b,C_top1pct,qkv,0,24,2.980232238769531e-07,-1,0,True,265fd3ab70e9040d9ee46974ba3cbf9cfeb275cdb0f718c43ab8cbb045061936
llama32_3b,C_top1pct_no_bos,qkv,0,24,2.384185791015625e-07,-1,0,True,88a4400947d161830f0dd835b1a9daa8cf9c0c093329f5f2f6bfbef076e410dc
llama32_3b,B_top1,qkv,1,24,1.7881393432617188e-07,128,0,True,8adb880f1db153f7c7ac1f4437da5833c6170548e06e53cc42bec80a12f2e295
llama32_3b,B_top1_no_bos,qkv,1,24,1.7881393432617188e-07,128,0,True,cf90f78214588e10034018a7bf4e0e897ae0c5136bde6d536d48963e44f8320d
llama32_3b,C_top1pct,qkv,1,24,2.384185791015625e-07,-1,0,True,118cce3dad7ca9d1a4fbfdf2b0d932270db9368e8017eea8b17249c438bdf615
llama32_3b,C_top1pct_no_bos,qkv,1,24,2.384185791015625e-07,-1,0,True,4cafd02beda090c589ff4aa9122548a385e5c4ddec77ec4f91b04a7ec3b43b44
llama32_3b,B_top1,qkv,2,24,2.384185791015625e-07,128,0,True,12e6e0d8f1a6e78347eb86e4bcef54fcbac405b9f855b297f107912578c16f54
llama32_3b,B_top1_no_bos,qkv,2,24,2.384185791015625e-07,128,0,True,42a3a58d258daf86e1dc92f092e8ad3da3aaf2f21ea4f630e785e82382805c5f
llama32_3b,C_top1pct,qkv,2,24,2.384185791015625e-07,-1,0,True,aa00112acd1343f159568f376b8847be4a65b1860d92372740a19c319ac7a00f
llama32_3b,C_top1pct_no_bos,qkv,2,24,2.384185791015625e-07,-1,0,True,e4382c6a55aebb18741b6d22980d1bb237df680a54cfc5c4ac9b008ec0239431
llama32_3b,B_top1,qkv,3,24,1.7881393432617188e-07,128,0,True,1abb8db3a3187f5a3479f38c71a6e8071334f85e6aa7cc9e5bc9274672996276
llama32_3b,B_top1_no_bos,qkv,3,24,1.7881393432617188e-07,128,0,True,c2ccfd043b7170e17e02568bb179818ce89e9146b0d7fe353533ac0a52eb5347
llama32_3b,C_top1pct,qkv,3,24,2.384185791015625e-07,-1,0,True,dc18b529180e0656435cf457f4ea9b91a88d3f6c435d1927eb3f4ba4d6354c66
llama32_3b,C_top1pct_no_bos,qkv,3,24,2.384185791015625e-07,-1,0,True,8082461fe4554866f72321d2b907203385eda0781bdae6f18676a9b3099eca3f
llama32_3b,B_top1,qkv,4,24,2.384185791015625e-07,128,0,True,12fbec43cc4af303909c0200b1d5e597956d445dd3a3c14e952a2a5709962bc0
llama32_3b,B_top1_no_bos,qkv,4,24,2.384185791015625e-07,128,0,True,1b400c7641b80fa4a2132267c74b7c03af581d5c2a4ee913cd4d7bf630c3fcbf
llama32_3b,C_top1pct,qkv,4,24,2.384185791015625e-07,-1,0,True,bf3a37b58285f0c05517460e32d19a04455f5ebf18c87cef2c3a7310c5e9b52b
llama32_3b,C_top1pct_no_bos,qkv,4,24,2.384185791015625e-07,-1,0,True,73c968ee3e91c77cf23f480675eac2751fe7ef986f4da61bb900c59124bf1ab9
llama32_3b,B_top1,qkv,5,24,2.384185791015625e-07,128,0,True,4736843c2c3e3b708322a8537c9cdc28d5ea2862c8ea062b36dda9d526230b12
llama32_3b,B_top1_no_bos,qkv,5,24,2.384185791015625e-07,128,0,True,c73341e8bba62e14cafe9b0a7c57bdc46eb25ec336c033920c0784515b6145a7
llama32_3b,C_top1pct,qkv,5,24,2.384185791015625e-07,-1,0,True,14c6829eadc48f42160746a95523e17b62e47256df000eb862e4cd45e5a8ef98
llama32_3b,C_top1pct_no_bos,qkv,5,24,2.384185791015625e-07,-1,0,True,21b5a6f68c03618abb8bd619c8f82989bcfcf8363829dfb6fa04bc3ec34b71f6
llama32_3b,B_top1,qkv,6,24,1.7881393432617188e-07,128,0,True,2f43ca948e4459eb6eb7f730332bf081a01c195e0b564ca4efc7aaa74402fcab
llama32_3b,B_top1_no_bos,qkv,6,24,1.7881393432617188e-07,128,0,True,4d49b170dd33fa1fbcb86f172e8598896d28fc1840a1c00051aa68d447e67aa7
llama32_3b,C_top1pct,qkv,6,24,2.384185791015625e-07,-1,0,True,f91b8eba030af3e9e12f0eeab386bf48637b4b9e7f4c2fd1026d962ace5fef00
llama32_3b,C_top1pct_no_bos,qkv,6,24,1.7881393432617188e-07,-1,0,True,6d350c4651a397366b1c2fefbc7f66f5cc5b1430bcfcebc48d7c56285549f31f
llama32_3b,B_top1,qkv,7,24,2.384185791015625e-07,128,0,True,781d26385390a36ec944c966ad2e8ff40081a9c1a28977bfc78375de06f4bc12
llama32_3b,B_top1_no_bos,qkv,7,24,2.384185791015625e-07,128,0,True,a1edd80dcc25767bc219c0b5275fc4da6fd48c81a499f5ac3b961f06c6271605
llama32_3b,C_top1pct,qkv,7,24,1.1920928955078125e-07,-1,0,True,875bbb3fda44a9cefb550b22a1b260036de6d54a29e25c524770c1645b9513b2
llama32_3b,C_top1pct_no_bos,qkv,7,24,2.980232238769531e-07,-1,0,True,88851da88d592257aa35d8d9ce86781a96039786f3a980128e679f31b0f7832a
llama32_3b,B_top1,qkv,8,24,2.384185791015625e-07,128,0,True,8f442e816e59b898897c2101fe53db699db9d5951d2273788a8cf7853ca9dbbb
llama32_3b,B_top1_no_bos,qkv,8,24,2.384185791015625e-07,128,0,True,efb5107120b04730491bb9948b79f52232e0173b84c69e68caf6c52e6125a3c4
llama32_3b,C_top1pct,qkv,8,24,2.384185791015625e-07,-1,0,True,24fc01ebcfa5b08710381c9af4649732ef769ace31acb14c9c98670d7a37275e
llama32_3b,C_top1pct_no_bos,qkv,8,24,2.384185791015625e-07,-1,0,True,26769036f4ce83c3641202fd95308691d31e6e9a817975d643c951c39b5d9fdb
llama32_3b,B_top1,qkv,9,24,1.7881393432617188e-07,128,0,True,55f485f0da8cdb7492b36752b50316d7489664e97f9d6b52fa9a49195bf02476
llama32_3b,B_top1_no_bos,qkv,9,24,1.7881393432617188e-07,128,0,True,f4e47f2050cf4373ee9b07aa4dcb07bfb9fd7838569e33e5c1d45d4f7de708dc
llama32_3b,C_top1pct,qkv,9,24,1.7881393432617188e-07,-1,0,True,c98a7da363434397765a7d52b919d8864747adf1b85855bbaee7af5b7e9f29e0
llama32_3b,C_top1pct_no_bos,qkv,9,24,2.980232238769531e-07,-1,0,True,147c1706d60b97261dd0b4456e6c112a54ecfc9f9750bed0d93a1860e69b87a6
llama32_3b,B_top1,qkv,10,24,2.384185791015625e-07,128,0,True,a6fd9b97a3d6faff5713614a027beffbdea157205657420662b9b9363db30563
llama32_3b,B_top1_no_bos,qkv,10,24,2.384185791015625e-07,128,0,True,f1ca34d3958708a84f98fa012dac6641ff20aabd8b21952c28c22be89c40cb9c
llama32_3b,C_top1pct,qkv,10,24,2.980232238769531e-07,-1,0,True,341ad056499e2f640945ab00844aecf2893c81354a355f4c63ae35589dc25ddd
llama32_3b,C_top1pct_no_bos,qkv,10,24,2.384185791015625e-07,-1,0,True,8f5ee43ee308d78a3d95142e36b149899fae33bde80d8081223de1cf3acec428
llama32_3b,B_top1,qkv,11,24,2.384185791015625e-07,128,0,True,9d11ba00faa38d50a055f882519bbc7e928d41f7090e1be8acb349cd275cf4c6
llama32_3b,B_top1_no_bos,qkv,11,24,2.384185791015625e-07,128,0,True,ba8a5811a0db97fde6f8e6cca17bc21ed1ebe387db09e835ebda188af6dae631
llama32_3b,C_top1pct,qkv,11,24,2.384185791015625e-07,-1,0,True,309ba6d1dcf7a2a5c1bd6dbc55ff7a1f495967acedc3a211f30dacb0c1436cca
llama32_3b,C_top1pct_no_bos,qkv,11,24,2.384185791015625e-07,-1,0,True,8c790cc06ca8061919d6c5e43cfbb8be638a4372a75be3a608b8f97c99308e27
llama32_3b,B_top1,qkv,12,24,1.1920928955078125e-07,128,0,True,cb1e52d0bb5513e92debee66468cd47671c24c32bb0613cfff7b364e88dd0f61
llama32_3b,B_top1_no_bos,qkv,12,24,1.1920928955078125e-07,128,0,True,d397fd2d1c37706dfba7c2b0cf0776a738278a267e22a6ac2e6b48f20685f8e0
llama32_3b,C_top1pct,qkv,12,24,2.384185791015625e-07,-1,0,True,05156725c991d018c124d4b5efb25335e7f36eddf95f438eaab8ab10c7c8400e
llama32_3b,C_top1pct_no_bos,qkv,12,24,2.384185791015625e-07,-1,0,True,5eecbe27fd2c1873499aa145fe43c7979e282b37bae580483ea44db5e7f36b48
llama32_3b,B_top1,qkv,13,24,2.384185791015625e-07,128,0,True,294f36f5a8e920b07fb57cb6e2bbf49deaad66884a86d63a0df6980f41984b63
llama32_3b,B_top1_no_bos,qkv,13,24,2.384185791015625e-07,128,0,True,86fe5c3336f0400411f0bf6e50f85fef8e63f1eccf40bbdb224eea1ccf1404c2
llama32_3b,C_top1pct,qkv,13,24,2.980232238769531e-07,-1,0,True,69b17d04151f8362dd6e94f7edeef20d7f9fc0590b6ee5391a1d8591c80b866b
