model,row,seed,site,layer,rank,residual_group_energy_max_median,captured_fraction,ritz_residual_median,ritz_residual_max,principal_angle_max_deg
llama32_3b,S4,2,down,17,64,1.0024795594626124,0.26707027222498103,3.472085679493432e-15,6.225196007328574e-15,9.84619801707684e-06
llama32_3b,S4,2,down,18,64,1.004738530987083,0.2587405935380496,4.0951794928097195e-15,1.0502891758341741e-14,1.1099057401270736e-05
llama32_3b,S4,2,down,19,64,1.005381611672583,0.3145338590090191,4.4606648651378125e-15,1.1922419459731075e-14,1.0138000340489137e-05
llama32_3b,S4,2,down,20,64,1.0056790345581315,0.2826137067387955,4.410347490316339e-15,1.1902274022946874e-14,1.1454575462498555e-05
llama32_3b,S4,2,down,21,64,1.0028211605135489,0.287611053129163,3.8321524533552275e-15,9.580332558152203e-15,1.0138000340489137e-05
llama32_3b,S4,2,down,22,64,1.0063903094814435,0.28872446381912054,3.987991472570506e-15,3.2100002069678e-14,1.1000103948581645e-05
llama32_3b,S4,2,down,23,64,1.0061127337884124,0.32916898302083014,5.601482920686427e-15,2.0956049530955048e-14,1.1612577070626602e-05
llama32_3b,S4,2,down,24,64,1.0078969979103998,0.3815529331785146,6.938439167741234e-15,6.895619003472669e-14,1.0316186218701491e-05
llama32_3b,S4,2,down,25,64,1.1284752318732731,0.4668202165599678,8.197266938380083e-15,5.2396255906374354e-14,9.88314448090898e-06
llama32_3b,S4,2,down,26,64,1.0016378832442583,0.5204301076766027,1.1048690562979988e-14,1.9595134923924818e-13,1.0697753125226707e-05
llama32_3b,S4,2,down,27,64,1.0004759751649017,0.7204272752692478,2.1593939305525056e-14,5.570737214274248e-14,1.0173887179578492e-05
llama32_3b,S3,0,qkv,0,24,1.0000030204869106,0.5833845978686202,0.06619198421297995,0.19844224482218703,40.35373029210845
llama32_3b,S3,0,qkv,1,24,1.000914617860223,0.5956289248892815,0.09122670093851859,0.18902997197404173,48.948120891275444
llama32_3b,S3,0,qkv,2,24,1.000656288130744,0.40204010184609185,0.11018026703641404,0.1831324786334234,45.883928504202345
llama32_3b,S3,0,qkv,3,24,1.0001209749528475,0.363240058056903,0.0976156312192154,0.253035889197911,62.53018559794233
llama32_3b,S3,0,qkv,4,24,1.0000171691479292,0.40824743155303805,0.11332125450988542,0.19561851511164782,43.3545067210033
llama32_3b,S3,0,qkv,5,24,1.000090858518748,0.35396023755564543,0.14521083274288446,0.2331331703897256,86.46298621208888
llama32_3b,S3,0,qkv,6,24,1.0000675332088746,0.37773800281032577,0.12614200876592796,0.22785481948639924,86.14062037570798
llama32_3b,S3,0,qkv,7,24,1.0028687960406195,0.3659464066123243,0.14254293936040474,0.2211772205217634,50.002136984347516
llama32_3b,S3,0,qkv,8,24,1.0000508724091475,0.39097655148591726,0.10416315643559643,0.2416109799007312,66.30598458140328
llama32_3b,S3,0,qkv,9,24,1.0000701080853291,0.3943154716991775,0.07173908315349509,0.18029079551766158,30.905605133936458
llama32_3b,S3,0,qkv,10,24,1.000025575000241,0.40410294763623134,0.075726176433474,0.19343442471841082,28.829383865057444
llama32_3b,S3,0,qkv,11,24,1.0001211737177913,0.37788854256548954,0.08558391717673361,0.2022765957186893,29.722786590003885
llama32_3b,S3,0,qkv,12,24,1.0000442065036328,0.421873568421667,0.05219300939504484,0.16863138863263724,20.997538973339033
llama32_3b,S3,0,qkv,13,24,1.0000710402089874,0.4212265692090433,0.058998444820119095,0.15792039653593112,23.987625606059208
llama32_3b,S3,0,qkv,14,24,1.004223574221579,0.38657484319347113,0.07014120850165474,0.16892531483647205,25.507510086346656
llama32_3b,S3,0,qkv,15,24,1.004093442646197,0.39688447991710823,0.06421542641877634,0.14786592233224188,28.090351537514007
llama32_3b,S3,0,qkv,16,24,1.0000419775296654,0.378630813510419,0.08887556373294261,0.16914019683740084,28.392117440801858
llama32_3b,S3,0,qkv,17,24,1.0000634842269276,0.3584734995542663,0.09707831786663312,0.19831928356716763,32.755229156442745
llama32_3b,S3,0,qkv,18,24,1.0000624771629376,0.38184382310080595,0.10270117207555941,0.16914519025266922,30.39196101437735
llama32_3b,S3,0,qkv,19,24,1.0000657912969553,0.3606303988879489,0.11573655460067014,0.26151231757638077,44.29798450035813
llama32_3b,S3,0,qkv,20,24,1.0000616106633875,0.3665125200477114,0.09362154036916756,0.19388344834611093,61.90646847282724
llama32_3b,S3,0,qkv,21,24,1.0011675714033441,0.3743449904285149,0.11973562954934822,0.18540805326944584,32.43159134605066
llama32_3b,S3,0,qkv,22,24,1.0004514743052488,0.36544919815873905,0.09929143688527642,0.1945422172538402,38.21287315690555
llama32_3b,S3,0,qkv,23,24,1.0000498919527925,0.3826848391299351,0.09005584771994105,0.19200644660809185,65.04279208803958
llama32_3b,S3,0,qkv,24,24,1.0000276971638686,0.3682064363823733,0.10531132113382477,0.21827033093528375,47.597294390157806
llama32_3b,S3,0,qkv,25,24,1.0001043004159584,0.3464974611194282,0.13438575110308024,0.22318763907768524,52.54180180445975
