model,site,layer,n,b,k,dc_slots,mean_group_range,relative_quantization_error_nmse,range_reduction_vs_k0,range_reduction_vs_hadamard,range_reduction_vs_identity,nmse_delta_vs_hadamard,absorbed_energy_fraction,sqrt_one_minus_absorbed_energy_fraction,normalized_range_vs_k0,evaluation_tokens,anchor_mapping_max_abs_error
llama32_3b,q_input,1,3072,128,7,24,0.7708648443222046,0.0046540246851858496,0.22877489977416576,0.3288026571865999,0.6454298909994939,-0.005238501829150426,0.4438236401114117,0.7457723244319195,0.7712251002258342,8192,1.7881393432617188e-07
llama32_3b,q_input,1,3072,128,8,24,0.7622667551040649,0.00455261913666682,0.23737700722250954,0.3362890728390897,0.6493847028627232,-0.005339907377669455,0.4572774241631692,0.7366970719616244,0.7626229927774905,8192,1.7881393432617188e-07
llama32_3b,q_input,1,3072,128,9,24,0.7536711692810059,0.00446241678772987,0.24597661010583635,0.3437733087681968,0.6533383632542346,-0.005430109726606405,0.47031006609224535,0.7277980035062989,0.7540233898941636,8192,1.7881393432617188e-07
llama32_3b,q_input,1,3072,128,10,24,0.7448800802230835,0.0043650143096208875,0.2547718075904898,0.3514277707138594,0.657381948103718,-0.005527512204715388,0.48296553421561833,0.7190510870476323,0.7452281924095102,8192,1.7881393432617188e-07
llama32_3b,q_input,1,3072,128,11,24,0.7381552457809448,0.004285322967640052,0.2614997848161223,0.357283130497963,0.6604751301300121,-0.005607203546696224,0.49470076904467114,0.7108440271644186,0.7385002151838778,8192,1.7881393432617188e-07
llama32_3b,q_input,1,3072,128,12,24,0.7313961982727051,0.004218253198709058,0.26826199109698695,0.3631682798349638,0.6635840489364514,-0.005674273315627218,0.5047426438952798,0.7037452352270104,0.731738008903013,8192,1.7881393432617188e-07
llama32_3b,q_input,1,3072,128,13,24,0.7244952917098999,0.004141880314575013,0.27516612272881424,0.36917694683031893,0.6667582178069069,-0.005750646199761262,0.5144097445234115,0.6968430637357227,0.7248338772711858,8192,1.7881393432617188e-07
llama32_3b,q_input,1,3072,128,14,24,0.7181143760681152,0.004076311418402404,0.281550020427113,0.374732854140177,0.6696932095519514,-0.0058162150959338715,0.5233420883252051,0.6904041654529576,0.718449979572887,8192,1.7881393432617188e-07
llama32_3b,q_input,1,3072,128,15,24,0.7112873792648315,0.004004192716429124,0.28838020775843876,0.38067716739756596,0.6728333825907346,-0.005888333797907152,0.5319864178877609,0.6841151819045087,0.7116197922415612,8192,1.7881393432617188e-07
llama32_3b,q_input,1,3072,128,16,24,0.7057964205741882,0.00394636036394293,0.2938737325931986,0.38545818304486595,0.6753590261400529,-0.0059461661503933455,0.5405045562595796,0.677860932448847,0.7061262674068014,8192,1.7881393432617188e-07
