model,seed,site,layer,column,selected_directions,group_count,other_groups,changed_target_coordinates,unchanged_G,unchanged_source_order,unchanged_D,original_target_sha256,new_target_sha256,D_sha256,column_sign_transitions,column_crest_factor
llama32_3b,1,qkv,0,0,24,24,0,0,True,True,True,5abf485a3546fed9ee3f54f4b4ce98c90807fc9150a6d5a790c102da8bd54208,5abf485a3546fed9ee3f54f4b4ce98c90807fc9150a6d5a790c102da8bd54208,7e28972324a433a39b3179124ab4a5ef7002ea33bb524f7d26abee9623254197,0,1.0
llama32_3b,1,qkv,1,0,24,24,0,0,True,True,True,3f3bb807eddb3a71734ae1a3e9a1b6ef3cae0e471ca72ca7b69c1f02d3e45e84,3f3bb807eddb3a71734ae1a3e9a1b6ef3cae0e471ca72ca7b69c1f02d3e45e84,0191a949c50636d52b79bf4b531ed2d1062e55168b488ef0994fd40b407dcae5,0,1.0
llama32_3b,1,qkv,2,0,24,24,0,0,True,True,True,e6eb0f6df3063b70071f86ac393592080b01731ede2abb5cd0c035619cfbcdc1,e6eb0f6df3063b70071f86ac393592080b01731ede2abb5cd0c035619cfbcdc1,379f3c42ea55c1a8fb7d582e005e6333ac42228963b55160b89b79f5dcd27224,0,1.0
llama32_3b,1,qkv,3,0,24,24,0,0,True,True,True,a52068676fe0aa410d95d70352cab474cf35c25f990cf190efe3286b55e34cce,a52068676fe0aa410d95d70352cab474cf35c25f990cf190efe3286b55e34cce,7000c85b168dc67635a10703158c8dd53cdb9bfb280431cf94de90a376880ad3,0,1.0
llama32_3b,1,qkv,4,0,24,24,0,0,True,True,True,5fa9a2bbd99d0ac2c58a9b492f5ee37af6b03ec5beb81035d06de117027f2777,5fa9a2bbd99d0ac2c58a9b492f5ee37af6b03ec5beb81035d06de117027f2777,3a6233906323a5ad2b96d24898a56efda2b464784058e947e33933c3599ec0b0,0,1.0
llama32_3b,1,qkv,5,0,24,24,0,0,True,True,True,49fedc3099b2c671de3c5bf8eade244cf0b4d05e6937acfa17766975b7ed09c0,49fedc3099b2c671de3c5bf8eade244cf0b4d05e6937acfa17766975b7ed09c0,a5e47311264bf72a3e9238fd89c44a1c4f7a5108a3cd22845001fc56fc198256,0,1.0
llama32_3b,1,qkv,6,0,24,24,0,0,True,True,True,5b776b57f22e1bb20fd28891def2faa41c887fe3006ed4fadd27167f1265ae99,5b776b57f22e1bb20fd28891def2faa41c887fe3006ed4fadd27167f1265ae99,81aeee2a3a593f4fa2579015e124198ef9764f712cce19d31684b75891a78954,0,1.0
llama32_3b,1,qkv,7,0,24,24,0,0,True,True,True,83a949526d2097c9ee3dbed36912319f5d1d03ab11400e1bb3cfb1f87bc0a55d,83a949526d2097c9ee3dbed36912319f5d1d03ab11400e1bb3cfb1f87bc0a55d,ac0b40569256576faa53996ddd0227c58f55317194a9a67ede8608e5d7e34164,0,1.0
llama32_3b,1,qkv,8,0,24,24,0,0,True,True,True,9742951d2db7462c3f8d5e8643b71e7197a36a97bc36704fdb4f81fb4fd1eb47,9742951d2db7462c3f8d5e8643b71e7197a36a97bc36704fdb4f81fb4fd1eb47,893245b8056405a1cdc51c0a638a7f1e489a1a0d95179f541a7055453c6b6ed6,0,1.0
llama32_3b,1,qkv,9,0,24,24,0,0,True,True,True,7311b7629693e269563b6c521f1fca2b4b69a4c3c8aaede14aed9d4d8063fa47,7311b7629693e269563b6c521f1fca2b4b69a4c3c8aaede14aed9d4d8063fa47,c246ac8c5d7f3b3030e0098262d5e936e6967f579d6f97d25725e717058ffc2a,0,1.0
llama32_3b,1,qkv,10,0,24,24,0,0,True,True,True,8b6093dd48a30240bf3427638697e2b4e1d8f2ec54efa3feba2931a0c7bdab0d,8b6093dd48a30240bf3427638697e2b4e1d8f2ec54efa3feba2931a0c7bdab0d,296c6f33c7a70707320c33f548aab89a36c144d2edb7405b441429497d1d7d52,0,1.0
llama32_3b,1,qkv,11,0,24,24,0,0,True,True,True,0a58191b54036a0f183912dbdb1f5ac063157d8e5f159a0040ae10fb2280de99,0a58191b54036a0f183912dbdb1f5ac063157d8e5f159a0040ae10fb2280de99,11c18d36565ebd3afc47801f81c0702cb5356ebfbc337328903f71d1859ab165,0,1.0
llama32_3b,1,qkv,12,0,24,24,0,0,True,True,True,05492b64def7df3a25f4f14ebf1f0837cfd28c9dd9a72fd734a1a3bd3b2e3cf4,05492b64def7df3a25f4f14ebf1f0837cfd28c9dd9a72fd734a1a3bd3b2e3cf4,ab67404e9169fad4ad2fcaf810166e1596071eb4788adc8f4b4db35f1372661b,0,1.0
llama32_3b,1,qkv,13,0,24,24,0,0,True,True,True,6f176dad87fe384469556a432118d94eaa4ca8998988645df69d82b0ddf3f686,6f176dad87fe384469556a432118d94eaa4ca8998988645df69d82b0ddf3f686,8507d103980ddab60a32ec6f0262e7f4b157413de4f146f35e81ddbd97e6aed5,0,1.0
llama32_3b,1,qkv,14,0,24,24,0,0,True,True,True,fe96fbfd36e28c7a72a256e0d564bec26cab0e034b296a73c1ee02f4c6ddfc10,fe96fbfd36e28c7a72a256e0d564bec26cab0e034b296a73c1ee02f4c6ddfc10,26d52347ddc8359b0899f2a109e8dafffbaa028b27fb25de5cf384be039f689d,0,1.0
