model,layer,b,hadamard_range,nar_cal_a_range,nar_disjoint_cal_b_range,reduction_cal_a_vs_hadamard,reduction_disjoint_cal_b_vs_hadamard,reduction_degradation_fraction_points,retained_fraction_of_cal_a_reduction
llama32_3b,24,32,7.75471830368042,6.154639720916748,6.162608623504639,0.2063361324168627,0.20530851255037333,0.0010276198664893599,0.9950196804871129
llama32_3b,24,64,8.709209442138672,7.636490345001221,7.640072822570801,0.12317066253421384,0.12275931893369753,0.0004113436005163118,0.9966603768133336
llama32_3b,24,128,9.494035720825195,8.99822998046875,8.9563570022583,0.05222286443149713,0.056633315312633034,-0.004410450881135904,1.0844544038161918
llama32_3b,25,32,7.626969814300537,5.924215316772461,5.920605659484863,0.22325439053599222,0.22372766594883436,-0.0004732754128421446,1.0021198929692083
llama32_3b,25,64,8.526002883911133,7.387781143188477,7.355063438415527,0.13350004172183905,0.13733744422080943,-0.0038374024989703825,1.0287445790239227
llama32_3b,25,128,9.51922607421875,8.539491653442383,8.457294464111328,0.10292164648025494,0.11155650699204299,-0.00863486051178805,1.0838974191249904
llama32_3b,26,32,7.509608268737793,6.060256004333496,6.053281307220459,0.19299971616867073,0.19392848593447495,-0.0009287697658042215,1.0048122856563817
llama32_3b,26,64,8.401570320129395,7.371102333068848,7.371264457702637,0.12265183147865105,0.12263253453443568,1.9296944215374534e-05,0.9998426689272982
llama32_3b,26,128,9.279436111450195,8.58834457397461,8.68459415435791,0.07447559627279784,0.06410324398465231,0.010372352288145537,0.8607281739624818
llama32_3b,27,32,7.6374430656433105,5.971762657165527,5.978854179382324,0.21809398697461596,0.21716546650567817,0.0009285204689377935,0.9957425673132113
llama32_3b,27,64,8.547249794006348,7.464430332183838,7.476436614990234,0.12668630119852392,0.12528160575896677,0.001404695439557152,0.9889120179035307
llama32_3b,27,128,9.404943466186523,8.852367401123047,8.72552490234375,0.05875378911634572,0.0722405792533978,-0.013486790137052083,1.2295475805031946
