model,site,layer,method,nar_group_size,fp4_block_size,scale_rule,layer_global_nmse,transformed_pearson_kurtosis,blocks
llama32_3b,q_input,19,identity,,16,mse_optimal,0.007040503522642664,23.284793853759766,393216
llama32_3b,q_input,19,hadamard_b16,,16,absmax,0.009510609141034193,4.17354679107666,393216
llama32_3b,q_input,19,hadamard_b16,,16,mse_optimal,0.006591949067226006,4.17354679107666,393216
llama32_3b,q_input,19,nar_b128,128,16,absmax,0.009366008942263878,3.5330076217651367,393216
llama32_3b,q_input,19,nar_b128,128,16,mse_optimal,0.006594286259437483,3.5330076217651367,393216
llama32_3b,q_input,19,nar_b16,16,16,absmax,0.010178759765346965,9.716858863830566,393216
llama32_3b,q_input,19,nar_b16,16,16,mse_optimal,0.0064028495874966194,9.716858863830566,393216
llama32_3b,q_input,20,identity,,16,absmax,0.008400966444641854,24.39478874206543,393216
llama32_3b,q_input,20,identity,,16,mse_optimal,0.007060110359943589,24.39478874206543,393216
llama32_3b,q_input,20,hadamard_b16,,16,absmax,0.009516130948435866,4.2500152587890625,393216
llama32_3b,q_input,20,hadamard_b16,,16,mse_optimal,0.006581999679876437,4.2500152587890625,393216
llama32_3b,q_input,20,nar_b128,128,16,absmax,0.009368562316488927,3.508235454559326,393216
llama32_3b,q_input,20,nar_b128,128,16,mse_optimal,0.006592160505251836,3.508235454559326,393216
llama32_3b,q_input,20,nar_b16,16,16,absmax,0.010163451202593763,9.485875129699707,393216
llama32_3b,q_input,20,nar_b16,16,16,mse_optimal,0.0064239121813711815,9.485875129699707,393216
llama32_3b,q_input,21,identity,,16,absmax,0.00839273285863852,24.354372024536133,393216
llama32_3b,q_input,21,identity,,16,mse_optimal,0.007073348049652851,24.354372024536133,393216
llama32_3b,q_input,21,hadamard_b16,,16,absmax,0.009535215460969757,4.2355756759643555,393216
llama32_3b,q_input,21,hadamard_b16,,16,mse_optimal,0.006587893618949584,4.2355756759643555,393216
llama32_3b,q_input,21,nar_b128,128,16,absmax,0.009405759606306173,3.581226348876953,393216
llama32_3b,q_input,21,nar_b128,128,16,mse_optimal,0.0065973984112701394,3.581226348876953,393216
llama32_3b,q_input,21,nar_b16,16,16,absmax,0.010225927654829242,10.35737133026123,393216
llama32_3b,q_input,21,nar_b16,16,16,mse_optimal,0.006380837697274537,10.35737133026123,393216
llama32_3b,q_input,22,identity,,16,absmax,0.008400108471713272,19.28900718688965,393216
llama32_3b,q_input,22,identity,,16,mse_optimal,0.006987262532207324,19.28900718688965,393216
