model,row,site,layer,group,m,slots,effective_bits,rows_used,mean_group_range,hadamard_reference_range,range_ratio_vs_hadamard,measured_range_reduction,absorbed_energy_fraction,sqrt_one_minus_f,predicted_range_reduction
llama32_3b,hadamard_g64_m1,qkv,16,64,1,0,4.5,4096,2.1916348934173584,2.1916348934173584,1.0,0.0,0.0028750314377248287,0.9985614495674641,0.0014385504325359344
llama32_3b,hadamard_g128_m1,qkv,16,128,1,0,4.25,4096,2.4248390197753906,2.4248390197753906,1.0,0.0,0.0011699874885380268,0.9994148350467197,0.0005851649532803149
llama32_3b,hadamard_g256_m1,qkv,16,256,1,0,4.125,4096,2.639673948287964,2.639673948287964,1.0,0.0,0.0004780010785907507,0.9997609708932477,0.0002390291067523309
llama32_3b,hadamard_g256_m2,qkv,16,256,2,0,4.1875,4096,2.6359541416168213,2.639673948287964,0.9985908082801078,0.0014091917198922107,0.001169987372122705,0.9994148351049614,0.0005851648950385702
llama32_3b,hadamard_g256_m3,qkv,16,256,3,0,4.25,4096,2.630831241607666,2.639673948287964,0.9966500761633712,0.0033499238366287783,0.0025343787856400013,0.9987320067036802,0.0012679932963197693
llama32_3b,nar_g64_m1,qkv,16,64,1,48,4.5,4096,1.5810351371765137,2.1916348934173584,0.7213953117488686,0.2786046882511314,0.46517688035964966,0.7313160189961316,0.26868398100386837
llama32_3b,nar_g128_m1,qkv,16,128,1,24,4.25,4096,1.8387737274169922,2.4248390197753906,0.7583075463654141,0.24169245363458594,0.3807705044746399,0.7869113644657574,0.21308863553424262
llama32_3b,nar_g256_m1,qkv,16,256,1,12,4.125,4096,2.0774190425872803,2.639673948287964,0.7869983502828635,0.2130016497171365,0.294216126203537,0.8401094415589334,0.1598905584410666
llama32_3b,nar_g256_m2,qkv,16,256,2,24,4.1875,4096,2.0022518634796143,2.639673948287964,0.7585224170501179,0.2414775829498821,0.3807705044746399,0.7869113644657574,0.21308863553424262
llama32_3b,nar_g256_m3,qkv,16,256,3,36,4.25,4096,1.9413765668869019,2.639673948287964,0.7354607443642944,0.26453925563570563,0.43223074078559875,0.753504651090092,0.24649534890990799
llama32_3b,nar_g128_m2,qkv,16,128,2,48,4.375,4096,1.747383952140808,2.4248390197753906,0.72061853916499,0.2793814608350101,0.46517688035964966,0.7313160189961316,0.26868398100386837
llama32_3b,nar_g128_m2_c32,qkv,16,128,2,48,4.375,4096,1.747383952140808,2.4248390197753906,0.72061853916499,0.2793814608350101,0.46517688035964966,0.7313160189961316,0.26868398100386837
llama32_3b,nar_g256_m3_c32,qkv,16,256,3,36,4.25,4096,1.9413765668869019,2.639673948287964,0.7354607443642944,0.26453925563570563,0.43223074078559875,0.753504651090092,0.24649534890990799
llama32_3b,hadamard_g64_m1,qkv,20,64,1,0,4.5,4096,2.274894952774048,2.274894952774048,1.0,0.0,0.0024259707424789667,0.9987862780682968,0.0012137219317032155
llama32_3b,hadamard_g128_m1,qkv,20,128,1,0,4.25,4096,2.5157461166381836,2.5157461166381836,1.0,0.0,0.000985624035820365,0.9995070664903674,0.0004929335096326426
llama32_3b,hadamard_g256_m1,qkv,20,256,1,0,4.125,4096,2.736341953277588,2.736341953277588,1.0,0.0,0.00042020092951133847,0.9997898774595033,0.00021012254049668222
llama32_3b,hadamard_g256_m2,qkv,20,256,2,0,4.1875,4096,2.7322287559509277,2.736341953277588,0.9984968262750445,0.0015031737249554546,0.0009856242686510086,0.9995070663738946,0.000492933626105363
llama32_3b,hadamard_g256_m3,qkv,20,256,3,0,4.25,4096,2.7270095348358154,2.736341953277588,0.9965894546072379,0.0034105453927620773,0.0020701983012259007,0.9989643645790245,0.0010356354209755114
llama32_3b,nar_g64_m1,qkv,20,64,1,48,4.5,4096,1.6438406705856323,2.274894952774048,0.7226006935314105,0.2773993064685895,0.45381391048431396,0.7390440376024192,0.2609559623975808
llama32_3b,nar_g128_m1,qkv,20,128,1,24,4.25,4096,1.9109524488449097,2.5157461166381836,0.7595967002419681,0.2404032997580319,0.3697246015071869,0.7938988591078924,0.20610114089210763
llama32_3b,nar_g256_m1,qkv,20,256,1,12,4.125,4096,2.156826972961426,2.736341953277588,0.7882154386362349,0.21178456136376508,0.285677433013916,0.8451760567988684,0.15482394320113158
llama32_3b,nar_g256_m2,qkv,20,256,2,24,4.1875,4096,2.080509901046753,2.736341953277588,0.760325257797082,0.23967474220291798,0.3697246015071869,0.7938988591078924,0.20610114089210763
llama32_3b,nar_g256_m3,qkv,20,256,3,36,4.25,4096,2.016517400741577,2.736341953277588,0.7369391089173611,0.26306089108263886,0.4208739399909973,0.7610033245715834,0.23899667542841663
llama32_3b,nar_g128_m2,qkv,20,128,2,48,4.375,4096,1.817107915878296,2.5157461166381836,0.7222938371486051,0.2777061628513949,0.45381391048431396,0.7390440376024192,0.2609559623975808
llama32_3b,nar_g128_m2_c32,qkv,20,128,2,48,4.375,4096,1.817107915878296,2.5157461166381836,0.7222938371486051,0.2777061628513949,0.45381391048431396,0.7390440376024192,0.2609559623975808
llama32_3b,nar_g256_m3_c32,qkv,20,256,3,36,4.25,4096,2.016517400741577,2.736341953277588,0.7369391089173611,0.26306089108263886,0.4208739399909973,0.7610033245715834,0.23899667542841663
llama32_3b,hadamard_g64_m1,qkv,24,64,1,0,4.5,4096,2.417757272720337,2.417757272720337,1.0,0.0,0.0026885783299803734,0.9986548060616439,0.0013451939383560818
llama32_3b,hadamard_g128_m1,qkv,24,128,1,0,4.25,4096,2.6744704246520996,2.6744704246520996,1.0,0.0,0.001080147922039032,0.9994597801202212,0.0005402198797788138
llama32_3b,hadamard_g256_m1,qkv,24,256,1,0,4.125,4096,2.91157603263855,2.91157603263855,1.0,0.0,0.00044048464042134583,0.9997797334211065,0.0002202665788935132
llama32_3b,hadamard_g256_m2,qkv,24,256,2,0,4.1875,4096,2.9082560539245605,2.91157603263855,0.9988597314043073,0.0011402685956926916,0.001080147922039032,0.9994597801202212,0.0005402198797788138
llama32_3b,hadamard_g256_m3,qkv,24,256,3,0,4.25,4096,2.901834487915039,2.91157603263855,0.9966542021866135,0.0033457978133865484,0.002362196333706379,0.9988182035116769,0.0011817964883230614
llama32_3b,nar_g64_m1,qkv,24,64,1,48,4.5,4096,1.7476310729980469,2.417757272720337,0.7228314821825359,0.27716851781746404,0.44835203886032104,0.7427300728660978,0.2572699271339022
llama32_3b,nar_g128_m1,qkv,24,128,1,24,4.25,4096,2.0205020904541016,2.6744704246520996,0.7554774477332021,0.24452255226679784,0.37127310037612915,0.7929230098968442,0.20707699010315583
llama32_3b,nar_g256_m1,qkv,24,256,1,12,4.125,4096,2.272531270980835,2.91157603263855,0.7805158599692844,0.2194841400307156,0.30067315697669983,0.8362576415335767,0.16374235846642327
llama32_3b,nar_g256_m2,qkv,24,256,2,24,4.1875,4096,2.1983840465545654,2.91157603263855,0.7550495064909329,0.24495049350906709,0.37127310037612915,0.7929230098968442,0.20707699010315583
llama32_3b,nar_g256_m3,qkv,24,256,3,36,4.25,4096,2.143275737762451,2.91157603263855,0.7361221942125125,0.2638778057874875,0.4173259735107422,0.763330876153492,0.23666912384650796
llama32_3b,nar_g128_m2,qkv,24,128,2,48,4.375,4096,1.9308499097824097,2.6744704246520996,0.7219559775216353,0.2780440224783647,0.44835200905799866,0.7427300929287848,0.2572699070712152
llama32_3b,nar_g128_m2_c32,qkv,24,128,2,48,4.375,4096,1.9308499097824097,2.6744704246520996,0.7219559775216353,0.2780440224783647,0.44835200905799866,0.7427300929287848,0.2572699070712152
llama32_3b,nar_g256_m3_c32,qkv,24,256,3,36,4.25,4096,2.143275737762451,2.91157603263855,0.7361221942125125,0.2638778057874875,0.4173259735107422,0.763330876153492,0.23666912384650796
llama32_3b,hadamard_g64_m1,down,0,64,1,0,4.5,4096,0.06385733187198639,0.06385733187198639,1.0,0.0,0.002575082005932927,0.9987116290471775,0.0012883709528225262
