model,layer,b,position,method,mean_group_range,valid,reduction_vs_hadamard,invalid_reason
llama32_3b,3,64,1024,bf16,12.26845932006836,True,nan,
llama32_3b,3,64,1024,hadamard,8.230371475219727,True,0.0,
llama32_3b,3,64,1024,nar_rope,7.484117031097412,True,0.09067080949737955,
llama32_3b,3,64,2048,bf16,12.206111907958984,True,nan,
llama32_3b,3,64,2048,hadamard,8.272836685180664,True,0.0,
llama32_3b,3,64,2048,nar_rope,7.439178943634033,True,0.10077048215396087,
llama32_3b,3,128,0,bf16,17.16928482055664,True,nan,
llama32_3b,3,128,0,hadamard,9.41352367401123,True,0.0,
llama32_3b,3,128,0,nar_rope,nan,False,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,3,128,512,bf16,17.33211898803711,True,nan,
llama32_3b,3,128,512,hadamard,9.356154441833496,True,0.0,
llama32_3b,3,128,512,nar_rope,nan,False,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,3,128,1024,bf16,17.24439239501953,True,nan,
llama32_3b,3,128,1024,hadamard,9.371047973632812,True,0.0,
llama32_3b,3,128,1024,nar_rope,nan,False,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,3,128,2048,bf16,17.180294036865234,True,nan,
llama32_3b,3,128,2048,hadamard,9.147933006286621,True,0.0,
llama32_3b,3,128,2048,nar_rope,nan,False,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,4,32,0,bf16,9.044833183288574,True,nan,
llama32_3b,4,32,0,hadamard,7.459550857543945,True,0.0,
llama32_3b,4,32,0,nar_rope,6.583778381347656,True,0.11740284273423894,
llama32_3b,4,32,512,bf16,8.94433307647705,True,nan,
llama32_3b,4,32,512,hadamard,7.603979587554932,True,0.0,
llama32_3b,4,32,512,nar_rope,6.587944507598877,True,0.13361885947444552,
llama32_3b,4,32,1024,bf16,8.956457138061523,True,nan,
llama32_3b,4,32,1024,hadamard,7.5833821296691895,True,0.0,
llama32_3b,4,32,1024,nar_rope,6.661764621734619,True,0.12153119705373124,
llama32_3b,4,32,2048,bf16,9.013994216918945,True,nan,
llama32_3b,4,32,2048,hadamard,7.386404037475586,True,0.0,
llama32_3b,4,32,2048,nar_rope,6.553136825561523,True,0.11281094395681664,
llama32_3b,4,64,0,bf16,12.443685531616211,True,nan,
llama32_3b,4,64,0,hadamard,8.302440643310547,True,0.0,
llama32_3b,4,64,0,nar_rope,7.779871940612793,True,0.06294157647712888,
llama32_3b,4,64,512,bf16,12.31280517578125,True,nan,
llama32_3b,4,64,512,hadamard,8.350128173828125,True,0.0,
llama32_3b,4,64,512,nar_rope,7.817624092102051,True,0.06377196500948407,
llama32_3b,4,64,1024,bf16,12.436553955078125,True,nan,
llama32_3b,4,64,1024,hadamard,8.234192848205566,True,0.0,
llama32_3b,4,64,1024,nar_rope,7.799897193908691,True,0.052742953960753874,
llama32_3b,4,64,2048,bf16,12.533681869506836,True,nan,
llama32_3b,4,64,2048,hadamard,8.400566101074219,True,0.0,
llama32_3b,4,64,2048,nar_rope,7.805813789367676,True,0.07079907527071173,
llama32_3b,4,128,0,bf16,16.078311920166016,True,nan,
llama32_3b,4,128,0,hadamard,9.16082763671875,True,0.0,
llama32_3b,4,128,0,nar_rope,nan,False,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,4,128,512,bf16,15.841861724853516,True,nan,
llama32_3b,4,128,512,hadamard,8.945369720458984,True,0.0,
llama32_3b,4,128,512,nar_rope,nan,False,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,4,128,1024,bf16,16.168048858642578,True,nan,
llama32_3b,4,128,1024,hadamard,9.117242813110352,True,0.0,
llama32_3b,4,128,1024,nar_rope,nan,False,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,4,128,2048,bf16,16.187503814697266,True,nan,
llama32_3b,4,128,2048,hadamard,9.50279426574707,True,0.0,
llama32_3b,4,128,2048,nar_rope,nan,False,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,5,32,0,bf16,8.878171920776367,True,nan,
llama32_3b,5,32,0,hadamard,7.612644195556641,True,0.0,
llama32_3b,5,32,0,nar_rope,6.70933723449707,True,0.11865876531925844,
llama32_3b,5,32,512,bf16,8.828561782836914,True,nan,
llama32_3b,5,32,512,hadamard,7.380946159362793,True,0.0,
llama32_3b,5,32,512,nar_rope,6.724862098693848,True,0.08888888314632902,
llama32_3b,5,32,1024,bf16,8.805850982666016,True,nan,
llama32_3b,5,32,1024,hadamard,7.520339012145996,True,0.0,
llama32_3b,5,32,1024,nar_rope,6.758083343505859,True,0.10135921630780581,
llama32_3b,5,32,2048,bf16,8.807426452636719,True,nan,
llama32_3b,5,32,2048,hadamard,7.523229598999023,True,0.0,
llama32_3b,5,32,2048,nar_rope,6.853557586669922,True,0.08901390068145765,
llama32_3b,5,64,0,bf16,11.950386047363281,True,nan,
llama32_3b,5,64,0,hadamard,8.534618377685547,True,0.0,
llama32_3b,5,64,0,nar_rope,7.871176242828369,True,0.07773541891360967,
llama32_3b,5,64,512,bf16,11.993657112121582,True,nan,
llama32_3b,5,64,512,hadamard,8.474777221679688,True,0.0,
llama32_3b,5,64,512,nar_rope,7.89940881729126,True,0.06789186185526545,
llama32_3b,5,64,1024,bf16,11.853536605834961,True,nan,
llama32_3b,5,64,1024,hadamard,8.293790817260742,True,0.0,
llama32_3b,5,64,1024,nar_rope,7.772206783294678,True,0.0628884964014962,
llama32_3b,5,64,2048,bf16,11.980498313903809,True,nan,
llama32_3b,5,64,2048,hadamard,8.371809005737305,True,0.0,
llama32_3b,5,64,2048,nar_rope,7.902695655822754,True,0.0560348844070692,
