model,row,site,layer,direction,captured_share,energy_fraction
llama32_3b,hadamard_g256_m2,qkv,2,6,0.0027794805355370045,0.012074757367372513
llama32_3b,hadamard_g256_m2,qkv,2,7,0.0024377182126045227,0.01174827478826046
llama32_3b,hadamard_g256_m2,qkv,2,8,0.0027704029344022274,0.010498165152966976
llama32_3b,hadamard_g256_m2,qkv,2,9,0.0014718861784785986,0.009936905466020107
llama32_3b,hadamard_g256_m2,qkv,2,10,0.0011265701614320278,0.00906574260443449
llama32_3b,hadamard_g256_m2,qkv,2,11,0.005846977233886719,0.008733931928873062
llama32_3b,hadamard_g256_m2,qkv,2,12,0.0011640805751085281,0.008168238215148449
llama32_3b,hadamard_g256_m2,qkv,2,13,0.001154174329712987,0.008136612363159657
llama32_3b,hadamard_g256_m2,qkv,2,14,0.0014425180852413177,0.007893349975347519
llama32_3b,hadamard_g256_m2,qkv,2,15,0.0011433515464887023,0.007618867326527834
llama32_3b,hadamard_g256_m2,qkv,2,16,0.008291680365800858,0.0074348547495901585
llama32_3b,hadamard_g256_m2,qkv,2,17,0.003847072832286358,0.00733467610552907
llama32_3b,hadamard_g256_m2,qkv,2,18,0.001148289768025279,0.006985376123338938
llama32_3b,hadamard_g256_m2,qkv,2,19,0.004579426720738411,0.0068730260245501995
llama32_3b,hadamard_g256_m2,qkv,2,20,0.0017475772183388472,0.006472185254096985
llama32_3b,hadamard_g256_m2,qkv,2,21,0.0025231761392205954,0.006435159593820572
llama32_3b,hadamard_g256_m2,qkv,2,22,0.002378366654738784,0.0060989344492554665
llama32_3b,hadamard_g256_m2,qkv,2,23,0.0019604058470577,0.006086392793804407
llama32_3b,hadamard_g256_m2,qkv,2,24,0.002260067733004689,0.005655549466609955
llama32_3b,hadamard_g256_m2,qkv,2,25,0.0029697411227971315,0.00559703353792429
llama32_3b,hadamard_g256_m2,qkv,2,26,0.005906450562179089,0.005531684495508671
llama32_3b,hadamard_g256_m2,qkv,2,27,0.009364132769405842,0.005340902600437403
llama32_3b,hadamard_g256_m2,qkv,2,28,0.012029144912958145,0.005208115093410015
llama32_3b,hadamard_g256_m2,qkv,2,29,0.003368876874446869,0.004952318500727415
llama32_3b,hadamard_g256_m2,qkv,2,30,0.0059294141829013824,0.004886058624833822
llama32_3b,hadamard_g256_m2,qkv,2,31,0.0052198083139956,0.004776530433446169
llama32_3b,hadamard_g256_m2,qkv,2,32,0.004760578274726868,0.004746546968817711
llama32_3b,hadamard_g256_m2,qkv,2,33,0.001151183620095253,0.004616722464561462
llama32_3b,hadamard_g256_m2,qkv,2,34,0.0034493575803935528,0.004455304704606533
llama32_3b,hadamard_g256_m2,qkv,2,35,0.003955237101763487,0.004308867733925581
llama32_3b,hadamard_g256_m2,qkv,2,36,0.0010876470478251576,0.00425052922219038
llama32_3b,hadamard_g256_m2,qkv,2,37,0.0021240743808448315,0.004237929359078407
llama32_3b,hadamard_g256_m2,qkv,2,38,0.013634785078465939,0.004154155496507883
llama32_3b,hadamard_g256_m2,qkv,2,39,0.003958278801292181,0.004110896028578281
llama32_3b,hadamard_g256_m2,qkv,2,40,0.004964998457580805,0.004055485129356384
llama32_3b,hadamard_g256_m2,qkv,2,41,0.005871984641999006,0.003927489742636681
llama32_3b,hadamard_g256_m2,qkv,2,42,0.006340713705867529,0.0037676487118005753
llama32_3b,hadamard_g256_m2,qkv,2,43,0.013626384548842907,0.003650753991678357
llama32_3b,hadamard_g256_m2,qkv,2,44,0.03419629484415054,0.003545331070199609
llama32_3b,hadamard_g256_m2,qkv,2,45,0.0036502580624073744,0.003421440487727523
llama32_3b,hadamard_g256_m2,qkv,2,46,0.012528927996754646,0.0033694326411932707
llama32_3b,hadamard_g256_m2,qkv,2,47,0.00738662201911211,0.0032281787134706974
llama32_3b,hadamard_g256_m2,qkv,3,0,0.0011343449587002397,0.1716327965259552
llama32_3b,hadamard_g256_m2,qkv,3,1,0.004354667384177446,0.028933698311448097
llama32_3b,hadamard_g256_m2,qkv,3,2,0.0026160774286836386,0.01876441389322281
llama32_3b,hadamard_g256_m2,qkv,3,3,0.0012266148114576936,0.015456492081284523
llama32_3b,hadamard_g256_m2,qkv,3,4,0.002639835001900792,0.013455383479595184
llama32_3b,hadamard_g256_m2,qkv,3,5,0.005220089107751846,0.010300634428858757
llama32_3b,hadamard_g256_m2,qkv,3,6,0.0037997232284396887,0.00909622386097908
llama32_3b,hadamard_g256_m2,qkv,3,7,0.0021073496900498867,0.0087877307087183
llama32_3b,hadamard_g256_m2,qkv,3,8,0.0014814554015174508,0.00825889315456152
llama32_3b,hadamard_g256_m2,qkv,3,9,0.001761964405886829,0.007441031280905008
llama32_3b,hadamard_g256_m2,qkv,3,10,0.002657701727002859,0.00705274473875761
llama32_3b,hadamard_g256_m2,qkv,3,11,0.0054586236365139484,0.006873483769595623
llama32_3b,hadamard_g256_m2,qkv,3,12,0.0023228388745337725,0.006280841771513224
llama32_3b,hadamard_g256_m2,qkv,3,13,0.007078574970364571,0.0059507680125534534
llama32_3b,hadamard_g256_m2,qkv,3,14,0.005728157237172127,0.005858645308762789
llama32_3b,hadamard_g256_m2,qkv,3,15,0.004077265504747629,0.005502522923052311
llama32_3b,hadamard_g256_m2,qkv,3,16,0.005751601420342922,0.005301713012158871
llama32_3b,hadamard_g256_m2,qkv,3,17,0.008085117675364017,0.004975616931915283
llama32_3b,hadamard_g256_m2,qkv,3,18,0.0034468236844986677,0.004770132713019848
llama32_3b,hadamard_g256_m2,qkv,3,19,0.003967578522861004,0.0045651947148144245
llama32_3b,hadamard_g256_m2,qkv,3,20,0.00941349659115076,0.004477572627365589
llama32_3b,hadamard_g256_m2,qkv,3,21,0.0034805857576429844,0.004293627571314573
llama32_3b,hadamard_g256_m2,qkv,3,22,0.006943852640688419,0.00426451163366437
llama32_3b,hadamard_g256_m2,qkv,3,23,0.004072035662829876,0.00409423653036356
llama32_3b,hadamard_g256_m2,qkv,3,24,0.0030173377599567175,0.0038072005845606327
llama32_3b,hadamard_g256_m2,qkv,3,25,0.0036199348978698254,0.0037746671587228775
llama32_3b,hadamard_g256_m2,qkv,3,26,0.002424759790301323,0.0035736081190407276
llama32_3b,hadamard_g256_m2,qkv,3,27,0.004336513578891754,0.0034852249082177877
llama32_3b,hadamard_g256_m2,qkv,3,28,0.006814192049205303,0.0033569950610399246
llama32_3b,hadamard_g256_m2,qkv,3,29,0.004849987104535103,0.0031060543842613697
llama32_3b,hadamard_g256_m2,qkv,3,30,0.005636983085423708,0.0029750163666903973
llama32_3b,hadamard_g256_m2,qkv,3,31,0.00650128535926342,0.002873503603041172
llama32_3b,hadamard_g256_m2,qkv,3,32,0.004335694946348667,0.0028185269329696894
