model,layer,split,method,mean_group_range,relative_quantization_error_nmse,range_delta_vs_second_moment,nmse_delta_vs_second_moment
llama32_3b,11.0,calibration_a,second_moment,0.22140791376527602,0.007208005425815936,0.0,0.0
llama32_3b,11.0,calibration_a,range_direct,0.2186825814643214,0.007055862974780694,-0.0027253323009546193,-0.00015214245103524222
llama32_3b,11.0,heldout_cal_b,second_moment,0.2221001370667608,0.007335075108946604,0.0,0.0
llama32_3b,11.0,heldout_cal_b,range_direct,0.22184198544269407,0.00733674148763178,-0.000258151624066727,1.6663786851760926e-06
llama32_3b,12.0,calibration_a,second_moment,0.23616987966804004,0.006863528994236543,0.0,0.0
llama32_3b,12.0,calibration_a,range_direct,0.23284982241367658,0.006715526935032798,-0.003320057254363462,-0.00014800205920374471
llama32_3b,12.0,heldout_cal_b,second_moment,0.23786583894936086,0.007030048268655135,0.0,0.0
llama32_3b,12.0,heldout_cal_b,range_direct,0.2371581160012397,0.007027560647568418,-0.0007077229481211589,-2.487621086717448e-06
llama32_3b,13.0,calibration_a,second_moment,0.2554426633175595,0.006651095158381678,0.0,0.0
llama32_3b,13.0,calibration_a,range_direct,0.2495339801872376,0.0064527653994304,-0.00590868313032189,-0.00019832975895127739
llama32_3b,13.0,heldout_cal_b,second_moment,0.2564581954636225,0.0067823697473431655,0.0,0.0
llama32_3b,13.0,heldout_cal_b,range_direct,0.25339724190256163,0.006724580280082024,-0.003060953561060842,-5.778946726114117e-05
llama32_3b,14.0,calibration_a,second_moment,0.280948910424641,0.006476408387935001,0.0,0.0
llama32_3b,14.0,calibration_a,range_direct,0.2767971416960222,0.0063170912386225206,-0.0041517687286187765,-0.00015931714931248075
llama32_3b,14.0,heldout_cal_b,second_moment,0.2833117874051254,0.006689463850001868,0.0,0.0
llama32_3b,14.0,heldout_cal_b,range_direct,0.2824679638187746,0.0066723584202938524,-0.0008438235863508226,-1.7105429708015596e-05
llama32_3b,15.0,calibration_a,second_moment,0.2893770522847774,0.006136258385128511,0.0,0.0
llama32_3b,15.0,calibration_a,range_direct,0.28488393201746476,0.005980409487911424,-0.004493120267312634,-0.00015584889721708718
llama32_3b,15.0,heldout_cal_b,second_moment,0.29315827014424656,0.006486438233931846,0.0,0.0
llama32_3b,15.0,heldout_cal_b,range_direct,0.29228621354712914,0.006467758177016204,-0.000872056597117421,-1.8680056915641556e-05
llama32_3b,16.0,calibration_a,second_moment,0.28497315975243964,0.006129026713764489,0.0,0.0
llama32_3b,16.0,calibration_a,range_direct,0.2806437156752395,0.0059756731081572825,-0.004329444077200151,-0.00015335360560720605
llama32_3b,16.0,heldout_cal_b,second_moment,0.28835854596123056,0.006432912982234877,0.0,0.0
llama32_3b,16.0,heldout_cal_b,range_direct,0.2875357173429052,0.0064168997907639545,-0.0008228286183253886,-1.6013191470922068e-05
llama32_3b,17.0,calibration_a,second_moment,0.29090516494146357,0.006160096899699234,0.0,0.0
llama32_3b,17.0,calibration_a,range_direct,0.2863405648263466,0.00599896348299831,-0.004564600115116946,-0.0001611334167009237
llama32_3b,17.0,heldout_cal_b,second_moment,0.29400554175376215,0.006375811879841111,0.0,0.0
llama32_3b,17.0,heldout_cal_b,range_direct,0.29320645783559485,0.006360397117970161,-0.0007990839181672982,-1.541476187095006e-05
llama32_3b,18.0,calibration_a,second_moment,0.2985344895046893,0.006200207201158947,0.0,0.0
llama32_3b,18.0,calibration_a,range_direct,0.2943269529820327,0.006052615618392953,-0.004207536522656596,-0.00014759158276599418
llama32_3b,18.0,heldout_cal_b,second_moment,0.3014577778266556,0.006446915211883911,0.0,0.0
llama32_3b,18.0,heldout_cal_b,range_direct,0.30076325012771576,0.006430530676143917,-0.0006945276989398508,-1.638453573999353e-05
llama32_3b,19.0,calibration_a,second_moment,0.32782750137374705,0.005653734679583054,0.0,0.0
llama32_3b,19.0,calibration_a,range_direct,0.32242242831100043,0.0055014995950139495,-0.005405073062746624,-0.0001522350845691049
llama32_3b,19.0,heldout_cal_b,second_moment,0.33116884393983526,0.006018784166415184,0.0,0.0
llama32_3b,19.0,heldout_cal_b,range_direct,0.3299153113057116,0.005996049890251973,-0.0012535326341236441,-2.273427616321117e-05
llama32_3b,20.0,calibration_a,second_moment,0.324351772828976,0.005892506099072439,0.0,0.0
llama32_3b,20.0,calibration_a,range_direct,0.31917433685678986,0.005734783107361063,-0.005177435972186117,-0.0001577229917113761
llama32_3b,20.0,heldout_cal_b,second_moment,0.32886498012203447,0.006255186899604657,0.0,0.0
llama32_3b,20.0,heldout_cal_b,range_direct,0.32788763023816614,0.006233964664292793,-0.000977349883868328,-2.1222235311863305e-05
