model,layer,b,method,mean_group_range,relative_quantization_error_nmse,mse,sample_vectors,valid,invalid_reason
llama32_3b,6,32,identity,8.906068801879883,0.008501104940406335,0.032023441046476364,65536,True,
llama32_3b,6,32,hadamard,7.791530609130859,0.005849182670158603,0.02203371748328209,65536,True,
llama32_3b,6,32,nar,6.292236328125,0.003869763268428862,0.014577299356460571,65536,True,
llama32_3b,6,32,nar_rope,7.126492977142334,0.00502824705310195,0.018941275775432587,65536,True,
llama32_3b,6,64,bf16,11.969077110290527,0.0,0.0,65536,True,
llama32_3b,6,64,identity,11.969077110290527,0.014920126099109648,0.056203726679086685,65536,True,
llama32_3b,6,64,hadamard,8.780261039733887,0.007619541089798791,0.028702612966299057,65536,True,
llama32_3b,6,64,nar,7.616851806640625,0.005793403430694272,0.021823599934577942,65536,True,
llama32_3b,6,64,nar_rope,8.42293930053711,0.007096643487678415,0.026732871308922768,65536,True,
llama32_3b,6,128,bf16,15.431696891784668,0.0,0.0,65536,True,
llama32_3b,6,128,identity,15.431696891784668,0.023903391959687676,0.09004345536231995,65536,True,
llama32_3b,6,128,hadamard,9.699029922485352,0.009372017967087502,0.035304147750139236,65536,True,
llama32_3b,6,128,nar,8.953115463256836,0.00800269977107356,0.03014596365392208,65536,True,
llama32_3b,6,128,nar_rope,nan,nan,nan,65536,False,"requires an even number of >=2 groups, got 1"
llama32_3b,7,32,bf16,9.922567367553711,0.0,0.0,65536,True,
llama32_3b,7,32,identity,9.922567367553711,0.009651420955599534,0.04104002192616463,65536,True,
llama32_3b,7,32,hadamard,8.264386177062988,0.005826896521993002,0.024777280166745186,65536,True,
llama32_3b,7,32,nar,6.5712080001831055,0.0037878911591897563,0.016106970608234406,65536,True,
llama32_3b,7,32,nar_rope,7.151017189025879,0.0044892252104947045,0.019089199602603912,65536,True,
llama32_3b,7,64,bf16,13.452250480651855,0.0,0.0,65536,True,
llama32_3b,7,64,identity,13.452250480651855,0.01687179158456278,0.07174266874790192,65536,True,
llama32_3b,7,64,hadamard,9.264086723327637,0.007518703047715722,0.031971223652362823,65536,True,
llama32_3b,7,64,nar,8.13235092163086,0.005929809419667813,0.025214891880750656,65536,True,
llama32_3b,7,64,nar_rope,8.480047225952148,0.006452800969524861,0.02743876725435257,65536,True,
llama32_3b,7,128,bf16,18.449129104614258,0.0,0.0,65536,True,
llama32_3b,7,128,identity,18.449129104614258,0.030099903123767882,0.12799158692359924,65536,True,
llama32_3b,7,128,hadamard,10.192386627197266,0.009196082725058098,0.03910382091999054,65536,True,
llama32_3b,7,128,nar,9.506121635437012,0.008136979028129206,0.03460027277469635,65536,True,
llama32_3b,7,128,nar_rope,nan,nan,nan,65536,False,"requires an even number of >=2 groups, got 1"
llama32_3b,8,32,bf16,9.462088584899902,0.0,0.0,65536,True,
llama32_3b,8,32,identity,9.462088584899902,0.009287147706634372,0.03725055605173111,65536,True,
llama32_3b,8,32,hadamard,8.145425796508789,0.005974728873989153,0.02396451309323311,65536,True,
llama32_3b,8,32,nar,6.501940727233887,0.003926591063679312,0.015749474987387657,65536,True,
llama32_3b,8,32,nar_rope,7.246696472167969,0.004877453826444877,0.01956336572766304,65536,True,
llama32_3b,8,64,bf16,12.894309997558594,0.0,0.0,65536,True,
llama32_3b,8,64,identity,12.894309997558594,0.016301386573807964,0.06538452208042145,65536,True,
llama32_3b,8,64,hadamard,9.085549354553223,0.0076470929084162375,0.030672330409288406,65536,True,
llama32_3b,8,64,nar,8.036571502685547,0.00610446570190762,0.024484887719154358,65536,True,
