model,row,quantizer,seed,site,layer,group,group_class,observations,mean_range,scope
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,61,anchor,131072,0.06309705640390462,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,62,anchor,131072,0.06450656737296612,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,1,63,anchor,131072,0.06419300508450476,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,2,0,anchor,131072,0.08857740633830247,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,2,1,anchor,131072,0.0903259835964576,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,2,2,anchor,131072,0.0896476298712372,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,2,3,anchor,131072,0.08841954703068211,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,2,4,anchor,131072,0.08725413241930369,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,2,5,anchor,131072,0.09275873712940097,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,2,6,anchor,131072,0.0888804919183599,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,2,7,anchor,131072,0.08936329336236781,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,2,8,anchor,131072,0.08912670858561,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,2,9,anchor,131072,0.0926131698862207,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,2,10,anchor,131072,0.09134377481913702,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,2,11,anchor,131072,0.0883652766520413,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,2,12,anchor,131072,0.09022833627045657,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,2,13,anchor,131072,0.0905227326702942,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,2,14,anchor,131072,0.08678568457706604,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,2,15,anchor,131072,0.08748819712020861,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,2,16,anchor,131072,0.08919256357549443,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,2,17,anchor,131072,0.08760530524727983,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,2,18,anchor,131072,0.08967036423680952,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,2,19,anchor,131072,0.09041303369721732,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,2,20,anchor,131072,0.08894171049834654,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,2,21,anchor,131072,0.08791122223804848,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,2,22,anchor,131072,0.08804399352722214,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,2,23,anchor,131072,0.09218923537363821,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,2,24,anchor,131072,0.08743334579008888,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,2,25,anchor,131072,0.08856215471921303,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,2,26,anchor,131072,0.08746731650354889,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,2,27,anchor,131072,0.08860378348799713,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,2,28,anchor,131072,0.08928564966714703,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,2,29,anchor,131072,0.09413289585926066,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,2,30,anchor,131072,0.09042074263157929,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,2,31,anchor,131072,0.09013237907404914,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,2,32,anchor,131072,0.09158619715044836,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,2,33,anchor,131072,0.08786118223612505,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,2,34,anchor,131072,0.08833144635252665,common_unquantized_bf16_forward
llama32_3b,Q1,asym_and_sym_same_prequant_input,0,down,2,35,anchor,131072,0.09035338844518037,common_unquantized_bf16_forward
