model,site,layer,method,fp4_nmse,transformed_pearson_kurtosis,mean_relative_e4m3_scale_rounding_error,squared_error,signal_energy,sample_vectors
llama32_3b,q_input,12,hadamard,0.009667314455806,5.397119522094727,0.02616182528436184,11974.063723246833,1238613.2444523354,2048
llama32_3b,q_input,12,nar,0.009416772375630177,3.42842698097229,0.024482041597366333,11663.738984448419,1238613.2444523354,2048
llama32_3b,q_input,12,logdiag,0.038073074865940894,98.66271209716797,0.02390196919441223,47157.81478597971,1238613.2444523354,2048
llama32_3b,q_input,13,bf16,0.0,36.43212127685547,0.0,0.0,1277834.5234496552,2048
llama32_3b,q_input,13,identity,0.008415622633807704,36.43212127685547,0.024971075356006622,10753.773137803797,1277834.5234496552,2048
llama32_3b,q_input,13,hadamard,0.009629533412317287,4.9608025550842285,0.02575850486755371,12304.950238970992,1277834.5234496552,2048
llama32_3b,q_input,13,nar,0.009440617862751534,3.468837022781372,0.024576708674430847,12063.547427719408,1277834.5234496552,2048
llama32_3b,q_input,13,logdiag,0.03791332497267106,132.25083923339844,0.024115171283483505,48446.955548845035,1277834.5234496552,2048
llama32_3b,q_input,14,bf16,0.0,31.68854331970215,0.0,0.0,1176636.7045231569,2048
llama32_3b,q_input,14,identity,0.00845466567227065,31.68854331970215,0.026097729802131653,9948.0699544656,1176636.7045231569,2048
llama32_3b,q_input,14,hadamard,0.00953588644659738,4.701410293579102,0.0278333630412817,11220.274003231378,1176636.7045231569,2048
llama32_3b,q_input,14,nar,0.009385482836881998,3.431215524673462,0.02522449567914009,11043.303595547484,1176636.7045231569,2048
llama32_3b,q_input,14,logdiag,0.03702227612417632,77.67503356933594,0.024840127676725388,43561.76897269718,1176636.7045231569,2048
llama32_3b,q_input,15,bf16,0.0,36.053443908691406,0.0,0.0,1281914.592157572,2048
llama32_3b,q_input,15,identity,0.008431622058470116,36.053443908691406,0.025998016819357872,10808.619352310507,1281914.592157572,2048
llama32_3b,q_input,15,hadamard,0.009637245891335399,4.912848949432373,0.027207404375076294,12354.126136313454,1281914.592157572,2048
llama32_3b,q_input,15,nar,0.009386127791247435,3.436333417892456,0.024730384349822998,12032.214179455808,1281914.592157572,2048
llama32_3b,q_input,15,logdiag,0.03532698311288043,92.7145004272461,0.024398069828748703,45286.175149305556,1281914.592157572,2048
llama32_3b,q_input,16,bf16,0.0,28.51789093017578,0.0,0.0,1308348.15246594,2048
llama32_3b,q_input,16,identity,0.00840496944791921,28.51789093017578,0.02599409595131874,10996.62624871777,1308348.15246594,2048
llama32_3b,q_input,16,hadamard,0.009558859057497867,4.486954212188721,0.02658849023282528,12506.31558755965,1308348.15246594,2048
llama32_3b,q_input,16,nar,0.009370167859553072,3.480736494064331,0.024495843797922134,12259.441807341991,1308348.15246594,2048
llama32_3b,q_input,16,logdiag,0.037158814328126004,96.4161376953125,0.024001380428671837,48616.66607402856,1308348.15246594,2048
llama32_3b,q_input,17,bf16,0.0,22.971548080444336,0.0,0.0,1298702.5702316207,2048
llama32_3b,q_input,17,identity,0.008393059241465401,22.971548080444336,0.026165064424276352,10900.087608997374,1298702.5702316207,2048
llama32_3b,q_input,17,hadamard,0.009480133020385357,4.184434413909912,0.026982557028532028,12311.873119712121,1298702.5702316207,2048
llama32_3b,q_input,17,nar,0.0093505344957536,3.4769368171691895,0.025165867060422897,12143.563182674632,1298702.5702316207,2048
llama32_3b,q_input,17,logdiag,0.03880307140719739,76.18266296386719,0.024087494239211082,50393.64856940836,1298702.5702316207,2048
llama32_3b,q_input,18,bf16,0.0,30.198400497436523,0.0,0.0,1477125.7985292082,2048
llama32_3b,q_input,18,identity,0.008376034161074042,30.198400497436523,0.02555970475077629,12372.45614868442,1477125.7985292082,2048
llama32_3b,q_input,18,hadamard,0.009616470818175437,4.55363655090332,0.02663402259349823,14204.737136330219,1477125.7985292082,2048
llama32_3b,q_input,18,nar,0.009388303474415514,3.516158103942871,0.02480381727218628,13867.705266480554,1477125.7985292082,2048
llama32_3b,q_input,18,logdiag,0.03812548102077025,97.38764953613281,0.024151325225830078,56316.13159711542,1477125.7985292082,2048
llama32_3b,q_input,19,bf16,0.0,23.284793853759766,0.0,0.0,1356372.1964885783,2048
llama32_3b,q_input,19,identity,0.008380738087784726,23.284793853759766,0.025467878207564354,11367.400128324058,1356372.1964885783,2048
llama32_3b,q_input,19,hadamard,0.009510609127575008,4.17354679107666,0.026746360585093498,12899.925792313235,1356372.1964885783,2048
llama32_3b,q_input,19,nar,0.00936600891613716,3.5330076217651367,0.02501472644507885,12703.794085912568,1356372.1964885783,2048
llama32_3b,q_input,19,logdiag,0.03933341777943729,67.85704803466797,0.024465616792440414,53350.75426889826,1356372.1964885783,2048
llama32_3b,q_input,20,bf16,0.0,24.39478874206543,0.0,0.0,1419813.7807154031,2048
llama32_3b,q_input,20,identity,0.008400966382359093,24.39478874206543,0.025615405291318893,11927.807841000267,1419813.7807154031,2048
llama32_3b,q_input,20,hadamard,0.009516130934358994,4.2500152587890625,0.02583993971347809,13511.133839695045,1419813.7807154031,2048
llama32_3b,q_input,20,nar,0.009368562209335567,3.508235454559326,0.024973902851343155,13301.61373030418,1419813.7807154031,2048
llama32_3b,q_input,20,logdiag,0.04068636121099593,79.7176284790039,0.024028494954109192,57767.05633453666,1419813.7807154031,2048
llama32_3b,q_input,21,bf16,0.0,24.354372024536133,0.0,0.0,1476767.6222542175,2048
llama32_3b,q_input,21,identity,0.008392732796464327,24.354372024536133,0.02555677853524685,12394.116056049612,1476767.6222542175,2048
llama32_3b,q_input,21,hadamard,0.009535215450920911,4.2355756759643555,0.026310240849852562,14081.29744913815,1476767.6222542175,2048
llama32_3b,q_input,21,nar,0.009405759355097845,3.581226348876953,0.024751458317041397,13890.120878323205,1476767.6222542175,2048
llama32_3b,q_input,21,logdiag,0.03957776184730918,76.96862030029297,0.024105224758386612,58447.15725739446,1476767.6222542175,2048
llama32_3b,q_input,22,bf16,0.0,19.28900718688965,0.0,0.0,1423187.3072896134,2048
llama32_3b,q_input,22,identity,0.008400108407887267,19.28900718688965,0.025477219372987747,11954.92766596192,1423187.3072896134,2048
llama32_3b,q_input,22,hadamard,0.00944829162998792,3.9421496391296387,0.026515644043684006,13446.688723369502,1423187.3072896134,2048
llama32_3b,q_input,22,nar,0.009404131789280911,3.6524932384490967,0.024643369019031525,13383.840998583353,1423187.3072896134,2048
llama32_3b,q_input,22,logdiag,0.039969471499228935,48.90121841430664,0.024125177413225174,56884.04451677657,1423187.3072896134,2048
llama32_3b,q_input,23,bf16,0.0,23.54525375366211,0.0,0.0,1416340.8932354655,2048
llama32_3b,q_input,23,identity,0.008388164804872828,23.54525375366211,0.0250010397285223,11880.500832339876,1416340.8932354655,2048
llama32_3b,q_input,23,hadamard,0.009508876624404743,4.168960094451904,0.025372587144374847,13467.81081187525,1416340.8932354655,2048
llama32_3b,q_input,23,nar,0.009430552057730166,3.638340950012207,0.024572543799877167,13356.8765251491,1416340.8932354655,2048
llama32_3b,q_input,23,logdiag,0.0388484509017677,91.1353530883789,0.02377587929368019,55022.649651023785,1416340.8932354655,2048
llama32_3b,q_input,24,bf16,0.0,19.75101661682129,0.0,0.0,1607707.2837010357,2048
llama32_3b,q_input,24,identity,0.00834935333272093,19.75101661682129,0.0249182116240263,13423.316167208954,1607707.2837010357,2048
llama32_3b,q_input,24,hadamard,0.009435292397804149,3.9548287391662598,0.025460509583353996,15169.188311798738,1607707.2837010357,2048
llama32_3b,q_input,24,nar,0.009429986491638781,3.6787893772125244,0.024378180503845215,15160.657967810042,1607707.2837010357,2048
llama32_3b,q_input,24,logdiag,0.038965728889373864,57.13404083251953,0.023676928132772446,62645.48615016622,1607707.2837010357,2048
llama32_3b,q_input,25,bf16,0.0,11.697354316711426,0.0,0.0,1497448.51544841,2048
llama32_3b,q_input,25,identity,0.00844842419564927,11.697354316711426,0.024931525811553,12651.080269653428,1497448.51544841,2048
llama32_3b,q_input,25,hadamard,0.009270727876531009,3.5926547050476074,0.0252422746270895,13882.43769583755,1497448.51544841,2048
