model,model_id,site,method,seed,sequence,nll,tokens_scored,weight_fold_max_relative_error
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,55,9.67855167388916,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,56,9.780106544494629,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,57,9.790324211120605,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,58,9.738183975219727,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,59,9.591485977172852,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,60,9.470279693603516,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,61,9.78758430480957,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,62,9.916031837463379,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,hadamard,20260902,63,9.832399368286133,2047,0.003590154927223921
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,nar_k8,20260902,0,2.1459600925445557,2047,0.005343914497643709
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,nar_k8,20260902,1,2.871649980545044,2047,0.005343914497643709
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,nar_k8,20260902,2,2.6538946628570557,2047,0.005343914497643709
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,nar_k8,20260902,3,2.4214303493499756,2047,0.005343914497643709
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,nar_k8,20260902,4,2.40080189704895,2047,0.005343914497643709
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,nar_k8,20260902,5,1.8562244176864624,2047,0.005343914497643709
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,nar_k8,20260902,6,1.9804062843322754,2047,0.005343914497643709
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,nar_k8,20260902,7,2.3357491493225098,2047,0.005343914497643709
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,nar_k8,20260902,8,2.4285800457000732,2047,0.005343914497643709
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,nar_k8,20260902,9,2.521454334259033,2047,0.005343914497643709
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,nar_k8,20260902,10,2.1216509342193604,2047,0.005343914497643709
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,nar_k8,20260902,11,2.565349578857422,2047,0.005343914497643709
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,nar_k8,20260902,12,2.6411502361297607,2047,0.005343914497643709
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,nar_k8,20260902,13,2.96789288520813,2047,0.005343914497643709
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,nar_k8,20260902,14,2.397238254547119,2047,0.005343914497643709
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,nar_k8,20260902,15,2.779406785964966,2047,0.005343914497643709
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,nar_k8,20260902,16,2.8340847492218018,2047,0.005343914497643709
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,nar_k8,20260902,17,2.744957208633423,2047,0.005343914497643709
