model,rotation,layer,group,module,columns,rows,hessian_sequences,dead_columns,damp,groupsize,blocksize,act_order,hessian_diag_max_over_median,hessian_diag_mean_over_median,damp_over_median_diag,null_slot_diag_share,null_slot_baseline,rows_clipped,mean_shrink,clipped_row_null_slot_mass_share,unclipped_row_null_slot_mass_share
qwen3_8b_base,hadamard,6,0,self_attn.v_proj,4096,1024,128,0,40.95988845825195,-1,128,True,4.411602035787918,1.1422385415442593,0.011422385415442594,0.007964986794554743,0.0078125,1024,0.6668359041213989,0.007816949859261513,nan
qwen3_8b_base,hadamard,6,0,self_attn.q_proj,4096,4096,128,0,40.95988845825195,-1,128,True,4.411602035787918,1.1422385415442593,0.011422385415442594,0.007964986794554743,0.0078125,4096,0.6670019626617432,0.007877806201577187,nan
qwen3_8b_base,hadamard,6,1,self_attn.o_proj,4096,4096,128,0,0.20494143664836884,-1,128,True,4.934418068305828,1.4836046724120588,0.014836046724120588,0.008252691915715031,0.0078125,4096,0.6600463390350342,0.007809502072632313,nan
qwen3_8b_base,hadamard,6,2,mlp.up_proj,4096,12288,128,0,40.959896087646484,-1,128,True,4.285194479941289,1.132917135643685,0.01132917135643685,0.008048216922694076,0.0078125,12288,0.6665779948234558,0.007818931713700294,nan
qwen3_8b_base,hadamard,6,2,mlp.gate_proj,4096,12288,128,0,40.959896087646484,-1,128,True,4.285194479941289,1.132917135643685,0.01132917135643685,0.008048216922694076,0.0078125,12288,0.6704354286193848,0.007755258586257696,nan
qwen3_8b_base,hadamard,6,3,mlp.down_proj,12288,4096,128,0,35.2071533203125,-1,128,True,2.3322395978661135,1.1954370324537857,0.011954370324537857,0.0077997103592039605,0.0078125,4096,0.6229711771011353,0.007801416330039501,nan
qwen3_8b_base,hadamard,7,0,self_attn.k_proj,4096,1024,128,0,40.95991897583008,-1,128,True,4.26169193925492,1.1209641269312902,0.011209641269312903,0.007851918307854084,0.0078125,1024,0.6665820479393005,0.007871665060520172,nan
qwen3_8b_base,hadamard,7,0,self_attn.v_proj,4096,1024,128,0,40.95991897583008,-1,128,True,4.26169193925492,1.1209641269312902,0.011209641269312903,0.007851918307854084,0.0078125,1024,0.6663964986801147,0.007718021981418133,nan
qwen3_8b_base,hadamard,7,0,self_attn.q_proj,4096,4096,128,0,40.95991897583008,-1,128,True,4.26169193925492,1.1209641269312902,0.011209641269312903,0.007851918307854084,0.0078125,4096,0.6659057140350342,0.007900501601397991,nan
qwen3_8b_base,hadamard,7,1,self_attn.o_proj,4096,4096,128,0,0.2172146886587143,-1,128,True,5.451835233069108,1.4418775810709907,0.014418775810709907,0.007430964161834078,0.0078125,4096,0.6652880907058716,0.007866487838327885,nan
qwen3_8b_base,hadamard,7,2,mlp.up_proj,4096,12288,128,0,40.959922790527344,-1,128,True,4.3309069083425795,1.121479472848325,0.011214794728483251,0.007904956282597093,0.0078125,12288,0.6669353246688843,0.007837208919227123,nan
qwen3_8b_base,hadamard,7,2,mlp.gate_proj,4096,12288,128,0,40.959922790527344,-1,128,True,4.3309069083425795,1.121479472848325,0.011214794728483251,0.007904956282597093,0.0078125,12288,0.6704427599906921,0.007803673855960369,nan
qwen3_8b_base,hadamard,7,3,mlp.down_proj,12288,4096,128,0,0.3436930775642395,-1,128,True,1.2469559500899745,1.0032098187249112,0.010032098187249113,0.007818536312904554,0.0078125,4096,0.6218286156654358,0.007829418405890465,nan
qwen3_8b_base,hadamard,8,0,self_attn.k_proj,4096,1024,128,0,40.959930419921875,-1,128,True,3.9254485445080314,1.1108461245500254,0.011108461245500254,0.00792980725197767,0.0078125,1024,0.6669335961341858,0.007820110768079758,nan
qwen3_8b_base,hadamard,8,0,self_attn.v_proj,4096,1024,128,0,40.959930419921875,-1,128,True,3.9254485445080314,1.1108461245500254,0.011108461245500254,0.00792980725197767,0.0078125,1024,0.6659179925918579,0.007727776654064655,nan
qwen3_8b_base,hadamard,8,0,self_attn.q_proj,4096,4096,128,0,40.959930419921875,-1,128,True,3.9254485445080314,1.1108461245500254,0.011108461245500254,0.00792980725197767,0.0078125,4096,0.6659472584724426,0.00782319437712431,nan
qwen3_8b_base,hadamard,8,1,self_attn.o_proj,4096,4096,128,0,0.3332003057003021,-1,128,True,7.806445853650952,1.6363650840055082,0.016363650840055085,0.007403232734045547,0.0078125,4096,0.6621288657188416,0.007759125903248787,nan
qwen3_8b_base,hadamard,8,2,mlp.up_proj,4096,12288,128,0,40.95993423461914,-1,128,True,3.823118209356645,1.11446828766813,0.011144682876681298,0.0078959401127364,0.0078125,12288,0.6663541793823242,0.00782325491309166,nan
qwen3_8b_base,hadamard,8,2,mlp.gate_proj,4096,12288,128,0,40.95993423461914,-1,128,True,3.823118209356645,1.11446828766813,0.011144682876681298,0.0078959401127364,0.0078125,12288,0.6652002334594727,0.007828454487025738,nan
qwen3_8b_base,hadamard,8,3,mlp.down_proj,12288,4096,128,0,0.44995689392089844,-1,128,True,1.1869139704469498,1.0033000319056105,0.010033000319056105,0.0078105597932269805,0.0078125,4096,0.6226732730865479,0.007788722403347492,nan
qwen3_8b_base,hadamard,9,0,self_attn.k_proj,4096,1024,128,0,40.95994186401367,-1,128,True,3.7860823326746185,1.1075013888991574,0.011075013888991575,0.007953416283641728,0.0078125,1024,0.668164074420929,0.007914401590824127,nan
qwen3_8b_base,hadamard,9,0,self_attn.v_proj,4096,1024,128,0,40.95994186401367,-1,128,True,3.7860823326746185,1.1075013888991574,0.011075013888991575,0.007953416283641728,0.0078125,1024,0.6643555164337158,0.007803486660122871,nan
qwen3_8b_base,hadamard,9,0,self_attn.q_proj,4096,4096,128,0,40.95994186401367,-1,128,True,3.7860823326746185,1.1075013888991574,0.011075013888991575,0.007953416283641728,0.0078125,4096,0.6676025390625,0.00786515511572361,nan
qwen3_8b_base,hadamard,9,1,self_attn.o_proj,4096,4096,128,0,0.42690688371658325,-1,128,True,8.734477830836413,1.708078043661116,0.01708078043661116,0.007561383337680535,0.0078125,4096,0.6630834937095642,0.007747819181531668,nan
