panel,model,layer,method,metric,x,y,source_commit,source_file,source_csv_line,source_field,formula,x_unit,y_unit,round_for_display_only
a,llama32_3b,23,hadamard,f,23,0.0102375048181122,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,245,f,identity,layer index,dimensionless,True
a,llama32_3b,24,hadamard,f,24,0.0093729570053335,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,246,f,identity,layer index,dimensionless,True
a,llama32_3b,25,hadamard,f,25,0.0054276622836557,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,247,f,identity,layer index,dimensionless,True
a,llama32_3b,26,hadamard,f,26,0.0061092151841163,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,248,f,identity,layer index,dimensionless,True
a,llama32_3b,27,hadamard,f,27,0.0035948651489478,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,249,f,identity,layer index,dimensionless,True
a,llama32_3b,0,nar,f,0,0.7525006877267699,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,250,f,identity,layer index,dimensionless,True
a,llama32_3b,1,nar,f,1,0.9995918972129184,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,251,f,identity,layer index,dimensionless,True
a,llama32_3b,2,nar,f,2,0.2310596722032348,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,252,f,identity,layer index,dimensionless,True
a,llama32_3b,3,nar,f,3,0.2179256306143372,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,253,f,identity,layer index,dimensionless,True
a,llama32_3b,4,nar,f,4,0.1980612222551577,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,254,f,identity,layer index,dimensionless,True
a,llama32_3b,5,nar,f,5,0.2038082663546381,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,255,f,identity,layer index,dimensionless,True
a,llama32_3b,6,nar,f,6,0.2151212516430489,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,256,f,identity,layer index,dimensionless,True
a,llama32_3b,7,nar,f,7,0.2048894679030733,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,257,f,identity,layer index,dimensionless,True
a,llama32_3b,8,nar,f,8,0.2050017605298462,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,258,f,identity,layer index,dimensionless,True
a,llama32_3b,9,nar,f,9,0.2179163412375203,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,259,f,identity,layer index,dimensionless,True
a,llama32_3b,10,nar,f,10,0.2391159062817507,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,260,f,identity,layer index,dimensionless,True
a,llama32_3b,11,nar,f,11,0.2194791088140905,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,261,f,identity,layer index,dimensionless,True
a,llama32_3b,12,nar,f,12,0.2461044470939158,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,262,f,identity,layer index,dimensionless,True
a,llama32_3b,13,nar,f,13,0.2460395592841673,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,263,f,identity,layer index,dimensionless,True
a,llama32_3b,14,nar,f,14,0.2479652013325728,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,264,f,identity,layer index,dimensionless,True
a,llama32_3b,15,nar,f,15,0.2696639096234222,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,265,f,identity,layer index,dimensionless,True
a,llama32_3b,16,nar,f,16,0.2622044747562093,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,266,f,identity,layer index,dimensionless,True
a,llama32_3b,17,nar,f,17,0.258274488189237,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,267,f,identity,layer index,dimensionless,True
a,llama32_3b,18,nar,f,18,0.2500785759215311,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,268,f,identity,layer index,dimensionless,True
a,llama32_3b,19,nar,f,19,0.3049382108353743,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,269,f,identity,layer index,dimensionless,True
a,llama32_3b,20,nar,f,20,0.2726675565897593,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,270,f,identity,layer index,dimensionless,True
a,llama32_3b,21,nar,f,21,0.2787323656041597,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,271,f,identity,layer index,dimensionless,True
a,llama32_3b,22,nar,f,22,0.2778266412349776,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,272,f,identity,layer index,dimensionless,True
a,llama32_3b,23,nar,f,23,0.3162409397791122,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,273,f,identity,layer index,dimensionless,True
a,llama32_3b,24,nar,f,24,0.3719427110870923,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,274,f,identity,layer index,dimensionless,True
a,llama32_3b,25,nar,f,25,0.4552473824005181,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,275,f,identity,layer index,dimensionless,True
a,llama32_3b,26,nar,f,26,0.5338451137688783,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,276,f,identity,layer index,dimensionless,True
a,llama32_3b,27,nar,f,27,0.8218470782917491,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,277,f,identity,layer index,dimensionless,True
b,llama32_3b,0,duquant_style,mean_group_range,0,0.0621607229113578,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,233,mean_group_range,identity,layer index,activation amplitude,True
b,llama32_3b,1,duquant_style,mean_group_range,1,0.0735238790512085,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,234,mean_group_range,identity,layer index,activation amplitude,True
b,llama32_3b,2,duquant_style,mean_group_range,2,0.1065815687179565,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,235,mean_group_range,identity,layer index,activation amplitude,True
b,llama32_3b,3,duquant_style,mean_group_range,3,0.1457826048135757,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,236,mean_group_range,identity,layer index,activation amplitude,True
b,llama32_3b,4,duquant_style,mean_group_range,4,0.1794823557138443,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,237,mean_group_range,identity,layer index,activation amplitude,True
b,llama32_3b,5,duquant_style,mean_group_range,5,0.2058693170547485,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,238,mean_group_range,identity,layer index,activation amplitude,True
