kind,model,method,g,m,effective_bits,ppl,seeds,seed_ids,chunks,source_file,source_row,source_csv_line,formula,source_commit,source_run,retained_csv,retained_csv_line,k,k_category,site_kmax,site_k_actual,site_kmax_source,ppl_bf16,ppl_hadamard,ppl_k,recovery,bf16_source_file,hadamard_source_file,bf16_source_csv_line,hadamard_source_csv_line,protocol,share_percent,decoder_layer_ms,kernel_ms,selection,recovery_percent,metric,baseline,backend,mode,phase,batch,tokens,unit,source_key,numerator,denominator,session,statistic,value
recovery,llama32_3b,,,,,,3.0,"[20260902, 20260903, 20260904]",64.0,results/llama32_3b/e11_summary.csv,nar_b128_k16,12,(mean_PPL_Hadamard - mean_PPL_k)/(mean_PPL_Hadamard - PPL_bf16),6747960b96b0b03e626e98eaeeccf0d1abc34e79,original E20 / E11 / E18 / E17 protocols,figures/fig4b.csv,3,16,16,"{""down"": 64, ""qkv"": 24}","{""down"": 16, ""qkv"": 16}","results/llama32_3b/e11_factor_audit.csv:b=128,dc_slots",7.6168244064194095,7.771129325673322,7.712024410109571,0.3830397361894396,results/llama32_3b/e11_summary.csv,results/llama32_3b/e11_summary.csv,2.0,3.0,"activation-only qkv + down, group 128, bf16 weights and KV",,,,,38.30397361894396,,,,,,,,,,,,,,
recovery,llama32_3b,,,,,,3.0,"[20260902, 20260903, 20260904]",64.0,results/llama32_3b/e11_summary.csv,nar_b128_k32,13,(mean_PPL_Hadamard - mean_PPL_k)/(mean_PPL_Hadamard - PPL_bf16),6747960b96b0b03e626e98eaeeccf0d1abc34e79,original E20 / E11 / E18 / E17 protocols,figures/fig4b.csv,4,32,32,"{""down"": 64, ""qkv"": 24}","{""down"": 32, ""qkv"": 24}","results/llama32_3b/e11_factor_audit.csv:b=128,dc_slots",7.6168244064194095,7.771129325673322,7.7065086318728575,0.41878570114883845,results/llama32_3b/e11_summary.csv,results/llama32_3b/e11_summary.csv,2.0,3.0,"activation-only qkv + down, group 128, bf16 weights and KV",,,,,41.87857011488384,,,,,,,,,,,,,,
recovery,llama32_3b,,,,,,3.0,"[20260902, 20260903, 20260904]",64.0,results/llama32_3b/e11_k64_summary.csv,nar_b128_k64,2,(mean_PPL_Hadamard - mean_PPL_k)/(mean_PPL_Hadamard - PPL_bf16),6747960b96b0b03e626e98eaeeccf0d1abc34e79,original E20 / E11 / E18 / E17 protocols,figures/fig4b.csv,5,64,64,"{""down"": 64, ""qkv"": 24}","{""down"": 64, ""qkv"": 24}","results/llama32_3b/e11_factor_audit.csv:b=128,dc_slots",7.6168244064194095,7.771129325673322,7.708128095933049,0.4082904812425502,results/llama32_3b/e11_summary.csv,results/llama32_3b/e11_summary.csv,2.0,3.0,"activation-only qkv + down, group 128, bf16 weights and KV",,,,,40.82904812425502,,,,,,,,,,,,,,
recovery,llama32_3b,,,,,,3.0,"[20260902, 20260903, 20260904]",64.0,results/llama32_3b/e11_summary.csv,nar_b128_kmax,4,(mean_PPL_Hadamard - mean_PPL_k)/(mean_PPL_Hadamard - PPL_bf16),6747960b96b0b03e626e98eaeeccf0d1abc34e79,original E20 / E11 / E18 / E17 protocols,figures/fig4b.csv,6,64,max,"{""down"": 64, ""qkv"": 24}","{""down"": 64, ""qkv"": 24}","results/llama32_3b/e11_factor_audit.csv:b=128,dc_slots",7.6168244064194095,7.771129325673322,7.705281475366341,0.426738503382557,results/llama32_3b/e11_summary.csv,results/llama32_3b/e11_summary.csv,2.0,3.0,"activation-only qkv + down, group 128, bf16 weights and KV",,,,,42.6738503382557,,,,,,,,,,,,,,
recovery,llama31_8b,,,,,,3.0,"[20260902, 20260903, 20260904]",64.0,results/llama31_8b/e11_summary.csv,nar_b128_k8,11,(mean_PPL_Hadamard - mean_PPL_k)/(mean_PPL_Hadamard - PPL_bf16),6747960b96b0b03e626e98eaeeccf0d1abc34e79,original E20 / E11 / E18 / E17 protocols,figures/fig4b.csv,7,8,8,"{""down"": 112, ""qkv"": 32}","{""down"": 8, ""qkv"": 8}","results/llama31_8b/e11_factor_audit.csv:b=128,dc_slots",6.204007025278876,6.346260798979771,6.295711197147543,0.3553480552193636,results/llama31_8b/e11_summary.csv,results/llama31_8b/e11_summary.csv,2.0,3.0,"activation-only qkv + down, group 128, bf16 weights and KV",,,,,35.534805521936356,,,,,,,,,,,,,,
recovery,llama31_8b,,,,,,3.0,"[20260902, 20260903, 20260904]",64.0,results/llama31_8b/e11_summary.csv,nar_b128_k16,12,(mean_PPL_Hadamard - mean_PPL_k)/(mean_PPL_Hadamard - PPL_bf16),6747960b96b0b03e626e98eaeeccf0d1abc34e79,original E20 / E11 / E18 / E17 protocols,figures/fig4b.csv,8,16,16,"{""down"": 112, ""qkv"": 32}","{""down"": 16, ""qkv"": 16}","results/llama31_8b/e11_factor_audit.csv:b=128,dc_slots",6.204007025278876,6.346260798979771,6.295415943496352,0.35742359700295806,results/llama31_8b/e11_summary.csv,results/llama31_8b/e11_summary.csv,2.0,3.0,"activation-only qkv + down, group 128, bf16 weights and KV",,,,,35.74235970029581,,,,,,,,,,,,,,
recovery,llama31_8b,,,,,,3.0,"[20260902, 20260903, 20260904]",64.0,results/llama31_8b/e11_summary.csv,nar_b128_k32,13,(mean_PPL_Hadamard - mean_PPL_k)/(mean_PPL_Hadamard - PPL_bf16),6747960b96b0b03e626e98eaeeccf0d1abc34e79,original E20 / E11 / E18 / E17 protocols,figures/fig4b.csv,9,32,32,"{""down"": 112, ""qkv"": 32}","{""down"": 32, ""qkv"": 32}","results/llama31_8b/e11_factor_audit.csv:b=128,dc_slots",6.204007025278876,6.346260798979771,6.289038375421182,0.40225592664350657,results/llama31_8b/e11_summary.csv,results/llama31_8b/e11_summary.csv,2.0,3.0,"activation-only qkv + down, group 128, bf16 weights and KV",,,,,40.22559266435066,,,,,,,,,,,,,,
recovery,llama31_8b,,,,,,3.0,"[20260902, 20260903, 20260904]",64.0,results/llama31_8b/e11_k64_summary.csv,nar_b128_k64,2,(mean_PPL_Hadamard - mean_PPL_k)/(mean_PPL_Hadamard - PPL_bf16),6747960b96b0b03e626e98eaeeccf0d1abc34e79,original E20 / E11 / E18 / E17 protocols,figures/fig4b.csv,10,64,64,"{""down"": 112, ""qkv"": 32}","{""down"": 64, ""qkv"": 32}","results/llama31_8b/e11_factor_audit.csv:b=128,dc_slots",6.204007025278876,6.346260798979771,6.28674352322354,0.41838802731077906,results/llama31_8b/e11_summary.csv,results/llama31_8b/e11_summary.csv,2.0,3.0,"activation-only qkv + down, group 128, bf16 weights and KV",,,,,41.838802731077905,,,,,,,,,,,,,,
recovery,llama31_8b,,,,,,3.0,"[20260902, 20260903, 20260904]",64.0,results/llama31_8b/e11_summary.csv,nar_b128_kmax,4,(mean_PPL_Hadamard - mean_PPL_k)/(mean_PPL_Hadamard - PPL_bf16),6747960b96b0b03e626e98eaeeccf0d1abc34e79,original E20 / E11 / E18 / E17 protocols,figures/fig4b.csv,11,112,max,"{""down"": 112, ""qkv"": 32}","{""down"": 112, ""qkv"": 32}","results/llama31_8b/e11_factor_audit.csv:b=128,dc_slots",6.204007025278876,6.346260798979771,6.284927613703762,0.4311533091907209,results/llama31_8b/e11_summary.csv,results/llama31_8b/e11_summary.csv,2.0,3.0,"activation-only qkv + down, group 128, bf16 weights and KV",,,,,43.11533091907209,,,,,,,,,,,,,,
recovery,qwen3_8b_base,,,,,,1.0,20260902,146.0,results/qwen3_8b_base/e18v2_summary.csv,nar_k8,4,(mean_PPL_Hadamard - mean_PPL_k)/(mean_PPL_Hadamard - PPL_bf16),6747960b96b0b03e626e98eaeeccf0d1abc34e79,original E20 / E11 / E18 / E17 protocols,figures/fig4b.csv,12,8,8,"{""down"": 96, ""qkv"": 32}","{""down"": 8, ""qkv"": 8}",results/qwen3_8b_base/e18v2_fold_audit.json:architecture_audit.slot_counts,8.823410419427475,9.265074843137612,9.003966380770239,0.5911919737025001,results/qwen3_8b_base/e18v2_summary.csv,results/qwen3_8b_base/e18v2_summary.csv,2.0,3.0,"activation-only qkv + down, group 128, bf16 weights and KV",,,,,59.119197370250006,,,,,,,,,,,,,,
