model,site,layer,rank,eigenvalue,fraction_total_energy,cumulative_fraction_total_energy,relative_ritz_residual,source_commit,source_file
llama32_3b,down_input,1,38,0.0031005245093728,2.5036856274849307e-05,0.9863794491698176,0.2151760505705229,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,1,39,0.003011215983626,2.4315686448104952e-05,0.9864037648562656,0.2316547558401994,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,1,40,0.0029864975983193,2.4116084523205164e-05,0.9864278809407888,0.1991045575287619,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,1,41,0.0029349465872662,2.3699808099439152e-05,0.9864515807488882,0.180207571359535,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,1,42,0.0029025187388475,2.3437951959386803e-05,0.9864750187008476,0.2094415898535922,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,1,43,0.0027894346712647,2.252479370552184e-05,0.9864975434945532,0.2517083798067994,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,1,44,0.00273604648908,2.2093682053253303e-05,0.9865196371766064,0.265056154867826,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,1,45,0.0027018477586823,2.181752597219033e-05,0.9865414547025784,0.2381678106198586,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,1,46,0.0026782428657633,2.162691554172586e-05,0.98656308161812,0.2537568524495356,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,1,47,0.0026198559948282,2.1155439282944208e-05,0.9865842370574032,0.2418718935804716,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,1,48,0.0025415220843016,2.052288990190499e-05,0.986604759947305,0.2464859262096777,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,1,49,0.002517622664385,2.032990115445348e-05,0.9866250898484596,0.2883392927423113,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,1,50,0.0024612087854755,1.987435688318832e-05,0.9866449642053426,0.2643301773861078,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,1,51,0.0024529644050456,1.980778318984222e-05,0.9866647719885326,0.2595822815212021,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,1,52,0.0024335619071017,1.9651107262616034e-05,0.9866844230957952,0.2438696714719656,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,1,53,0.0023640321006486,1.908965136516291e-05,0.9867035127471604,0.2809239371939694,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,1,54,0.0023136922649181,1.8683155229339976e-05,0.9867221959023896,0.2807294001657221,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,1,55,0.0022788042292866,1.8401432981643803e-05,0.9867405973353712,0.2768239087802758,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,1,56,0.0022356622911263,1.805306014928155e-05,0.9867586503955206,0.2682198763168097,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,1,57,0.0022048547384953,1.780428796087618e-05,0.9867764546834816,0.2503717102768554,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,1,58,0.0021500127213471,1.7361436534605964e-05,0.986793816120016,0.2545289338800134,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,1,59,0.0021078369401112,1.702086545706979e-05,0.9868108369854732,0.3061772463990535,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,1,60,0.0020594071983794,1.6629793404743996e-05,0.986827466778878,0.311513165925643,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,1,61,0.0020232159545468,1.6337547700023965e-05,0.986843804326578,0.3141513308743457,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,1,62,0.0020204105564451,1.6314894000995354e-05,0.9868601192205788,0.2856293384537849,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,1,63,0.0019984902222365,1.6137886447782956e-05,0.9868762571070266,0.2894403831825262,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,1,64,0.0019302490097356,1.558683599672551e-05,0.9868918439430236,0.2938670386244284,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,1,0.723330979024722,0.0493742240400947,0.0493742240400947,0.0006987103159388,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,2,0.1702259229044956,0.0116195394620741,0.0609937635021688,0.0112368334669526,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,3,0.1378494771917486,0.0094095388805996,0.0704033023827684,0.0204826394310315,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,4,0.0973267845838053,0.0066434794119036,0.077046781794672,0.0275579004902768,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,5,0.0802724547678721,0.0054793590775016,0.0825261408721737,0.0446843966472713,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,6,0.073375713201166,0.0050085908218404,0.0875347316940142,0.0536993924235196,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,7,0.0690170222565467,0.0047110686785039,0.0922458003725181,0.0640965676186341,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
