model,site,layer,method,mean_group_range,evaluation_tokens,source_file,source_csv_line,source_row,source_column
llama32_3b,down,22,hadamard_full,0.4582124948501587,8192,results/llama32_3b/e1c_per_layer.csv,204,down_input;layer=22;method=hadamard_full,mean_group_range
llama32_3b,down,23,hadamard_full,0.5132821798324585,8192,results/llama32_3b/e1c_per_layer.csv,208,down_input;layer=23;method=hadamard_full,mean_group_range
llama32_3b,down,24,hadamard_full,0.5950758457183838,8192,results/llama32_3b/e1c_per_layer.csv,212,down_input;layer=24;method=hadamard_full,mean_group_range
llama32_3b,down,25,hadamard_full,0.7418925762176514,8192,results/llama32_3b/e1c_per_layer.csv,216,down_input;layer=25;method=hadamard_full,mean_group_range
llama32_3b,down,26,hadamard_full,0.9444494843482972,8192,results/llama32_3b/e1c_per_layer.csv,220,down_input;layer=26;method=hadamard_full,mean_group_range
llama32_3b,down,27,hadamard_full,1.91482412815094,8192,results/llama32_3b/e1c_per_layer.csv,224,down_input;layer=27;method=hadamard_full,mean_group_range
llama32_3b,down,0,nar_kmax,0.0475555919110775,8192,results/llama32_3b/e1c_per_layer.csv,117,down_input;layer=0;method=nar_kmax,mean_group_range
llama32_3b,down,1,nar_kmax,0.0612714290618896,8192,results/llama32_3b/e1c_per_layer.csv,121,down_input;layer=1;method=nar_kmax,mean_group_range
llama32_3b,down,2,nar_kmax,0.0882665067911148,8192,results/llama32_3b/e1c_per_layer.csv,125,down_input;layer=2;method=nar_kmax,mean_group_range
llama32_3b,down,3,nar_kmax,0.124736487865448,8192,results/llama32_3b/e1c_per_layer.csv,129,down_input;layer=3;method=nar_kmax,mean_group_range
llama32_3b,down,4,nar_kmax,0.1552806049585342,8192,results/llama32_3b/e1c_per_layer.csv,133,down_input;layer=4;method=nar_kmax,mean_group_range
llama32_3b,down,5,nar_kmax,0.1768143475055694,8192,results/llama32_3b/e1c_per_layer.csv,137,down_input;layer=5;method=nar_kmax,mean_group_range
llama32_3b,down,6,nar_kmax,0.1936057806015014,8192,results/llama32_3b/e1c_per_layer.csv,141,down_input;layer=6;method=nar_kmax,mean_group_range
llama32_3b,down,7,nar_kmax,0.2004590630531311,8192,results/llama32_3b/e1c_per_layer.csv,145,down_input;layer=7;method=nar_kmax,mean_group_range
llama32_3b,down,8,nar_kmax,0.205673336982727,8192,results/llama32_3b/e1c_per_layer.csv,149,down_input;layer=8;method=nar_kmax,mean_group_range
llama32_3b,down,9,nar_kmax,0.2075956463813781,8192,results/llama32_3b/e1c_per_layer.csv,153,down_input;layer=9;method=nar_kmax,mean_group_range
llama32_3b,down,10,nar_kmax,0.2135093510150909,8192,results/llama32_3b/e1c_per_layer.csv,157,down_input;layer=10;method=nar_kmax,mean_group_range
llama32_3b,down,11,nar_kmax,0.2214352190494537,8192,results/llama32_3b/e1c_per_layer.csv,161,down_input;layer=11;method=nar_kmax,mean_group_range
llama32_3b,down,12,nar_kmax,0.236108660697937,8192,results/llama32_3b/e1c_per_layer.csv,165,down_input;layer=12;method=nar_kmax,mean_group_range
llama32_3b,down,13,nar_kmax,0.2554234862327575,8192,results/llama32_3b/e1c_per_layer.csv,169,down_input;layer=13;method=nar_kmax,mean_group_range
llama32_3b,down,14,nar_kmax,0.2809615433216095,8192,results/llama32_3b/e1c_per_layer.csv,173,down_input;layer=14;method=nar_kmax,mean_group_range
llama32_3b,down,15,nar_kmax,0.2894203662872314,8192,results/llama32_3b/e1c_per_layer.csv,177,down_input;layer=15;method=nar_kmax,mean_group_range
llama32_3b,down,16,nar_kmax,0.2850359082221985,8192,results/llama32_3b/e1c_per_layer.csv,181,down_input;layer=16;method=nar_kmax,mean_group_range
llama32_3b,down,17,nar_kmax,0.2908418774604797,8192,results/llama32_3b/e1c_per_layer.csv,185,down_input;layer=17;method=nar_kmax,mean_group_range
llama32_3b,down,18,nar_kmax,0.2985395193099975,8192,results/llama32_3b/e1c_per_layer.csv,189,down_input;layer=18;method=nar_kmax,mean_group_range
llama32_3b,down,19,nar_kmax,0.3277551233768463,8192,results/llama32_3b/e1c_per_layer.csv,193,down_input;layer=19;method=nar_kmax,mean_group_range
llama32_3b,down,20,nar_kmax,0.3244175314903259,8192,results/llama32_3b/e1c_per_layer.csv,197,down_input;layer=20;method=nar_kmax,mean_group_range
llama32_3b,down,21,nar_kmax,0.3317009210586548,8192,results/llama32_3b/e1c_per_layer.csv,201,down_input;layer=21;method=nar_kmax,mean_group_range
llama32_3b,down,22,nar_kmax,0.3486203849315643,8192,results/llama32_3b/e1c_per_layer.csv,205,down_input;layer=22;method=nar_kmax,mean_group_range
llama32_3b,down,23,nar_kmax,0.3809372782707214,8192,results/llama32_3b/e1c_per_layer.csv,209,down_input;layer=23;method=nar_kmax,mean_group_range
llama32_3b,down,24,nar_kmax,0.4217731356620788,8192,results/llama32_3b/e1c_per_layer.csv,213,down_input;layer=24;method=nar_kmax,mean_group_range
llama32_3b,down,25,nar_kmax,0.4867672920227051,8192,results/llama32_3b/e1c_per_layer.csv,217,down_input;layer=25;method=nar_kmax,mean_group_range
llama32_3b,down,26,nar_kmax,0.5842117667198181,8192,results/llama32_3b/e1c_per_layer.csv,221,down_input;layer=26;method=nar_kmax,mean_group_range
llama32_3b,down,27,nar_kmax,0.8850160241127014,8192,results/llama32_3b/e1c_per_layer.csv,225,down_input;layer=27;method=nar_kmax,mean_group_range
