model,site,layer,method,nmse,evaluation_tokens,source_file,source_csv_line,source_row,source_column
llama32_3b,down,26,hadamard_full,0.0095117158292356,8192,results/llama32_3b/e1c_per_layer.csv,220,down_input;layer=26;method=hadamard_full,relative_quantization_error_nmse
llama32_3b,down,27,hadamard_full,0.0091315031912239,8192,results/llama32_3b/e1c_per_layer.csv,224,down_input;layer=27;method=hadamard_full,relative_quantization_error_nmse
llama32_3b,down,0,nar_kmax,0.0018753077806959,8192,results/llama32_3b/e1c_per_layer.csv,117,down_input;layer=0;method=nar_kmax,relative_quantization_error_nmse
llama32_3b,down,1,nar_kmax,3.5015859808447778e-06,8192,results/llama32_3b/e1c_per_layer.csv,121,down_input;layer=1;method=nar_kmax,relative_quantization_error_nmse
llama32_3b,down,2,nar_kmax,0.0059709933685254,8192,results/llama32_3b/e1c_per_layer.csv,125,down_input;layer=2;method=nar_kmax,relative_quantization_error_nmse
llama32_3b,down,3,nar_kmax,0.0068432152811394,8192,results/llama32_3b/e1c_per_layer.csv,129,down_input;layer=3;method=nar_kmax,relative_quantization_error_nmse
llama32_3b,down,4,nar_kmax,0.0069494894395927,8192,results/llama32_3b/e1c_per_layer.csv,133,down_input;layer=4;method=nar_kmax,relative_quantization_error_nmse
llama32_3b,down,5,nar_kmax,0.0069512525035246,8192,results/llama32_3b/e1c_per_layer.csv,137,down_input;layer=5;method=nar_kmax,relative_quantization_error_nmse
llama32_3b,down,6,nar_kmax,0.0070566609835868,8192,results/llama32_3b/e1c_per_layer.csv,141,down_input;layer=6;method=nar_kmax,relative_quantization_error_nmse
llama32_3b,down,7,nar_kmax,0.0072928974321769,8192,results/llama32_3b/e1c_per_layer.csv,145,down_input;layer=7;method=nar_kmax,relative_quantization_error_nmse
llama32_3b,down,8,nar_kmax,0.0073013154104074,8192,results/llama32_3b/e1c_per_layer.csv,149,down_input;layer=8;method=nar_kmax,relative_quantization_error_nmse
llama32_3b,down,9,nar_kmax,0.0072328703681532,8192,results/llama32_3b/e1c_per_layer.csv,153,down_input;layer=9;method=nar_kmax,relative_quantization_error_nmse
llama32_3b,down,10,nar_kmax,0.0070762112923385,8192,results/llama32_3b/e1c_per_layer.csv,157,down_input;layer=10;method=nar_kmax,relative_quantization_error_nmse
llama32_3b,down,11,nar_kmax,0.0072111146042179,8192,results/llama32_3b/e1c_per_layer.csv,161,down_input;layer=11;method=nar_kmax,relative_quantization_error_nmse
llama32_3b,down,12,nar_kmax,0.0068610366218021,8192,results/llama32_3b/e1c_per_layer.csv,165,down_input;layer=12;method=nar_kmax,relative_quantization_error_nmse
llama32_3b,down,13,nar_kmax,0.006649610359657,8192,results/llama32_3b/e1c_per_layer.csv,169,down_input;layer=13;method=nar_kmax,relative_quantization_error_nmse
llama32_3b,down,14,nar_kmax,0.0064777650788812,8192,results/llama32_3b/e1c_per_layer.csv,173,down_input;layer=14;method=nar_kmax,relative_quantization_error_nmse
llama32_3b,down,15,nar_kmax,0.0061390176128301,8192,results/llama32_3b/e1c_per_layer.csv,177,down_input;layer=15;method=nar_kmax,relative_quantization_error_nmse
llama32_3b,down,16,nar_kmax,0.0061311264661643,8192,results/llama32_3b/e1c_per_layer.csv,181,down_input;layer=16;method=nar_kmax,relative_quantization_error_nmse
llama32_3b,down,17,nar_kmax,0.0061563391159797,8192,results/llama32_3b/e1c_per_layer.csv,185,down_input;layer=17;method=nar_kmax,relative_quantization_error_nmse
llama32_3b,down,18,nar_kmax,0.0061996850048058,8192,results/llama32_3b/e1c_per_layer.csv,189,down_input;layer=18;method=nar_kmax,relative_quantization_error_nmse
llama32_3b,down,19,nar_kmax,0.0056495934933118,8192,results/llama32_3b/e1c_per_layer.csv,193,down_input;layer=19;method=nar_kmax,relative_quantization_error_nmse
llama32_3b,down,20,nar_kmax,0.0058949911893812,8192,results/llama32_3b/e1c_per_layer.csv,197,down_input;layer=20;method=nar_kmax,relative_quantization_error_nmse
llama32_3b,down,21,nar_kmax,0.0058599693605729,8192,results/llama32_3b/e1c_per_layer.csv,201,down_input;layer=21;method=nar_kmax,relative_quantization_error_nmse
llama32_3b,down,22,nar_kmax,0.0059230665229163,8192,results/llama32_3b/e1c_per_layer.csv,205,down_input;layer=22;method=nar_kmax,relative_quantization_error_nmse
llama32_3b,down,23,nar_kmax,0.0056346701532032,8192,results/llama32_3b/e1c_per_layer.csv,209,down_input;layer=23;method=nar_kmax,relative_quantization_error_nmse
llama32_3b,down,24,nar_kmax,0.0051862412234195,8192,results/llama32_3b/e1c_per_layer.csv,213,down_input;layer=24;method=nar_kmax,relative_quantization_error_nmse
llama32_3b,down,25,nar_kmax,0.0045029493877188,8192,results/llama32_3b/e1c_per_layer.csv,217,down_input;layer=25;method=nar_kmax,relative_quantization_error_nmse
llama32_3b,down,26,nar_kmax,0.0038761253437224,8192,results/llama32_3b/e1c_per_layer.csv,221,down_input;layer=26;method=nar_kmax,relative_quantization_error_nmse
llama32_3b,down,27,nar_kmax,0.0015359031805603,8192,results/llama32_3b/e1c_per_layer.csv,225,down_input;layer=27;method=nar_kmax,relative_quantization_error_nmse
