model,method,site,layer,f,mean_group_range,nmse,rows_used,groups_observed,slots,d,group_size,sample_stride,frozen_range,frozen_nmse,frozen_rows,evaluation_tokens,quantitative_source,null_space_source
llama31_8b,hadamard,down,24,0.0070708021368952,0.4072838114585855,0.009772181178161,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,hadamard,down,25,0.0066123333900394,0.4250733102363061,0.009758519765861,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,hadamard,down,26,0.0063372024568804,0.4565316735402608,0.0097541183473948,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,hadamard,down,27,0.0062551462569056,0.5370670823810835,0.009673630986939,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,hadamard,down,28,0.0078479206709015,0.5940386521849632,0.0097923449470915,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,hadamard,down,29,0.0085954129334166,0.7208391242119367,0.0098172096571105,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,hadamard,down,30,0.0059420380138184,1.0780228629425568,0.0097440985505064,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,hadamard,down,31,0.0053998690425832,2.674501843923021,0.0094829230599561,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,nar,down,0,0.7974540224908988,0.0206890696780779,0.0013048151387192,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,nar,down,1,0.999742902114901,0.0326120069862331,2.20249815711618e-06,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,nar,down,2,0.2341496500707439,0.0499512902870295,0.0059287923616121,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,nar,down,3,0.2127111107522539,0.0762794918544155,0.0068194634096044,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,nar,down,4,0.2195009195493937,0.1033188509651198,0.0067312376722209,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,nar,down,5,0.2203690342577468,0.1258801774719578,0.0067944081338862,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,nar,down,6,0.2255853561005208,0.1432267915428074,0.0069512233144075,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
