panel,method,line_index,line_mean,line_max,tokens
a,raw,325,0.09460272639989853,1.234375,512
a,raw,326,0.04768149554729462,0.427734375,512
a,raw,327,0.0615803524851799,0.953125,512
a,raw,328,0.10394026339054108,2.6875,512
a,raw,329,0.5668261051177979,2.671875,512
a,raw,330,0.3140902519226074,2.109375,512
a,raw,331,0.05859565734863281,0.2734375,512
a,raw,332,0.3791099190711975,1.90625,512
a,raw,333,0.3430096507072449,3.734375,512
a,raw,334,0.06775446236133575,1.1328125,512
a,raw,335,0.052031051367521286,0.357421875,512
a,raw,336,0.06105402484536171,0.9921875,512
a,raw,337,0.051745522767305374,0.365234375,512
a,raw,338,0.04462841525673866,0.609375,512
a,raw,339,0.05249917507171631,0.7578125,512
a,raw,340,0.4187180995941162,1.078125,512
a,raw,341,0.056202005594968796,0.6953125,512
a,raw,342,0.1336079239845276,1.296875,512
a,raw,343,0.8815882802009583,7.0625,512
a,raw,344,0.056345224380493164,0.703125,512
a,raw,345,0.07674670219421387,0.97265625,512
a,raw,346,0.07063446938991547,0.59375,512
a,raw,347,0.092036671936512,0.8359375,512
a,raw,348,0.06731687486171722,1.8125,512
a,raw,349,0.05310402438044548,1.2265625,512
a,raw,350,0.13791266083717346,1.671875,512
a,raw,351,0.145280122756958,1.2109375,512
a,raw,352,0.09124213457107544,1.2734375,512
a,raw,353,0.11235517263412476,4.78125,512
a,raw,354,0.08595149964094162,1.578125,512
a,raw,355,0.0706697553396225,0.318359375,512
a,raw,356,0.04689035937190056,0.5234375,512
a,raw,357,0.09789437055587769,0.8203125,512
a,raw,358,1.0914863348007202,3.171875,512
a,raw,359,0.12957090139389038,1.9140625,512
a,raw,360,0.0910956859588623,0.71875,512
a,raw,361,0.12721295654773712,0.8984375,512
a,raw,362,0.05705149099230766,1.328125,512
a,raw,363,0.06255754083395004,0.515625,512
a,raw,364,0.2034744918346405,0.828125,512
a,raw,365,0.18865489959716797,1.9375,512
a,raw,366,0.07409654557704926,0.98046875,512
a,raw,367,0.22658152878284454,2.953125,512
a,raw,368,0.06687135249376297,0.80859375,512
a,raw,369,0.31332242488861084,2.25,512
a,raw,370,0.06039302796125412,1.609375,512
a,raw,371,0.35983067750930786,2.375,512
a,raw,372,0.04218016564846039,0.453125,512
a,raw,373,0.3276456594467163,1.890625,512
a,raw,374,0.07614851742982864,0.5234375,512
a,raw,375,0.044673800468444824,0.7109375,512
a,raw,376,0.3879016041755676,10.0625,512
a,raw,377,0.33373183012008667,1.609375,512
a,raw,378,0.09557916224002838,1.453125,512
a,raw,379,0.048138298094272614,0.7890625,512
a,raw,380,0.0461343452334404,0.326171875,512
a,raw,381,0.06164490431547165,0.703125,512
a,raw,382,0.059431854635477066,1.2421875,512
a,raw,383,0.08697092533111572,0.94921875,512
a,raw,384,0.08335740864276886,1.6328125,512
a,raw,385,0.5762741565704346,2.671875,512
a,raw,386,0.06947466731071472,1.4609375,512
a,raw,387,0.05027677118778229,0.68359375,512
a,raw,388,0.06457530707120895,1.1015625,512
a,raw,389,0.05241236090660095,0.8359375,512
a,raw,390,0.1606317162513733,1.703125,512
a,raw,391,0.08163540065288544,0.80859375,512
a,raw,392,0.3663046956062317,1.75,512
a,raw,393,0.07444752007722855,0.51171875,512
a,raw,394,0.057495515793561935,0.80078125,512
a,raw,395,0.07480894774198532,1.03125,512
a,raw,396,0.3139958679676056,5.8125,512
a,raw,397,0.08985959738492966,1.0859375,512
a,raw,398,0.3241020143032074,1.203125,512
a,raw,399,0.11756359040737152,0.9921875,512
a,raw,400,0.28000107407569885,1.7578125,512
a,raw,401,0.053772177547216415,0.447265625,512
a,raw,402,0.06408911943435669,0.984375,512
a,raw,403,0.30340418219566345,1.3203125,512
a,raw,404,0.05059021711349487,1.5078125,512
a,raw,405,0.04734700173139572,1.5625,512
a,raw,406,0.10324843227863312,3.890625,512
a,raw,407,0.3148237466812134,0.64453125,512
