model,source_family,source_artifact,site,layer,group_size,configuration,method,absorbed_energy_fraction,sqrt_one_minus_f,range_ratio_vs_hadamard,range_ratio_definition
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,1,128,nar_k8,nar,0.4572774241631692,0.7366970719616244,0.6637109271609103,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,1,128,nar_k9,nar,0.4703100660922453,0.7277980035062989,0.6562266912318032,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,1,128,nar_k10,nar,0.4829655342156183,0.7190510870476323,0.6485722292861407,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,1,128,nar_k11,nar,0.4947007690446711,0.7108440271644186,0.642716869502037,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,1,128,nar_k12,nar,0.5047426438952798,0.7037452352270104,0.6368317201650362,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,1,128,nar_k13,nar,0.5144097445234115,0.6968430637357227,0.6308230531696811,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,1,128,nar_k14,nar,0.5233420883252051,0.6904041654529576,0.625267145859823,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,1,128,nar_k15,nar,0.5319864178877609,0.6841151819045087,0.619322832602434,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,1,128,nar_k16,nar,0.5405045562595796,0.677860932448847,0.6145418169551341,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,1,128,nar_k17,nar,0.5483479634739337,0.6720506205086536,0.6102568440719309,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,1,128,nar_k18,nar,0.556000460734902,0.6663329042341358,0.6052860886939824,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,1,128,nar_k19,nar,0.5634170586231838,0.6607442329501001,0.6011795417391079,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,1,128,nar_k20,nar,0.5704134760550018,0.6554285040681388,0.5966333653372085,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,1,128,nar_k21,nar,0.5769925825815415,0.6503902039687087,0.5915705944936036,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,1,128,nar_k22,nar,0.5833489009969219,0.645485165594902,0.5870685834392921,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,1,128,nar_k23,nar,0.5895996475289392,0.640624970221315,0.5837534836650492,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,1,128,nar_k24,nar,0.5956414840501133,0.6358919058691396,0.579894283415938,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,2,128,nar_k0,nar,0.0,1.0,0.923771445477845,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
