record_type,model,site,layer,method,token,group,relative_channel,signed_value,group_mean,group_range,ecdf_probability,source
activation,llama32_3b,down_input,1,identity,0,11,54.0,-0.002777099609375,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,55.0,0.0005645751953125,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,56.0,-0.00121307373046875,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,57.0,0.00016307830810546875,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,58.0,0.0020751953125,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,59.0,-0.0022735595703125,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,60.0,0.000209808349609375,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,61.0,-0.000324249267578125,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,62.0,0.0001373291015625,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,63.0,0.0010223388671875,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,64.0,-0.00026702880859375,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,65.0,-0.00054931640625,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,66.0,0.00116729736328125,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,67.0,0.007476806640625,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,68.0,-0.004058837890625,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,69.0,0.00107574462890625,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,70.0,0.0045166015625,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,71.0,-0.0020599365234375,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,72.0,0.0010528564453125,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,73.0,-0.000217437744140625,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,74.0,0.00164794921875,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,75.0,-0.0017852783203125,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,76.0,0.0002727508544921875,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
